№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,"Идентифицировать взаимосвязи между здоровьем людей, животных и окружающей среды (концепция One Health)",Да,отношения,модель One Health,коллективные/институциональные,аналогично ecohealth
2,Проводить мониторинг зоонозов и их передачи между видами,Да,функция,эпидемиологический надзор,институциональные/непрерывные,пересечение с ветеринарией
3,"Разрабатывать междисциплинарные программы, учитывающие экологические, социальные и экономические факторы здоровья",Условно,институты,эко‑системное планирование,коллективные/каскадные,аналогично социальной экологии
4,Оценивать влияние климатических изменений на здоровье населения,Условно,климат/время,климато‑медицинская наука,институциональные/экзогенные,пересечение с медицинской географией
5,Проводить оценку воздействия загрязнений на здоровье,Да,состояние,токсикология окружающей среды,индивидуальные/непрерывные,аналогично экологической медицине
6,"Развивать программы по предотвращению болезней через изменение окружающей среды (sanitation, чистая вода)",Да,инфраструктура,превентивная медицина,институциональные/каскадные,пересечение с общественным здравоохранением
7,Содействовать рациональному использованию антимикробных средств для уменьшения резистентности,Условно,нормы,антибиотикум stewardship,институциональные/коллективные,аналогично медицинской политике
8,Использовать экологические индикаторы для оценки здоровья экосистем и их влияния на человека,Да,функция,биоиндикаторный подход,институциональные/непрерывные,пересечение с экосистемными службами
9,Разрабатывать политики по снижению воздействия химических веществ на здоровье,Да,институты,принцип предосторожности,институциональные/каскадные,аналогично экологическому регулированию
10,"Проводить исследования взаимосвязей между питанием, микробиомом и окружающей средой",Да,содержание,экологическая нутрициология,индивидуальные/экзогенные,пересечение с нутрицевтикой
11,Создавать интегрированные программы образования для медицинских работников по экологии здоровья,Условно,знания,междисциплинарное обучение,институциональные/постепенные,аналогично образованию в области общественного здоровья
12,"Способствовать сотрудничеству медицины, экологии и ветеринарии",Да,отношения,мультисекторное взаимодействие,коллективные/постепенные,уникально для health ecology
13,Обеспечивать доступ к зелёным зонам как фактор профилактики заболеваний,Да,пространство,биофильная гипотеза,институциональные/постепенные,пересечение с экотерапией
14,Разрабатывать программы социальной справедливости для устранения экологических детерминант здоровья,Условно,институты,эко‑справедливость,коллективные/постепенные,пересечение с социальной экологией
15,Исследовать влияние экосистемных услуг на здоровье и благополучие,Да,функция,теория экосистемных услуг,институциональные/непрерывные,аналогично экологии экономики
