№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализировать полный цикл производства пищи (от поля до стола),Да,процессы,жизненный цикл продукта,институциональные/континуальные,уникально для экологии питания
2,"Оценивать влияние питания на здоровье, общество, экономику и окружающую среду",Условно,отношения,"четыре измерения питания (здоровье, экология, общество, экономика)",коллективные/каскадные,аналогично устойчивому развитию
3,"Разрабатывать устойчивые диеты (plant‑forward, локальная еда)",Да,поведение,устойчивая диета,индивидуальные/постепенные,пересечение с здоровым питанием
4,Использовать оценку Life Cycle Assessment (LCA) для продуктов,Да,функция,LCA,институциональные/дискретные,аналогично инженерии устойчивости
5,Сокращать пищевые отходы через планирование и компостирование,Да,поведение,бережливое производство,индивидуальные/коллективные,пересечение с циклической экономикой
6,Продвигать равное распределение продовольственных ресурсов,Условно,нормы,пищевая справедливость,коллективные/институциональные,аналогично экономической справедливости
7,Измерять углеродный след пищевых систем,Да,состояние,карбоновые расчеты,институциональные/непрерывные,аналогично климатологии
8,Внедрять принципы fair trade и этичного производства,Условно,нормы,этическое потребление,индивидуальные/коллективные,пересечение с правами человека
9,Стимулировать локальные продовольственные сети (фермерские рынки),Условно,институты,локализация,коллективные/постепенные,аналогично социальной экологии
10,"Оценивать воздействие агробизнеса на экосистемы (дефигурация, загрязнение)",Условно,экосистемы,агроэкологический анализ,институциональные/непрерывные,пересечение с агроэкологией
11,Обучать население принципам осознанного питания,Да,нормы,просветительская деятельность,институциональные/постепенные,аналогично диетологии
12,"Поддерживать устойчивые сельскохозяйственные практики (агролесоводство, севооборот)",Да,функция,агроэкология,коллективные/постепенные,пересечение с пермакультурой
13,Составлять рейтинги устойчивости продуктов и производств,Да,нормы,система оценки устойчивости,институциональные/дискретные,аналогично маркировкам энергоэффективности
14,Внедрять инновации для уменьшения потребления воды и энергии в пищевой промышленности,Да,технология/инфраструктура,экоэффективность,институциональные/постепенные,аналогично зелёным технологиям
15,Использовать биотехнологии для улучшения устойчивости сельского хозяйства,Условно,технология/инфраструктура,биотехнология,институциональные/экзогенные,спорное пересечение с генетической инженерией
