№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,"Проектировать системы, имитирующие структуры природных экосистем",Условно,структура,перманентное земледелие,индивидуальные/постепенные,уникально для пермакультуры
2,Использовать целостное мышление для принятия решений (whole systems),Да,функция,системный подход,индивидуальные/дискретные,пересечение с системной экологией
3,Разрабатывать зонирование участка (zones) для оптимизации труда,Да,пространство,зональный дизайн,индивидуальные/постепенные,уникально для пермакультурного дизайна
4,"Внедрять мультикультурные насаждения (поликультуры, компаньоны)",Да,биоразнообразие,агроэкосистемы,индивидуальные/постепенные,пересечение с агроэкологией
5,Организовать сбор и хранение дождевой воды (водосбор),Да,инфраструктура,водная устойчивость,индивидуальные/дискретные,пересечение с устойчивой архитектурой
6,Проводить компостирование органических отходов для восстановления почвы,Да,материя,кругооборот веществ,индивидуальные/непрерывные,аналогично экологии питания
7,Использовать многоцелевые растения (гильдии) для создания устойчивых сообществ,Да,функция,функциональная взаимодополняемость,индивидуальные/постепенные,уникально для пермакультуры
8,Внедрять методы без перекопки (no‑dig) для сохранения структуры почвы,Да,материя,сохранение почвы,индивидуальные/постепенные,пересечение с regenerative agriculture
9,"Проектировать посадки с учётом микроклимата (солнечное, ветровое)",Да,пространство,микроклиматический анализ,индивидуальные/дискретные,аналогично ландшафтной архитектуре
10,Интегрировать животных для многофункциональности (курицы для удобрения и борьбы с вредителями),Да,функция,симбиотическое взаимодействие,индивидуальные/постепенные,пересечение с животноводством
11,"Применять рельефное проектирование (swales, terraces) для управления водой",Да,пространство,ландшафтная гидрология,индивидуальные/постепенные,аналогично землеустроению
12,Использовать принципы наблюдения и медленного вмешательства (observe & interact),Да,поведение,этические принципы пермакультуры,индивидуальные/непрерывные,уникально для пермакультурной философии
13,Синтезировать социальные и экономические аспекты в дизайне сообщества,Условно,институты,социальная пермакультура,коллективные/постепенные,аналогично социальной экологии
14,Создавать сообществные огороды и устойчивые поселения,Да,институты,сообщественная устойчивость,коллективные/каскадные,пересечение с городской экологии
15,Наблюдать и корректировать систему на основе обратной связи (feedback loops),Да,функция,адаптивное управление,индивидуальные/непрерывные,пересечение с системной теорией
