№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Составление генерального плана,Нет,память/наследие,принцип справедливости,дискретные/континуальные,Аналоги существуют
2,Зонирование территории,Нет,структура,принцип участия,институциональные/неформальные,Аналоги существуют
3,Анализ землепользования,Да,состояние,принцип инклюзивности,цикличные/каскадные,Аналоги существуют
4,Разработка кодекса строительства,Да,нормы,принцип инноваций,эндогенные/экзогенные,Уникальный
5,Планирование зеленых зон,Да,экономика/обмен,принцип адаптивности,индивидуальные/коллективные,Переносимый
6,Проектирование общественных пространств,Условно,пространство,принцип комплексности,институциональные/неформальные,Переносимый
7,Оптимизация плотности застройки,Да,институты,принцип комплексности,эндогенные/экзогенные,Уникальный
8,Оценка воздействия на окружающую среду,Да,значения,принцип инноваций,цикличные/каскадные,Уникальный
9,Регулирование землепользования,Условно,институты,принцип комплексности,институциональные/неформальные,Аналоги существуют
10,Планирование жилья,Нет,дискурс,принцип адаптивности,необходимые/возможные,Переносимый
11,Планирование промышленных зон,Условно,память/наследие,принцип инклюзивности,институциональные/неформальные,Переносимый
12,Анализ развития инфраструктуры,Условно,значения,принцип комплексности,дискретные/континуальные,Уникальный
13,Разработка планов роста города,Нет,функция,принцип интеграции,индивидуальные/коллективные,Аналоги существуют
14,Перепланировка исторических районов,Нет,институты,принцип участия,индивидуальные/коллективные,Аналоги существуют
15,Разработка стратегий регенерации,Нет,институты,принцип устойчивости,необходимые/возможные,Уникальный
16,Интеграция природных элементов,Нет,отношения,принцип инноваций,институциональные/неформальные,Уникальный
17,Планирование водоотведения и стока,Условно,дискурс,принцип открытости,дискретные/континуальные,Уникальный
18,Управление рисками наводнений,Нет,идентичность/границы,принцип гибкости,индивидуальные/коллективные,Уникальный
19,Создание парков и площадей,Нет,отношения,принцип открытости,институциональные/неформальные,Переносимый
20,Разработка транспортных коридоров,Нет,содержание,принцип инклюзивности,индивидуальные/коллективные,Переносимый
21,Изучение демографических тенденций,Условно,состояние,принцип гибкости,необходимые/возможные,Аналоги существуют
22,Сбор общественного мнения,Нет,состояние,принцип инноваций,мгновенные/постепенные,Уникальный
23,Проектирование смешанной застройки,Условно,содержание,принцип участия,необходимые/возможные,Уникальный
24,Планирование доступности,Да,экономика/обмен,принцип адаптивности,дискретные/континуальные,Уникальный
25,Создание нормативов ограждений,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,Аналоги существуют
26,Проектирование инфраструктуры для туризма,Да,структура,принцип справедливости,эндогенные/экзогенные,Переносимый
27,Анализ историко-культурного наследия,Да,значения,принцип комплексности,мгновенные/постепенные,Аналоги существуют
28,Интеграция климатической адаптации,Да,технология/инфраструктура,принцип гибкости,цикличные/каскадные,Переносимый
29,Разработка смарт-инфраструктуры,Да,дискурс,принцип комплексности,эндогенные/экзогенные,Уникальный
30,Планирование переходных зон,Условно,структура,принцип открытости,дискретные/континуальные,Уникальный
31,Планирование общественного транспорта,Нет,значения,принцип инноваций,явные/латентные,Аналоги существуют
32,Планирование пригородных зон,Нет,отношения,принцип инклюзивности,индивидуальные/коллективные,Уникальный
33,Планирование рекреационных зон,Нет,состояние,принцип инклюзивности,индивидуальные/коллективные,Уникальный
34,Планирование зон отдыха на набережных,Да,пространство,принцип инклюзивности,цикличные/каскадные,Уникальный
35,Проектирование улиц для пешеходов,Нет,поведение,принцип участия,эндогенные/экзогенные,Аналоги существуют
36,Выделение территории под сельское хозяйство,Условно,состояние,принцип инноваций,институциональные/неформальные,Переносимый
37,Создание политик сохранения,Нет,тело/материя,принцип интеграции,мгновенные/постепенные,Аналоги существуют
38,Мониторинг застройки,Нет,структура,принцип интеграции,мгновенные/постепенные,Переносимый
39,Обновление правил использования,Условно,нормы,принцип гибкости,дискретные/континуальные,Уникальный
40,Оценка качества жизни,Нет,поведение,принцип инклюзивности,дискретные/континуальные,Аналоги существуют
41,Разработка архитектурных стандартов,Условно,тело/материя,принцип адаптивности,необходимые/возможные,Переносимый
42,Реконструкция заброшенных объектов,Условно,время/ритм,принцип прозрачности,цикличные/каскадные,Уникальный
43,Адаптация к изменению климата,Да,символы,принцип инноваций,мгновенные/постепенные,Аналоги существуют
44,Планирование образовательных учреждений,Нет,дискурс,принцип открытости,эндогенные/экзогенные,Уникальный
45,Создание подземных пространств,Нет,тело/материя,принцип гибкости,индивидуальные/коллективные,Уникальный
46,Управление шумом,Нет,институты,принцип участия,необходимые/возможные,Переносимый
47,Разработка зелёных крыш,Да,поведение,принцип устойчивости,явные/латентные,Аналоги существуют
48,Проектирование велосипедных треков,Да,структура,принцип участия,дискретные/континуальные,Аналоги существуют
49,Оптимизация использования энергии,Нет,значения,принцип открытости,мгновенные/постепенные,Уникальный
