№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Организация общественных слушаний,Условно,содержание,принцип гибкости,мгновенные/постепенные,Аналоги существуют
2,Проведение воркшопов с жителями,Условно,функция,принцип прозрачности,явные/латентные,Аналоги существуют
3,Картирование потребностей сообщества,Нет,нормы,принцип инклюзивности,дискретные/континуальные,Переносимый
4,Совместное проектирование общественных пространств,Нет,институты,принцип прозрачности,цикличные/каскадные,Уникальный
5,Модерирование круглых столов,Условно,состояние,принцип инноваций,мгновенные/постепенные,Уникальный
6,Использование опросов и голосований,Условно,память/наследие,принцип гибкости,дискретные/континуальные,Аналоги существуют
7,Соучастие в разработке дизайн-проектов,Нет,пространство,принцип открытости,цикличные/каскадные,Аналоги существуют
8,Интеграция результатов социальных исследований,Условно,пространство,принцип адаптивности,институциональные/неформальные,Аналоги существуют
9,Создание онлайн-платформ участия,Условно,отношения,принцип инклюзивности,мгновенные/постепенные,Переносимый
10,Организация дизайн-игр,Да,поведение,принцип комплексности,индивидуальные/коллективные,Аналоги существуют
11,Вовлечение школьников в планирование,Нет,отношения,принцип справедливости,эндогенные/экзогенные,Уникальный
12,Содействие маргинализированным группам,Нет,экономика/обмен,принцип прозрачности,институциональные/неформальные,Уникальный
13,Разработка планов кварталов вместе с жителями,Условно,значения,принцип прозрачности,институциональные/неформальные,Переносимый
14,Сбор идей и предложений,Нет,функция,принцип интеграции,эндогенные/экзогенные,Переносимый
15,Планирование изменений на основе обсуждений,Да,технология/инфраструктура,принцип справедливости,явные/латентные,Уникальный
16,Анализ конфликта интересов,Да,отношения,принцип адаптивности,эндогенные/экзогенные,Аналоги существуют
17,Переговоры между предпринимателями и жителями,Условно,идентичность/границы,принцип интеграции,эндогенные/экзогенные,Переносимый
18,Обратная связь и коррекция планов,Условно,отношения,принцип инклюзивности,эндогенные/экзогенные,Аналоги существуют
19,Обучение жителей чтению планов,Нет,структура,принцип гибкости,явные/латентные,Аналоги существуют
20,Распространение информации о проектах,Условно,структура,принцип устойчивости,мгновенные/постепенные,Уникальный
21,Использование социального медиамониторинга,Да,отношения,принцип инноваций,мгновенные/постепенные,Переносимый
22,Проведение хакатонов по городскому дизайну,Условно,пространство,принцип справедливости,индивидуальные/коллективные,Переносимый
23,Сбор статистики о потребностях,Да,технология/инфраструктура,принцип инноваций,индивидуальные/коллективные,Переносимый
24,Создание временных лабораторий,Условно,технология/инфраструктура,принцип комплексности,мгновенные/постепенные,Переносимый
25,Разработка карт проблем,Условно,пространство,принцип интеграции,необходимые/возможные,Уникальный
26,Проведение оценочных семинаров,Да,тело/материя,принцип инноваций,необходимые/возможные,Уникальный
27,Анализ доступности инфраструктуры,Условно,дискурс,принцип гибкости,эндогенные/экзогенные,Уникальный
28,Интеграция традиционных знаний,Да,символы,принцип инклюзивности,эндогенные/экзогенные,Уникальный
29,Проведение игровых симуляций,Условно,поведение,принцип адаптивности,институциональные/неформальные,Аналоги существуют
30,Составление карты заинтересованных сторон,Нет,структура,принцип открытости,явные/латентные,Уникальный
31,Содействие формированию комитетов,Да,время/ритм,принцип комплексности,мгновенные/постепенные,Уникальный
32,Обеспечение прозрачности процесса,Нет,дискурс,принцип комплексности,индивидуальные/коллективные,Уникальный
33,Организация временных пилотных проектов,Нет,символы,принцип инклюзивности,дискретные/континуальные,Аналоги существуют
34,Сбор мультимедийных историй,Условно,нормы,принцип участия,цикличные/каскадные,Переносимый
35,Создание фокус-групп,Нет,память/наследие,принцип прозрачности,мгновенные/постепенные,Переносимый
36,Участие ученых в планировании,Да,идентичность/границы,принцип открытости,цикличные/каскадные,Уникальный
37,Разработка критериев оценки проектов,Условно,содержание,принцип инноваций,необходимые/возможные,Переносимый
38,Проведение оповещений,Да,значения,принцип гибкости,необходимые/возможные,Переносимый
39,Сбор отзывов после реализации,Да,значения,принцип открытости,необходимые/возможные,Аналоги существуют
40,Выработка компромиссных решений,Условно,структура,принцип интеграции,необходимые/возможные,Переносимый
41,Обновление дизайн-регламентов,Да,пространство,принцип адаптивности,необходимые/возможные,Аналоги существуют
42,Публичные презентации проектов,Условно,нормы,принцип интеграции,индивидуальные/коллективные,Уникальный
43,Интеграция молодежных советов,Да,поведение,принцип открытости,явные/латентные,Переносимый
44,Использование карт доступности,Да,дискурс,принцип инклюзивности,индивидуальные/коллективные,Аналоги существуют
45,Проведение онлайн-голосований,Условно,значения,принцип участия,явные/латентные,Переносимый
46,Составление дорожных карт,Условно,значения,принцип гибкости,дискретные/континуальные,Аналоги существуют
47,Анализ реакций СМИ,Да,значения,принцип инклюзивности,индивидуальные/коллективные,Переносимый
48,Создание открытого архива,Нет,время/ритм,принцип участия,мгновенные/постепенные,Переносимый
49,Обучение муниципалов методам участия,Условно,идентичность/границы,принцип прозрачности,цикличные/каскадные,Переносимый
50,Разработка систем поощрений,Да,отношения,принцип устойчивости,мгновенные/постепенные,Уникальный
