№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Проведение dérive,Нет,состояние,принцип справедливости,цикличные/каскадные,Уникальный
2,Карта эмоциональных ландшафтов,Нет,отношения,принцип участия,цикличные/каскадные,Переносимый
3,Исследование влияния улиц на настроение,Условно,дискурс,принцип справедливости,дискретные/континуальные,Аналоги существуют
4,Организация прогулок без цели,Да,память/наследие,принцип комплексности,мгновенные/постепенные,Аналоги существуют
5,Исследование скрытых маршрутов,Нет,экономика/обмен,принцип участия,эндогенные/экзогенные,Уникальный
6,Создание персональной картографии,Нет,память/наследие,принцип открытости,эндогенные/экзогенные,Уникальный
7,Анализ рекламы и вывесок,Нет,технология/инфраструктура,принцип открытости,цикличные/каскадные,Аналоги существуют
8,Изучение архитектурных барьеров,Да,технология/инфраструктура,принцип открытости,эндогенные/экзогенные,Переносимый
9,Проведение ситуационистских экспериментов,Нет,время/ритм,принцип адаптивности,мгновенные/постепенные,Аналоги существуют
10,Исследование “неслучайных” встреч,Нет,структура,принцип инноваций,необходимые/возможные,Аналоги существуют
11,Документирование звуковых ландшафтов,Да,время/ритм,принцип открытости,индивидуальные/коллективные,Аналоги существуют
12,Изучение эффекта цвета фасадов,Да,память/наследие,принцип адаптивности,необходимые/возможные,Переносимый
13,Анализ пространственных метафор,Условно,память/наследие,принцип инноваций,необходимые/возможные,Аналоги существуют
14,Проектирование перформативных маршрутов,Нет,тело/материя,принцип адаптивности,явные/латентные,Уникальный
15,Исследование психических карт,Нет,структура,принцип комплексности,институциональные/неформальные,Переносимый
16,Создание художественных интервенций,Нет,пространство,принцип справедливости,индивидуальные/коллективные,Аналоги существуют
17,Оценка влияния освещения,Нет,состояние,принцип адаптивности,институциональные/неформальные,Аналоги существуют
18,Исследование «мертвых зон»,Нет,нормы,принцип интеграции,мгновенные/постепенные,Уникальный
19,Анализ тактильных ощущений от материала,Нет,значения,принцип устойчивости,цикличные/каскадные,Уникальный
20,Проведение фотопрогулок,Нет,пространство,принцип открытости,цикличные/каскадные,Переносимый
21,Сбор рассказов жителей о местах,Да,время/ритм,принцип справедливости,цикличные/каскадные,Уникальный
22,Исследование запахов города,Нет,экономика/обмен,принцип справедливости,институциональные/неформальные,Переносимый
23,Создание аудиогидов,Нет,функция,принцип устойчивости,явные/латентные,Переносимый
24,Анализ влияния погодных условий,Нет,поведение,принцип гибкости,мгновенные/постепенные,Аналоги существуют
25,Изучение поведения в переходах,Да,тело/материя,принцип прозрачности,индивидуальные/коллективные,Переносимый
26,Построение ментальных карт детей,Нет,пространство,принцип прозрачности,институциональные/неформальные,Аналоги существуют
27,Проведение звуковых прогулок,Нет,содержание,принцип открытости,цикличные/каскадные,Уникальный
28,Проектирование временнóго осознания,Да,отношения,принцип инклюзивности,мгновенные/постепенные,Переносимый
29,Исследование влияния вывесок на поведение,Условно,отношения,принцип гибкости,необходимые/возможные,Уникальный
30,Изучение движений толпы,Да,экономика/обмен,принцип инклюзивности,мгновенные/постепенные,Аналоги существуют
31,Анализ визуальных препятствий,Да,дискурс,принцип адаптивности,цикличные/каскадные,Уникальный
32,Изучение игровых инсталляций,Условно,функция,принцип участия,дискретные/континуальные,Переносимый
33,Исследование чувства безопасности,Да,поведение,принцип справедливости,необходимые/возможные,Аналоги существуют
34,Проведение ночных деривов,Да,институты,принцип устойчивости,мгновенные/постепенные,Уникальный
35,Анализ слуховых ландшафтов,Да,функция,принцип адаптивности,эндогенные/экзогенные,Аналоги существуют
36,Изучение чувства принадлежности,Да,институты,принцип справедливости,необходимые/возможные,Переносимый
37,Построение пространственных дневников,Нет,идентичность/границы,принцип комплексности,институциональные/неформальные,Уникальный
38,Исследование влияния мобильных технологий,Да,значения,принцип справедливости,необходимые/возможные,Уникальный
39,Проектирование микрособытий,Условно,идентичность/границы,принцип устойчивости,дискретные/континуальные,Переносимый
40,Изучение публичного искусства,Условно,значения,принцип инноваций,мгновенные/постепенные,Аналоги существуют
41,Проведение тематических прогулок,Нет,функция,принцип прозрачности,необходимые/возможные,Аналоги существуют
42,Анализ влияния транспорта на эмоции,Условно,технология/инфраструктура,принцип инклюзивности,индивидуальные/коллективные,Аналоги существуют
43,Исследование разнообразия маршрутов,Нет,структура,принцип инклюзивности,институциональные/неформальные,Аналоги существуют
44,Изучение влияния шума,Да,состояние,принцип интеграции,институциональные/неформальные,Переносимый
45,Проектирование маршрутов с сюрпризами,Условно,структура,принцип адаптивности,необходимые/возможные,Аналоги существуют
46,Исследование восприятия высоты,Да,пространство,принцип прозрачности,эндогенные/экзогенные,Аналоги существуют
47,Создание коллективных карт,Условно,тело/материя,принцип устойчивости,мгновенные/постепенные,Аналоги существуют
48,Анализ влияния освещения на настроение,Условно,содержание,принцип интеграции,мгновенные/постепенные,Переносимый
49,Исследование визуального загрязнения,Да,время/ритм,принцип устойчивости,индивидуальные/коллективные,Уникальный
