№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Организация временных парковок (parklets),Да,институты,принцип устойчивости,эндогенные/экзогенные,Переносимый
2,Роспись пешеходных переходов,Условно,нормы,принцип интеграции,индивидуальные/коллективные,Уникальный
3,Установка временных велодорожек,Нет,время/ритм,принцип прозрачности,явные/латентные,Аналоги существуют
4,Создание всплывающих скверов,Условно,технология/инфраструктура,принцип участия,эндогенные/экзогенные,Уникальный
5,Проведение испытания дорожных сужений,Да,содержание,принцип участия,цикличные/каскадные,Переносимый
6,Установка временных скамей,Да,тело/материя,принцип инноваций,индивидуальные/коллективные,Уникальный
7,Граффити-арт для обозначения пространств,Нет,отношения,принцип устойчивости,институциональные/неформальные,Уникальный
8,Программирование pop-up магазинов,Нет,состояние,принцип участия,цикличные/каскадные,Переносимый
9,Создание временных игровых площадок,Да,символы,принцип устойчивости,мгновенные/постепенные,Уникальный
10,Организация городских садов,Да,поведение,принцип инклюзивности,цикличные/каскадные,Уникальный
11,Проведение открытых улиц,Да,пространство,принцип гибкости,эндогенные/экзогенные,Уникальный
12,Использование уличного искусства для направления движения,Условно,технология/инфраструктура,принцип справедливости,явные/латентные,Уникальный
13,Временное озеленение,Нет,отношения,принцип инклюзивности,индивидуальные/коллективные,Аналоги существуют
14,Сбор обратной связи после проектов,Да,институты,принцип участия,индивидуальные/коллективные,Уникальный
15,Привлечение волонтёров,Да,значения,принцип открытости,эндогенные/экзогенные,Уникальный
16,Проведение тактических собраний,Нет,функция,принцип адаптивности,индивидуальные/коллективные,Уникальный
17,Создание направляющих стрелок,Нет,значения,принцип устойчивости,явные/латентные,Переносимый
18,Установка временных знаков,Да,символы,принцип инноваций,институциональные/неформальные,Аналоги существуют
19,Испытание новых схем движения,Условно,дискурс,принцип участия,цикличные/каскадные,Уникальный
20,Сбор данных о поведении пешеходов,Условно,нормы,принцип справедливости,дискретные/континуальные,Переносимый
21,Создание временных осветительных инсталляций,Да,содержание,принцип устойчивости,институциональные/неформальные,Уникальный
22,Разметка временных велосипедных парковок,Нет,институты,принцип гибкости,институциональные/неформальные,Аналоги существуют
23,Проведение ярмарок под открытым небом,Условно,состояние,принцип прозрачности,явные/латентные,Переносимый
24,Планирование парковочных дней,Нет,память/наследие,принцип адаптивности,явные/латентные,Переносимый
25,Установка временнóго кафе,Условно,время/ритм,принцип инклюзивности,мгновенные/постепенные,Переносимый
26,Размещение мобильных клумб,Нет,отношения,принцип устойчивости,мгновенные/постепенные,Аналоги существуют
27,Организация временных рынков,Нет,структура,принцип гибкости,цикличные/каскадные,Аналоги существуют
28,Реконфигурация полос движения,Условно,поведение,принцип гибкости,мгновенные/постепенные,Уникальный
29,Проведение культурных мероприятий,Условно,технология/инфраструктура,принцип интеграции,цикличные/каскадные,Переносимый
30,Временная пешеходизация улиц,Нет,символы,принцип интеграции,дискретные/континуальные,Аналоги существуют
31,Создание модульных конструкций,Нет,содержание,принцип открытости,дискретные/континуальные,Переносимый
32,Установка художественных объектов,Нет,функция,принцип инклюзивности,институциональные/неформальные,Аналоги существуют
33,Применение гибких ограждений,Да,идентичность/границы,принцип участия,институциональные/неформальные,Переносимый
34,Проведение фестивалей еды,Условно,институты,принцип справедливости,институциональные/неформальные,Переносимый
35,Размещение контейнеров для сидения,Да,технология/инфраструктура,принцип открытости,мгновенные/постепенные,Уникальный
36,Сбор пожертвований для улучшений,Да,институты,принцип справедливости,индивидуальные/коллективные,Аналоги существуют
37,Создание pop-up библиотек,Да,состояние,принцип прозрачности,дискретные/континуальные,Аналоги существуют
38,Испытание новых материалов покрытия,Условно,функция,принцип комплексности,мгновенные/постепенные,Переносимый
39,Применение трафаретов для графики,Нет,тело/материя,принцип инклюзивности,мгновенные/постепенные,Аналоги существуют
40,Информирование жителей,Условно,нормы,принцип инноваций,институциональные/неформальные,Аналоги существуют
41,Испытание безопасных перекрестков,Да,экономика/обмен,принцип комплексности,цикличные/каскадные,Уникальный
42,Создание зон отдыха для велосипедистов,Нет,институты,принцип инклюзивности,эндогенные/экзогенные,Уникальный
43,Проведение спортивных мероприятий,Нет,структура,принцип инклюзивности,цикличные/каскадные,Аналоги существуют
44,Разработка стратегии масштабирования,Условно,дискурс,принцип устойчивости,эндогенные/экзогенные,Аналоги существуют
45,Размещение переносных туалетов,Нет,идентичность/границы,принцип прозрачности,мгновенные/постепенные,Аналоги существуют
46,Организация городской игры,Условно,содержание,принцип интеграции,эндогенные/экзогенные,Аналоги существуют
47,Создание уличных галерей,Да,нормы,принцип инклюзивности,цикличные/каскадные,Переносимый
48,Сбор статистики о пользовании,Да,поведение,принцип справедливости,цикличные/каскадные,Аналоги существуют
49,Испытание инновационных покрытий,Нет,нормы,принцип комплексности,дискретные/континуальные,Аналоги существуют
