№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Развертывание сенсоров IoT,Нет,структура,принцип адаптивности,цикличные/каскадные,Аналоги существуют
2,Внедрение интеллектуального освещения,Условно,функция,принцип участия,институциональные/неформальные,Переносимый
3,Анализ больших данных для управления трафиком,Да,содержание,принцип участия,явные/латентные,Уникальный
4,Разработка платформы открытых данных,Условно,поведение,принцип участия,мгновенные/постепенные,Переносимый
5,Интеграция мобильных приложений для граждан,Условно,структура,принцип интеграции,необходимые/возможные,Аналоги существуют
6,Модернизация коммунальных сетей,Да,экономика/обмен,принцип открытости,цикличные/каскадные,Переносимый
7,Внедрение умных счетчиков,Нет,состояние,принцип адаптивности,явные/латентные,Уникальный
8,Создание цифровой инфраструктуры,Условно,значения,принцип открытости,необходимые/возможные,Аналоги существуют
9,Анализ энергетического потребления,Условно,дискурс,принцип открытости,явные/латентные,Аналоги существуют
10,Система электронных платежей,Условно,пространство,принцип гибкости,индивидуальные/коллективные,Аналоги существуют
11,Внедрение беспилотного транспорта,Да,время/ритм,принцип справедливости,необходимые/возможные,Уникальный
12,Разработка цифровых двойников,Нет,дискурс,принцип прозрачности,индивидуальные/коллективные,Переносимый
13,Система мониторинга качества воздуха,Условно,нормы,принцип адаптивности,явные/латентные,Уникальный
14,Автоматизированное управление отходами,Условно,время/ритм,принцип прозрачности,эндогенные/экзогенные,Уникальный
15,Программа умного здравоохранения,Да,технология/инфраструктура,принцип адаптивности,явные/латентные,Аналоги существуют
16,Реализация безопасности через мониторинг,Условно,дискурс,принцип комплексности,мгновенные/постепенные,Аналоги существуют
17,Интеграция общественных Wi-Fi сетей,Условно,пространство,принцип инклюзивности,институциональные/неформальные,Аналоги существуют
18,Сбор обратной связи через мобильные платформы,Нет,структура,принцип открытости,цикличные/каскадные,Уникальный
19,Управление городской водой с датчиками,Нет,содержание,принцип открытости,цикличные/каскадные,Переносимый
20,Анализ пользовательских данных для планирования,Нет,символы,принцип открытости,институциональные/неформальные,Уникальный
21,Обучение персонала цифровым навыкам,Да,символы,принцип участия,явные/латентные,Уникальный
22,Внедрение блокчейн-технологий,Нет,пространство,принцип адаптивности,необходимые/возможные,Аналоги существуют
23,Использование предиктивной аналитики,Да,нормы,принцип комплексности,необходимые/возможные,Переносимый
24,Сотрудничество с стартапами,Да,значения,принцип открытости,институциональные/неформальные,Переносимый
25,Разработка кибербезопасности,Да,дискурс,принцип инноваций,мгновенные/постепенные,Переносимый
26,Мониторинг движения общественного транспорта,Да,отношения,принцип справедливости,явные/латентные,Переносимый
27,Умные парковочные решения,Условно,технология/инфраструктура,принцип гибкости,необходимые/возможные,Переносимый
28,Разработка систем выявления аварий,Да,нормы,принцип справедливости,индивидуальные/коллективные,Аналоги существуют
29,Управление энергосетями в реальном времени,Условно,содержание,принцип адаптивности,дискретные/континуальные,Уникальный
30,Внедрение «умных» зданий,Да,пространство,принцип инноваций,эндогенные/экзогенные,Переносимый
31,Создание цифровых карт для доступности,Условно,память/наследие,принцип участия,явные/латентные,Уникальный
32,Интеграция систем видеонаблюдения,Условно,время/ритм,принцип инклюзивности,цикличные/каскадные,Переносимый
33,Оптимизация логистики коммунальных служб,Да,содержание,принцип справедливости,дискретные/континуальные,Уникальный
34,Разработка алгоритмов устойчивого освещения,Условно,функция,принцип интеграции,институциональные/неформальные,Аналоги существуют
35,Моделирование городских энергосетей,Условно,память/наследие,принцип справедливости,дискретные/континуальные,Аналоги существуют
36,Создание центров обработки данных,Да,институты,принцип участия,институциональные/неформальные,Переносимый
37,Разработка систем экстренного оповещения,Нет,содержание,принцип комплексности,явные/латентные,Переносимый
38,Автоматизация городской администрации,Да,структура,принцип прозрачности,дискретные/континуальные,Уникальный
39,Интеграция метеорологических данных,Условно,структура,принцип комплексности,эндогенные/экзогенные,Уникальный
40,Внедрение AR для навигации,Да,отношения,принцип прозрачности,необходимые/возможные,Переносимый
41,Разработка интеллектуального управления светофорами,Нет,пространство,принцип прозрачности,мгновенные/постепенные,Переносимый
42,Система предсказания пробок,Условно,память/наследие,принцип открытости,эндогенные/экзогенные,Переносимый
43,Автономное управление светофорами,Условно,память/наследие,принцип комплексности,индивидуальные/коллективные,Аналоги существуют
44,Умные контейнеры для мусора,Условно,функция,принцип справедливости,явные/латентные,Переносимый
45,Сеть зарядных станций,Да,дискурс,принцип прозрачности,эндогенные/экзогенные,Переносимый
46,Разработка платформы гражданского участия,Нет,время/ритм,принцип участия,цикличные/каскадные,Переносимый
47,Оптимизация использования воды,Да,тело/материя,принцип инноваций,явные/латентные,Переносимый
48,Автоматизированный мониторинг мостов,Да,символы,принцип инноваций,мгновенные/постепенные,Аналоги существуют
