№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализировать водосбор и погодные модели,Да,время/ритм,Гидрологический цикл,необходимые; дискретные; индивидуальные,Первый шаг для водных проектов
2,Проектировать свейлы по контуру,Да,пространство,Удержание и распределение воды,необходимые; дискретные; технологические,Аналог в почвоведении
3,Создавать пруды или дамбы,Да,технология/инфраструктура,Водоём как запас,возможные; дискретные; коллективные,Связь с аквакультурой
4,Устанавливать системы сбора дождевой воды,Да,технология/инфраструктура,Использование ресурсов,возможные; дискретные; индивидуальные,Уникально в городских условиях
5,Организовать повторное использование серой воды,Да,технология/инфраструктура,Замкнутые циклы,возможные; дискретные; индивидуальные,Связано с экономикой
6,Проектировать каналы и капельное орошение,Да,технология/инфраструктура,Эффективность использования воды,возможные; дискретные; технологические,Аналог в сельском хозяйстве
7,Контролировать эрозию через переливы,Да,пространство,Принцип замедления и рассеивания,необходимые; постепенные; технологические,Перекрывается с почвоведением
8,Сажать влаголюбивые растения в низинах,Да,структура,Фитофильтрация,возможные; постепенные; индивидуальные,Уникальный подход для очистки воды
9,Создавать инфильтрационные бассейны,Да,технология/инфраструктура,Пополнение грунтовых вод,возможные; дискретные; технологические,Уникальность — пополнение запасов
10,Использовать ключевой плуг для удержания воды,Да,тело/материя,Keyline дизайн,возможные; дискретные; технологические,Аналог в агротехнике
11,Устанавливать фитофильтрационные системы (камышовые фильтры),Да,технология/инфраструктура,Биологическая очистка,возможные; постепенные; технологические,Связь с водой и почвой
12,Создавать микроклимат через водоёмы,Да,пространство,Удержание тепла и влаги,возможные; постепенные; индивидуальные,Аналог в дизайне систем
13,"Контролировать застоявшуюся воду, предотвращая вредителей",Да,поведение,Принцип здоровой экологии,возможные; цикличные; индивидуальные,Аналог в здравоохранении
14,"Мониторинг качества воды (pH, биота)",Да,содержание,Экосистемный мониторинг,возможные; цикличные; индивидуальные,Аналог в эпигенетике по мониторингу
15,Обслуживание и ремонт водных сооружений,Да,технология/инфраструктура,Регулярная техническая поддержка,возможные; цикличные; коллективные,Уникальное для инженерных систем
