№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определить целевые растения (ключевые виды),Да,структура,Принцип ключевого вида,необходимые; дискретные; индивидуальные,Аналог в экологии
2,"Исследовать растения-спутники, поддерживающие функции",Да,структура,Комплементарные отношения,возможные; дискретные; индивидуальные,Связь с поликультурой
3,Выбрать азотфиксирующие виды для гильдии,Да,функция,Симбиоз,возможные; дискретные; индивидуальные,Перекрывается с пищевыми лесами
4,Назначить динамические аккумуляторы (минераловы,Да,функция,Реминерализация,возможные; дискретные; индивидуальные,Уникально для гильд
5,Добавить инсектоарные растения для опылителей,Да,функция,Привлечение полезных насекомых,возможные; дискретные; индивидуальные,Связь с агроэкологией
6,Включить отпугивающие видов вредителей,Да,функция,Биологическая защита,возможные; дискретные; индивидуальные,Аналог в органическом земледелии
7,Посадить живую мульчу,Да,структура,Покрывные растения,возможные; постепенные; индивидуальные,Уникально в гильдиях
8,Учитывать глубину корней для минимизации конкуренции,Да,структура,Пространственное распределение,возможные; дискретные; индивидуальные,Связь с почвоведением
9,Разместить растения по высоте и потребностям в свете,Да,структура,Вертикальная стратификация,возможные; дискретные; индивидуальные,Аналог в лесных садах
10,Учесть временную сукцессию и урожайность,Да,время/ритм,Динамическая динамика,возможные; дискретные; индивидуальные,Связь с пищевыми лесами
11,"Добавить микрогабиаты (камни, бревна)",Да,пространство,Создание экологических ниш,возможные; дискретные; индивидуальные,Уникально для микроорганизмов
12,Инокулировать полезные грибы,Да,тело/материя,Грибо–растительные симбиозы,возможные; дискретные; индивидуальные,Связь с микоризами
13,Мульчировать вокруг гильдии для удержания влаги,Да,тело/материя,Сохранение ресурсов,возможные; постепенные; индивидуальные,Аналог в почве
14,Мониторинг взаимодействий между видами,Да,отношения,Системный анализ,возможные; цикличные; индивидуальные,Уникально для гильд
15,Корректировка состава гильдии для максимальной синергии,Да,структура,Адаптивное управление,условно; постепенные; индивидуальные,Связь с системным дизайном
