№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Наблюдать узоры и паттерны участка,Да,пространство,Принцип наблюдения и взаимодействия,необходимые; постепенные; индивидуальные,Основной этап в любом проекте
2,Определить цели и применить три этики пермакультуры,Да,ценности,"Этика заботы о Земле, людях и справедливом распределении",необходимые; дискретные; коллективные,Аналог в социальной пермакультуре
3,Выявить элементы и их функции,Да,функция,Проектирование на основе функций,возможные; дискретные; индивидуальные,Аналог в сетевой биологии
4,"Картировать сектора (солнечный, ветровой, водный)",Да,пространство,Анализ внешних сил,необходимые; дискретные; индивидуальные,Связано с поддоменом 'Зоны и сектора'
5,Определить зоны использования и распределить элементы,Да,пространство,Зональный анализ,необходимые; дискретные; индивидуальные,Перекрывается с поддоменом 'Зоны и сектора'
6,Оценить потоки энергии и ресурсов,Да,экономика/обмен,Принцип ловли и хранения энергии,возможные; постепенные; индивидуальные,Аналог в экологической психологии
7,Спроектировать систему водосбора,Да,технология/инфраструктура,Использование контурных линий,необходимые; дискретные; технологические,Связь с поддоменом 'Водные системы'
8,Запланировать стратегии построения почвы,Да,тело/материя,Накопление органического вещества,возможные; постепенные; индивидуальные,Перекрывается с 'Почвоведение'
9,Выбрать виды растений и гильдии,Да,структура,Биоразнообразие и гильдии,возможные; дискретные; индивидуальные,Похоже на поддомен 'Гилд дизайн'
10,Интегрировать животных в систему,Да,экономика/обмен,Симбиотические отношения,возможные; постепенные; коллективные,Уникально для пермакультуры
11,Реализовать поликультуру и смешанные посадки,Да,структура,Принцип интеграции,возможные; постепенные; индивидуальные,Аналог в агроэкологии
12,Создать микроклиматические элементы (ветрозащитные полосы),Да,пространство,Управление климатом,возможные; постепенные; технологические,Связь с 'Водные системы'
13,Планировать дорожки и инфраструктуру,Да,структура,Принцип оптимальных соединений,необходимые; дискретные; технологические,Уникально в дизайне системы
14,Организовать обратную связь и мониторинг,Да,отношения,Принцип саморегуляции,возможные; цикличные; коллективные,Аналог в системной медицине
15,Корректировать дизайн на основе наблюдений,Да,функция,Принцип реакции на изменения,условно; постепенные; индивидуальные,Перекликается с непрерывным улучшением
