№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Наблюдать ежедневный маршрут и определить зону 0,Да,пространство,Зональный анализ,необходимые; дискретные; индивидуальные,Уникальный этап для планирования
2,Картировать компоненты зоны 1 (кухонный сад),Да,пространство,Размещение по частоте использования,необходимые; дискретные; индивидуальные,Перекрывается с дизайном систем
3,"Определить элементы зоны 2 (плодовые деревья, многолетники)",Да,пространство,Слои использования,возможные; дискретные; индивидуальные,Связь с пищевым лесом
4,Спроектировать зону 3 (поля и пастбища),Да,пространство,Сельскохозяйственное планирование,возможные; дискретные; коллективные,Соотносится с урбанальной пермакультурой
5,Очертить зону 4 (полудикое пространство для заготовок),Да,пространство,Охрана биоразнообразия,возможные; постепенные; коллективные,Аналог природных резерватов
6,Оставить зону 5 (дикая) нетронутой,Да,пространство,Принцип соблюдения дикой природы,необходимые; мгновенные; индивидуальные,Уникальность — отсутствие вмешательства
7,Выявить солнечные секторы и траектории,Да,пространство,Анализ солнечной энергии,необходимые; дискретные; индивидуальные,Аналог в дизайне зданий
8,Определить преобладающие ветры,Да,пространство,Ветровой анализ,возможные; дискретные; индивидуальные,Перекликается с микроклиматом
9,Картировать направление и объём водных потоков,Да,пространство,Гидрологический анализ,необходимые; дискретные; индивидуальные,Связано с водными системами
10,Учесть риски пожаров и наводнений,Да,пространство,Оценка природных рисков,возможные; дискретные; индивидуальные,Аналог в экологии жилища
11,Учитывать маршруты дикой фауны,Да,пространство,Экологические коридоры,возможные; постепенные; коллективные,Перекликается с социальной экосистемой
12,Размещать структуры исходя из зон и секторов,Да,пространство,Принцип относительного расположения,необходимые; дискретные; индивидуальные,Основной принцип дизайна
13,Подстраивать границы зон под микроклиматы,Да,пространство,Гибкость в планировании,условно; постепенные; индивидуальные,Уникальность — адаптивность
14,Отслеживать частоту посещений для корректировок,Да,поведение,Принцип обратной связи,возможные; цикличные; индивидуальные,Аналог в теории тренировки
15,Периодически пересматривать карту зон и секторов,Да,память/наследие,Циклический анализ,возможные; цикличные; коллективные,Уникальный процесс для долгосрочного управления
