№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,"Провести анализ почвы (pH, питательные вещества)",Да,содержание,Научный метод,необходимые; дискретные; индивидуальные,Аналог в физиологии спорта
2,Определить текстуру и структуру почвы,Да,структура,Механический анализ,необходимые; дискретные; индивидуальные,Базовый шаг
3,Внести компост для наращивания гумуса,Да,тело/материя,Цикл питательных веществ,возможные; постепенные; индивидуальные,Связь с экономикой
4,Применить слой мульчи (листовой подстилки),Да,тело/материя,Сбережение влаги,возможные; постепенные; индивидуальные,Аналог в пищевых лесах
5,Создать систему вермикомпоста,Да,тело/материя,Живые организмы как переработчики,возможные; дискретные; индивидуальные,Уникально в биомеханике
6,Добавить биочар для удержания углерода,Да,тело/материя,Термическая модификация,возможные; дискретные; индивидуальные,Аналог в синтетической биологии
7,Засеять сидераты (зеленое удобрение),Да,структура,Обогащение азотом,возможные; постепенные; индивидуальные,Связь с лесным садом
8,Практиковать чередование культур,Да,структура,Избежание истощения,возможные; цикличные; индивидуальные,Аналог в аграрных системах
9,Использовать микоризные инокулянты,Да,тело/материя,Симбиотические отношения,возможные; дискретные; индивидуальные,Уникально для почвы
10,Создавать грядки в стиле хугелькультура,Да,тело/материя,Использование древесного материала,возможные; дискретные; индивидуальные,Связь с дизайном зданий
11,Управлять водной инфильтрацией,Да,структура,Контроль эрозии,возможные; постепенные; технологические,Аналог в водных системах
12,Избегать уплотнения почвы,Да,тело/материя,Сохранение структуры,возможные; постепенные; индивидуальные,Аналог в транспорте
13,Интегрировать животных для циркуляции питательных веществ,Да,экономика/обмен,Мультифункциональность,возможные; постепенные; коллективные,Связь с системой дизайна
14,Создать живую мульчу,Да,структура,Покрывные растения,возможные; постепенные; индивидуальные,Аналог в пищевых лесах
15,"Отслеживать биологическую активность (черви, микробы)",Да,содержание,Показатель здоровья,возможные; цикличные; индивидуальные,Уникально в экосистемном мониторинге
16,Динамически менять практики в зависимости от сезона,Да,время/ритм,Адаптивное управление,условно; цикличные; индивидуальные,Аналог в теории тренировки
