№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создать процесс совместного принятия решений,Да,институты,Принцип консенсуса,необходимые; дискретные; коллективные,Уникально для групп
2,Развивать открытые и нелинейные коммуникации,Да,отношения,Принцип прозрачности,возможные; континуальные; коллективные,Связь с психологией спорта
3,Запускать банк времени/обмен навыками,Да,экономика/обмен,Взаимная поддержка,возможные; дискретные; коллективные,Аналог в пермакультуре экономики
4,Формировать социальные гильдии (группы взаимопомощи),Да,отношения,Синергия людей,возможные; постепенные; коллективные,Аналог растительных гильдий
5,Внедрять практики разрешения конфликтов,Да,нормы,Ненасильственное общение,возможные; дискретные; коллективные,Связь с психотерапией
6,Планировать устойчивость сообщества,Да,институты,Сценарное планирование,возможные; дискретные; коллективные,Уникально — долгосрочное планирование
7,Проводить коллективные дизайн-сессии,Да,отношения,Вовлеченность,возможные; дискретные; коллективные,Аналог дизайна системы
8,Организовывать общинные праздники,Да,дискурс,Культурное укрепление,возможные; цикличные; коллективные,Аналог ритуалистики
9,Развивать механизмы консенсуса,Да,институты,Согласование,возможные; дискретные; коллективные,Связь с кооперативами
10,Создавать структуры локального самоуправления,Да,институты,Децентрализация,возможные; постепенные; коллективные,Уникально в социальной экологии
11,Стимулировать личностный рост и лидерство,Да,идентичность/границы,Самоактуализация,возможные; постепенные; индивидуальные,Аналог в психологии спорта
12,Формировать группы взаимной поддержки (взаимопомощь),Да,отношения,Сетевой эффект,возможные; постепенные; коллективные,Уникально для общины
13,Создавать обучающие круги и наставничество,Да,память/наследие,Передача знаний,возможные; цикличные; коллективные,Аналог в образовании
14,Организовать совместные библиотеки ресурсов,Да,экономика/обмен,Общий доступ,возможные; дискретные; коллективные,Связь с кооперативами
15,Проводить оценку и эволюцию социальных структур,Да,отношения,Обратная связь,условно; цикличные; коллективные,Уникальность — социальный мониторинг
