№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Экстракция ДНК из образца,Да,тело/материя,Химический лизис,необходимые; дискретные; лабораторные,Первый этап секвенирования
2,Высокопроизводительное секвенирование ДНК,Да,технология/инфраструктура,NGS технологии,необходимые; дискретные; технологические,Основной процесс геномики
3,Выравнивание последовательностей с эталонным геномом,Да,содержание,Алгоритмы выравнивания,необходимые; дискретные; индивидуальные,Общий bioinformatics процесс
4,Поиск генетических вариантов (variant calling),Да,содержание,Статистические модели,необходимые; дискретные; индивидуальные,Ключ для персонализированной медицины
5,Аннотирование генов и функциональных элементов,Да,содержание,Биоинформационные базы,возможные; дискретные; институциональные,Связь с протеомикой
6,Сравнительная геномика между видами,Условно,отношения,Эволюционная теория,возможные; дискретные; коллективные,Применение в филогенетике
7,Сборка генома de novo,Условно,структура,Алгоритмы сборки,возможные; дискретные; исследовательские,Требует долгих вычислений
8,Анализ популяционной генетики,Условно,отношения,Модель Харди‑Вайнберга,возможные; коллективные; институциональные,Связь с биогеографией
9,Функциональная геномика (регуляторные элементы),Условно,функция,Эпигенетические механизмы,возможные; коллективные; исследовательские,Перекликается с эпигенетикой
10,Редактирование генома (CRISPR),Условно,технология/инфраструктура,CRISPR/Cas система,возможные; дискретные; исследовательские,Соприкасается с синтетической биологией
11,Обнаружение структурных вариаций,Условно,структура,Анализ длинных чтений,возможные; дискретные; исследовательские,Многокопийные изменения
12,Анализ числа копий генов,Условно,содержание,CNV методы,возможные; дискретные; исследовательские,Связь с онкологией
13,Изучение пространственной организации генома (Hi‑C),Условно,пространство,Хромосомная архитектура,возможные; дискретные; исследовательские,Новые технологии
14,Персональная интерпретация вариантов,Условно,нормы,Клинические руководства,возможные; дискретные; институциональные,Поддержка клинических решений
15,Депонирование данных в общих репозиториях,Да,нормы,Принципы FAIR,необходимые; дискретные; институциональные,Общий для научных данных
