№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Интеграция мультиомных данных пациента,Условно,отношения,Модели интеграции,возможные; коллективные; институциональные,Основной принцип системной медицины
2,Построение сетевых моделей заболевания,Условно,структура,Сетевая биология,возможные; коллективные; исследовательские,Связь с сетевой биологией
3,Прогностическое моделирование исходов,Условно,функция,Машинное обучение,возможные; континуальные; индивидуальные,Перекликается с биоинформатикой
4,Идентификация персонализированных терапевтических целей,Условно,функция,Системный анализ,возможные; коллективные; исследовательские,Прямое применение геномики
5,Внедрение систем искусственного интеллекта в клинику,Условно,технология/инфраструктура,AI/ML,возможные; институциональные; новаторские,Требует нормативов
6,Открытие биомаркеров для ранней диагностики,Условно,состояние,Статистические методы,возможные; коллективные; исследовательские,См. метаболомика
7,Мониторинг пациентов с помощью носимых устройств,Условно,технология/инфраструктура,Цифровая медицина,возможные; континуальные; индивидуальные,Связь с мобильным здоровьем
8,Симуляция реакции пациента на лечение (digital twin),Условно,функция,Математическое моделирование,возможные; континуальные; исследовательские,Новаторская методика
9,Проведение прецизионных клинических исследований,Условно,нормы,Стратификация пациентов,возможные; институциональные; исследовательские,Требует индивидуальных подходов
10,Системный анализ коморбидностей,Условно,отношения,Эпидемиология,возможные; коллективные; исследовательские,Объединение клинических данных
11,Координация междисциплинарной команды,Да,отношения,Профессиональное взаимодействие,возможные; коллективные; институциональные,Важное организационное звено
12,Гармонизация данных между медицинскими учреждениями,Условно,нормы,Стандарты HL7/FHIR,возможные; институциональные; нормативные,Аналог информационной интеграции
13,Этическая и социальная оценка системных подходов,Условно,нормы,Биоэтика,возможные; коллективные; институциональные,Наряду с правом
14,Обратная связь пациентам через мобильные приложения,Да,дискурс,Цифровой коммуникационный канал,возможные; индивидуальные; континуальные,Связь с экотерапией
15,Оценка эффективности вмешательств по системным метрикам,Условно,состояние,Клинические показатели,возможные; коллективные; институциональные,Требует стандартов оценки
