№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Извлечение РНК из образца,Да,тело/материя,Химическая экстракция,необходимые; дискретные; лабораторные,Первый шаг RNA‑seq
2,Секвенирование мРНК (RNA‑seq),Да,технология/инфраструктура,NGS,необходимые; дискретные; технологические,Основной процесс
3,Сборка транскриптов de novo,Условно,структура,Алгоритмы сборки,возможные; дискретные; исследовательские,Аналог геномной сборки
4,Анализ дифференциальной экспрессии генов,Условно,содержание,Статистические тесты,возможные; коллективные; индивидуальные,Общее bioinformatics
5,Обнаружение альтернативного сплайсинга,Условно,содержание,Сплайсинговые алгоритмы,возможные; коллективные; исследовательские,Уникально для транскриптомики
6,Профилирование не‑кодирующих РНК,Условно,содержание,miRNA/lncRNA,возможные; коллективные; исследовательские,Связь с эпигенетикой
7,Одноклеточная транскриптомика,Условно,пространство,droplet‑based methods,возможные; дискретные; исследовательские,Аналог single‑cell протеомики
8,Пространственная транскриптомика,Условно,пространство,Spatial barcoding,возможные; дискретные; исследовательские,Современный тренд
9,Картирование локусов eQTL,Условно,отношения,Генетическая ассоциация,возможные; коллективные; исследовательские,Соединяет геномику и транскриптомику
10,Конструкция сетей ко‑экспрессии,Условно,отношения,Корреляционный анализ,возможные; коллективные; исследовательские,Связь с сетевой биологией
11,Количественная оценка изоформ,Условно,содержание,Isoform quantification,возможные; дискретные; исследовательские,Уникально для транскриптомики
12,Интеграция транскриптомики и протеомики,Условно,отношения,Мультиомика,возможные; коллективные; институциональные,Системная перспектива
13,Анализ кольцевых (circular) РНК,Условно,содержание,circRNA,возможные; коллективные; исследовательские,Новая область
14,Аннотация транскриптома,Да,содержание,Транскрипционная карта,возможные; дискретные; институциональные,Поддержка баз данных
15,Контроль качества данных RNA‑seq,Да,нормы,FastQC и др.,необходимые; дискретные; институциональные,Важный этап анализа
