№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Подсчет цитат,Да,Содержание,Устойчивость,Активные,Аналоги: статистика
2,Импакт-фактор,Да,Параметр,Приоритет,Постепенные,Аналоги: экономика (индексы)
3,Индекс Хирша (h-index),Да,Параметр,Устойчивость,Постепенные,Аналоги: социология (репутация)
4,g-индекс,Да,Параметр,Устойчивость,Постепенные,Аналоги: статистика
5,i10-индекс,Да,Параметр,Устойчивость,Постепенные,Аналоги: статистика
6,Сетевой анализ цитирования,Да,Отношения,Связность,Активные,Аналоги: информатика (графы)
7,Ко-цитирование,Да,Отношения,Ассоциация,Активные,Аналоги: психология (ассоциации)
8,Библиографическое спаривание,Да,Отношения,Ассоциация,Активные,Аналоги: биология (сопряжение)
9,Ко-авторский анализ,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
10,Анализ соавторских сетей,Да,Отношения,Связность,Активные,Аналоги: информатика
11,Анализ ключевых слов,Да,Содержание,Экономия,Активные,Аналоги: семантика
12,Анализ тематических кластеров,Да,Содержание,Иконичность,Активные,Аналоги: статистика (кластеризация)
13,Анализ журналов,Да,Содержание,Иерархия,Активные,Аналоги: экономика (рынки)
14,Анализ страновых публикаций,Да,Содержание,Социальная динамика,Активные,Аналоги: география
15,Анализ институциональных публикаций,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
16,Взвешенные показатели цитирования,Да,Параметр,Приоритет,Активные,Аналоги: экономика
17,Анализ самоцитирования,Да,Содержание,Экономия,Активные,Аналоги: психология (эгоцентризм)
18,Библиометрическое нормирование,Да,Структура,Устойчивость,Активные,Аналоги: стандартизация
19,Динамика цитирования,Да,Содержание,Историческая динамика,Постепенные,Аналоги: социология
20,Прогнозирование публикационной активности,Да,Содержание,Предсказуемость,Активные,Аналоги: экономика (прогнозы)
21,Анализ востребованности публикаций,Да,Содержание,Экономия,Активные,Аналоги: маркетинг
22,Визуализация библиометрических данных,Да,Структура,Экспрессия,Активные,Аналоги: дизайн
23,Altmetrics (альтернативные метрики),Да,Параметр,Социальная динамика,Активные,Аналоги: соцсети
24,Webometrics,Да,Параметр,Интеграция,Активные,Аналоги: интернет-аналитика
25,Научное картографирование,Да,Структура,Иконичность,Активные,Аналоги: география
26,"Идентификаторы авторов (ORCID, ResearcherID)",Да,Содержание,Устойчивость,Активные,Аналоги: юриспруденция (идентификаторы)
27,Нормализация цитирования,Да,Структура,Устойчивость,Активные,Аналоги: статистика
28,Междисциплинарный анализ,Да,Содержание,Связность,Активные,Аналоги: когнитивная наука
29,Анализ патентных ссылок,Да,Содержание,Референция,Активные,Аналоги: право
30,Историческая библиометрия,Да,Содержание,Историческая устойчивость,Активные,Аналоги: история науки
31,Эволюция научных школ,Да,Содержание,Историческая динамика,Постепенные,Аналоги: социология науки
32,Библиометрический мониторинг,Да,Содержание,Устойчивость,Активные,Аналоги: менеджмент
