№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация знаний,Да,Содержание,Устойчивость,Активные,Аналоги: когнитивная психология
2,Создание знаний,Да,Содержание,Экспрессия,Активные,Аналоги: наука
3,Кодирование знаний,Да,Структура,Упорядоченность,Активные,Аналоги: информатика
4,Документирование знаний,Да,Содержание,Сохранение,Активные,Аналоги: архивоведение
5,Формализация знаний,Да,Структура,Ясность,Активные,Аналоги: логика
6,Систематизация знаний,Да,Структура,Иерархия,Активные,Аналоги: организация знаний
7,Передача знаний,Да,Отношения,Социальная динамика,Активные,Аналоги: коммуникация
8,Распространение знаний,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
9,Обмен знаниями,Да,Отношения,Кооперация,Активные,Аналоги: экономика
10,Усвоение знаний,Да,Содержание,Устойчивость,Постепенные,Аналоги: педагогика
11,Применение знаний,Да,Содержание,Эффективность,Активные,Аналоги: инженерия
12,Интеграция знаний,Да,Структура,Гармония,Активные,Аналоги: информатика
13,Комбинирование знаний,Да,Структура,Иконичность,Активные,Аналоги: химия
14,Реконфигурация знаний,Да,Структура,Гибкость,Активные,Аналоги: информатика
15,Актуализация знаний,Да,Содержание,Историческая динамика,Постепенные,Аналоги: образование
16,Сохранение знаний,Да,Содержание,Устойчивость,Постепенные,Аналоги: архивоведение
17,Извлечение знаний,Да,Содержание,Экономия,Активные,Аналоги: компьютерная лингвистика
18,Добыча знаний (knowledge mining),Да,Содержание,Экономия,Активные,Аналоги: data mining
19,Управление явными знаниями,Да,Содержание,Ясность,Активные,Аналоги: документация
20,Управление неявными знаниями (tacit knowledge),Да,Содержание,Устойчивость,Активные,Аналоги: психология
21,Конверсия неявных знаний в явные,Да,Содержание,Ясность,Активные,Аналоги: педагогика
22,Конверсия явных знаний в неявные,Да,Содержание,Устойчивость,Постепенные,Аналоги: обучение
23,Моделирование знаний,Да,Структура,Иконичность,Активные,Аналоги: математика
24,Визуализация знаний,Да,Структура,Экспрессия,Активные,Аналоги: дизайн
25,Оценка знаний,Да,Содержание,Приоритет,Активные,Аналоги: экономика
26,Мониторинг знаний,Да,Содержание,Устойчивость,Постепенные,Аналоги: менеджмент
27,Устаревание знаний,Нет,Содержание,Историческая динамика,Постепенные,Аналоги: культура
28,Удаление устаревших знаний,Да,Содержание,Экономия,Активные,Аналоги: ИТ (data cleaning)
29,Архивирование знаний,Да,Структура,Сохранение,Активные,Аналоги: архивы
30,Реинжиниринг знаний,Да,Структура,Гибкость,Активные,Аналоги: инженерия
31,Краудсорсинг знаний,Да,Содержание,Социальная динамика,Активные,Аналоги: интернет-культура
32,Коллективное конструирование знаний (wiki-процессы),Да,Содержание,Социальная динамика,Активные,Аналоги: Wikipedia
33,Персонализация знаний,Да,Содержание,Адаптация,Активные,Аналоги: психология
34,Рекомендательные системы знаний,Да,Содержание,Адаптация,Активные,Аналоги: ИИ
35,Интеллектуальные агенты знаний,Да,Структура,Адаптация,Активные,Аналоги: искусственный интеллект
36,Семантическое управление знаниями,Да,Структура,Гармония,Активные,Аналоги: семантика
37,Гибридные системы управления знаниями,Да,Структура,Гармония,Активные,Аналоги: инженерия
