№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Классификация (систематизация),Да,Структура,"Иерархия, предсказуемость","Активные, постепенные",Аналоги: биология (таксономия)
2,Индексация,Да,Структура,Упорядоченность,Активные,Аналоги: информатика (индексы)
3,Тезаврирование,Да,Структура,Гармония,Постепенные,Аналоги: когнитивная наука
4,Онтологизация,Да,Структура,Иконичность,Активные,Аналоги: философия
5,Фасетная классификация,Да,Структура,Многомерность,Активные,Аналоги: математика (многомерные пространства)
6,Дескрипторизация,Да,Структура,Экономия,Активные,Аналоги: семантика
7,Ключевание (ключевые слова),Да,Структура,Экономия,Активные,Аналоги: семантика
8,Аннотирование,Да,Содержание,Гармония,Активные,Аналоги: культура
9,Реферирование,Да,Содержание,Экономия,Активные,Аналоги: психология (обобщение)
10,Субъектное индексирование,Да,Структура,Ясность,Активные,Аналоги: семантика
11,"Систематизация по классификационным схемам (ББК, УДК)",Да,Структура,Иерархия,Активные,Аналоги: юриспруденция (кодексы)
12,Кросс-индексация,Да,Отношения,Связность,Активные,Аналоги: гипертекст
13,Реляционная организация знаний,Да,Отношения,Гармония,Активные,Аналоги: базы данных
14,Семантическая сеть,Да,Структура,Связность,Активные,Аналоги: нейронаука
15,Фреймовая организация знаний,Да,Структура,Когнитивная организация,Активные,Аналоги: психология
16,Когнитивное картирование,Да,Структура,Иконичность,Активные,Аналоги: география (карты)
17,Ментальные карты,Да,Структура,Экспрессия,Активные,Аналоги: психология (майнд-мэппинг)
18,Таксономическая иерархия,Да,Структура,Иерархия,Активные,Аналоги: биология
19,Фолксономия (народная классификация),Да,Структура,Социальная динамика,Активные,Аналоги: социология
20,Онлайн-тэггинг,Да,Структура,Экспрессия,Активные,Аналоги: интернет-культура
21,Контролируемый словарь,Да,Структура,Устойчивость,Активные,Аналоги: юриспруденция (термины)
22,Нормализация терминологии,Да,Структура,Ясность,Постепенные,Аналоги: медицина (нормативы)
23,Дезамбигуизация терминов,Да,Содержание,Ясность,Активные,Аналоги: лингвистика
24,Семантическое картирование,Да,Структура,Гармония,Активные,Аналоги: когнитивная наука
25,Референциальные связи,Да,Отношения,Устойчивость,Активные,Аналоги: логика
26,Интертекстуальные связи,Да,Отношения,Связность,Активные,Аналоги: литература
27,Сетевые графы знаний,Да,Структура,Связность,Активные,Аналоги: информатика (графы)
28,Кластеризация знаний,Да,Структура,Иконичность,Активные,Аналоги: статистика
29,Иерархическая декомпозиция,Да,Структура,Упорядоченность,Активные,Аналоги: инженерия
30,Объектно-ориентированная организация,Да,Структура,Модульность,Активные,Аналоги: программирование
31,Семантическая онтология,Да,Структура,Устойчивость,Активные,Аналоги: философия
32,Автоматическое индексирование,Да,Структура,Экономия,Активные,Аналоги: компьютерная лингвистика
33,Автоматическое аннотирование,Да,Содержание,Экономия,Активные,Аналоги: компьютерная лингвистика
34,Автоматическое реферирование,Да,Содержание,Экономия,Активные,Аналоги: компьютерная лингвистика
35,Динамическая онтологизация,Да,Структура,Гибкость,Активные,Аналоги: ИИ (ontology learning)
36,Визуализация знаний,Да,Структура,Экспрессия,Активные,Аналоги: дизайн
37,Мультимодальная организация знаний,Да,Структура,Гармония,Активные,Аналоги: когнитивная наука
38,Гибридные системы классификации,Да,Структура,Гармония,Активные,Аналоги: биоинформатика
