№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Справочное обслуживание,Да,отношения,принцип сервисности,индивидуальные; мгновенные,Ответы на запросы
2,Консультации пользователей,Да,отношения,принцип помощи,индивидуальные; мгновенные,Помощь исследователям
3,Выставочная деятельность,Да,дискурс,принцип визуализации,коллективные; постепенные,Организация экспозиций
4,Публикации,Да,дискурс,принцип распространения,индивидуальные; постепенные,Издание материалов
5,Цифровое распространение,Да,технология/инфраструктура,принцип доступности,индивидуальные; мгновенные,Онлайн публикации
6,Социальные медиа,Да,дискурс,принцип интерактивности,индивидуальные; мгновенные,Посты и ответы
7,Перевод и локализация,Да,дискурс,принцип доступности,индивидуальные; постепенные,Перевод контента
8,Кооперация с исследователями,Да,отношения,принцип партнерства,коллективные; постепенные,Совместные проекты
9,Сбор обратной связи,Да,отношения,принцип участия,индивидуальные; постепенные,Анкетирование
10,Маркетинговые кампании,Да,дискурс,принцип продвижения,индивидуальные; постепенные,Реклама
11,Налаживание сетей,Да,отношения,принцип коллаборации,коллективные; постепенные,Профессиональные объединения
12,Организация мероприятий,Да,дискурс,принцип опыта,коллективные; мгновенные,"Лекции, семинары"
13,Кураторство контента,Да,значения,принцип качества,индивидуальные; постепенные,Отбор материалов для публикаций
14,Администрирование портала,Да,технология/инфраструктура,принцип надежности,индивидуальные; цикличные,Поддержка сайта
15,Обучающие мероприятия для пользователей,Да,поведение,принцип обучения,индивидуальные; постепенные,Вебинары
