№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация источников,Да,содержание,эвристический поиск,индивидуальные; мгновенные,Начальный этап исследования
2,Разработка поисковой стратегии,Да,поведение,принцип целеполагания,индивидуальные; постепенные,Настройка запросов
3,Подбор инструментов поиска,Да,технология/инфраструктура,принцип инструментальности,индивидуальные; мгновенные,Выбор баз данных
4,Анализ метаданных,Да,содержание,принцип семантики,индивидуальные; постепенные,Извлечение скрытой информации
5,Атрибуция документов,Условно,содержание,принцип подлинности,индивидуальные; постепенные,Определение авторства
6,Проверка подлинности,Условно,состояние,принцип экспертизы,индивидуальные; мгновенные,Аналог экспертизы
7,Составление хронологии,Да,время/ритм,принцип последовательности,индивидуальные; постепенные,Реконструкция событий
8,Реконструкция происхождения,Да,отношения,принцип provenance,индивидуальные; постепенные,Связано с генеалогией
9,Кросс-ссылочное индексирование,Да,отношения,принцип взаимосвязей,индивидуальные; постепенные,Обеспечивает навигацию
10,Составление аннотаций,Да,значения,принцип краткости,индивидуальные; мгновенные,Подготавливает описания
11,Оценка надежности,Условно,состояние,принцип критики источников,индивидуальные; постепенные,Сходно с внешней критикой
12,Интерпретация содержания,Условно,значения,принцип герменевтики,индивидуальные; постепенные,Зависит от исследователя
13,Выявление пропусков,Да,содержание,принцип полноты,индивидуальные; мгновенные,Дополняет коллекции
14,Составление списка литературы,Да,содержание,принцип цитирования,индивидуальные; мгновенные,Формирует библиографию
15,Формулирование запроса,Да,поведение,принцип ясности,индивидуальные; мгновенные,Основной поиск
16,Корректировка стратегии,Да,поведение,принцип адаптивности,индивидуальные; постепенные,Реакция на результаты
17,Систематическое наблюдение,Да,поведение,принцип системности,индивидуальные; постепенные,Постоянный мониторинг
18,Синтез информации,Условно,значения,принцип обобщения,индивидуальные; постепенные,Формирование выводов
