№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разработка законодательства,Нет,нормы,принцип правового регулирования,коллективные; постепенные,Создание законов
2,Правовая экспертиза,Да,состояние,принцип соответствия,индивидуальные; мгновенные,Проверка на юридическую чистоту
3,Установление доступа,Нет,отношения,принцип открытости,коллективные; постепенные,Определение критериев доступа
4,Защита персональных данных,Нет,идентичность/границы,принцип конфиденциальности,индивидуальные; мгновенные,Соблюдение GDPR
5,Деклассификация,Нет,нормы,принцип прозрачности,коллективные; постепенные,Снятие грифа секретности
6,Классификация,Нет,нормы,принцип национальной безопасности,коллективные; мгновенные,Присвоение уровней секретности
7,Согласование лицензий,Да,нормы,принцип законности,индивидуальные; мгновенные,Выдача лицензий
8,Разрешение споров,Да,отношения,принцип медиативности,индивидуальные; постепенные,Урегулирование конфликтов
9,Нормирование авторских прав,Нет,нормы,принцип справедливого использования,индивидуальные; мгновенные,Определение условий цитирования
10,Заключение договоров,Да,отношения,принцип обязательств,индивидуальные; мгновенные,Передача прав
11,Контроль соблюдения,Да,поведение,принцип надзора,цикличные; институциональные,Мониторинг выполнения
12,Урегулирование FOIA-запросов,Да,отношения,принцип прозрачности,индивидуальные; мгновенные,Ответ на запросы
13,Согласование международных норм,Да,нормы,принцип гармонизации,коллективные; постепенные,Унификация норм
14,Юридическое обучение,Да,поведение,принцип квалификации,индивидуальные; постепенные,Повышение квалификации сотрудников
15,Разъяснение прав,Да,дискурс,принцип информирования,индивидуальные; мгновенные,Консультации пользователей
