№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оценка состояния,Да,состояние,принцип диагностики,индивидуальные; мгновенные,Начальный этап работ
2,Стабилизация,Условно,состояние,принцип минимального вмешательства,постепенные; индивидуальные,Предотвращает разрушение
3,Очистка,Условно,состояние,принцип аккуратности,индивидуальные; мгновенные,Удаление загрязнений
4,Дезинфекция,Условно,состояние,принцип безопасности,индивидуальные; мгновенные,Уничтожение биоповреждений
5,Ремонт,Условно,структура,принцип реставрации,индивидуальные; постепенные,Ремонт повреждений
6,Реставрация,Условно,структура,принцип аутентичности,индивидуальные; постепенные,Восстановление утраченных частей
7,Дезактивация кислот,Условно,состояние,принцип стабилизации,индивидуальные; мгновенные,Deacidification
8,Ламинирование,Нет,технология/инфраструктура,принцип защиты,индивидуальные; мгновенные,Инкапсуляция
9,Инкапсуляция,Нет,технология/инфраструктура,принцип изоляции,индивидуальные; мгновенные,Вакуумное заключение
10,Контроль климата,Да,пространство,принцип стабильности,цикличные; институциональные,Регулирование влажности и температуры
11,Управление светом,Да,пространство,принцип защиты от света,цикличные; институциональные,Уменьшение воздействия ультрафиолета
12,Профилактическое хранение,Да,структура,принцип предотвращения,постепенные; институциональные,Использование защитных материалов
13,Переплет,Условно,структура,принцип безопасной переплетки,индивидуальные; постепенные,Новый переплет
14,Создание копий,Да,содержание,принцип доступности,индивидуальные; мгновенные,Копирование для использования
15,Замена носителей,Нет,технология/инфраструктура,принцип долговечности,индивидуальные; мгновенные,Переход на новые носители
16,Замораживание,Нет,состояние,принцип консервации,индивидуальные; мгновенные,Используется при авариях
17,Сушка,Нет,состояние,принцип сохранения,индивидуальные; мгновенные,Восстановление после намокания
18,Документация работ,Да,память/наследие,принцип учета,индивидуальные; мгновенные,Фиксация проведенных процедур
19,Мониторинг вредителей,Да,состояние,принцип профилактики,цикличные; институциональные,Регулярные проверки
