№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация документов,Да,содержание,принцип выявления,индивидуальные; мгновенные,Определение наличия
2,Функциональный анализ,Условно,функция,принцип соответствия,индивидуальные; постепенные,Оценка функций документа
3,Определение ценности,Нет,значения,принцип социального значения,индивидуальные; постепенные,Определяет историческую ценность
4,Разработка критериев,Да,нормы,принцип объективности,коллективные; постепенные,Создание классификаторов
5,Отнесение к категориям,Да,структура,принцип иерархии,индивидуальные; мгновенные,Распределение по уровням
6,Установление сроков хранения,Нет,время/ритм,принцип регламента,коллективные; постепенные,Определяет период использования
7,Экспертиза ценности,Условно,значения,принцип экспертной оценки,коллективные; постепенные,Похоже на экспертную комиссию
8,Повторная оценка,Да,значения,принцип динамичности,цикличные; институциональные,Reappraisal
9,Разработка графиков уничтожения,Нет,время/ритм,принцип юридической достаточности,коллективные; постепенные,Составление schedule
10,Отбор на постоянное хранение,Нет,содержание,принцип исторического значения,коллективные; постепенные,Seleкция
11,Уничтожение,Нет,содержание,принцип правовой очистки,индивидуальные; мгновенные,Безвозвратная ликвидация
12,Передача в архив,Нет,пространство,принцип передач,коллективные; постепенные,Перемещение фонда
13,Учет ликвидированных дел,Да,память/наследие,принцип документирования,индивидуальные; мгновенные,Создание акта уничтожения
14,Публичное обсуждение,Условно,нормы,принцип прозрачности,коллективные; постепенные,Вовлечение общества
15,Согласование с экспертами,Да,отношения,принцип коллегиальности,коллективные; мгновенные,Наличие экспертной комиссии
16,Анализ затрат,Да,экономика/обмен,принцип эффективности,индивидуальные; постепенные,Сопоставление стоимости хранения
