№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сбор (акцессия),Нет,содержание,принцип полноты коллекций,постепенные; коллективные; институциональные,Базовый процесс формирования фондов
2,Упорядочивание (систематизация),Условно,структура,принцип уважения к фонду (respect des fonds),постепенные; индивидуальные,Аналогично библиотечной систематизации
3,Классификация,Условно,структура,принцип иерархии,постепенные; коллективные,Общая для многих информационных дисциплин
4,Описание,Да,содержание,принцип научной достоверности,постепенные; индивидуальные,Можно уточнять и дополнять
5,Индексация,Да,отношения,принцип доступа,постепенные; индивидуальные,Аналог картотечного поиска
6,Кодификация,Нет,нормы,стандарты описания,постепенные; институциональные,Создание унифицированных правил
7,Нормирование,Нет,нормы,стандарт ISO/GOST,постепенные; институциональные,Определяет правила работы
8,Реструктурирование,Условно,структура,принцип оптимизации,постепенные; институциональные,Уникально для реорганизации фонда
9,Интеграция фондов,Нет,структура,принцип единства фонда,постепенные; коллективные,Сходно с укрупнением
10,Децентрализация,Нет,структура,принцип доступности,постепенные; коллективные,Похож на распределение
11,Деакцессия (изъятие),Нет,содержание,принцип правовой очистки,постепенные; институциональные,Безвозвратное удаление
12,Аутентификация,Да,состояние,принцип подлинности,необходимые; индивидуальные,Похож на экспертизу подлинности
13,Стандартизация,Нет,нормы,принцип унификации,постепенные; институциональные,Создание стандартов
14,Политико-правовое регулирование,Нет,нормы,законодательство,постепенные; институциональные,Закрепление правил
15,Цифровизация,Нет,технология/инфраструктура,принцип модернизации,постепенные; институциональные,Включает оцифровку
16,Репатриация архивов,Условно,пространство,принцип исторической справедливости,каскадные; институциональные,Возврат утраченных материалов
17,Концептуализация,Да,значения,теоретические модели,индивидуальные; постепенные,Формирование понятия
18,Институционализация,Нет,институты,принцип легитимности,постепенные; коллективные,Создание организаций
19,Контекстуализация,Да,значения,принцип provenance,индивидуальные; постепенные,Понимание исторического контекста
20,Синхронизация описаний,Да,отношения,принцип согласованности,индивидуальные; коллективные,Обеспечение сопоставимости описаний
