№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Инициализация нейронной сети,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
2,Прямое распространение,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
3,Обратное распространение (backpropagation),Нет,содержание,закон,дискретные/континуальные,Уникальный
4,Обновление весов (градиентный спуск),Нет,состояние,эвристика,дискретные/континуальные,Уникальный
5,Операция свёртки,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
6,Операция пулинга,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
7,Применение функции активации,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
8,Дропаут,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
9,Нормализация батчей,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
10,Резидуальные соединения,Нет,отношения,эвристика,дискретные/континуальные,Уникальный
11,Механизм внимания,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
12,Обучение эмбеддингов,Нет,функция,эвристика,дискретные/континуальные,Уникальный
13,Последовательная модель (seq2seq),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
14,Архитектура энкодер‑декодер,Нет,структура,эвристика,дискретные/континуальные,Уникальный
15,Обновление ячейки RNN,Нет,состояние,эвристика,дискретные/континуальные,Уникальный
16,Обновление GRU,Нет,состояние,эвристика,дискретные/континуальные,Уникальный
17,Обновление LSTM,Нет,состояние,эвристика,дискретные/континуальные,Уникальный
18,Слой трансформера,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
19,Вычисление self‑attention,Да,содержание,эвристика,дискретные/континуальные,Уникальный
20,Нормализация слоев,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
21,Разделение весов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
22,Тонкая настройка (fine-tuning),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
23,Поиск гиперпараметров,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
24,Обрезка модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
25,Квантование нейронной сети,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
26,Дистилляция знаний,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
27,Контроль контрольной точки градиентов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
28,Кодирование автоэнкодера,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
29,Декодирование автоэнкодера,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
30,Обновление генератора GAN,Нет,состояние,эвристика,дискретные/континуальные,Уникальный
31,Обновление дискриминатора GAN,Нет,состояние,эвристика,дискретные/континуальные,Уникальный
32,Сэмплирование вариационного автоэнкодера,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
33,"Проектирование функции потерь (cross-entropy, MSE)",Нет,содержание,эвристика,дискретные/континуальные,Уникальный
34,"Обновление оптимизатора (Adam, RMSProp)",Нет,состояние,эвристика,дискретные/континуальные,Уникальный
35,Планирование скорости обучения,Нет,функция,эвристика,дискретные/континуальные,Уникальный
36,Обработка дисбаланса классов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
37,"Инициализация параметров (He, Xavier)",Нет,содержание,эвристика,дискретные/континуальные,Уникальный
38,Поиск архитектур (NAS),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
39,"Регуляризация (L1, L2)",Нет,содержание,эвристика,дискретные/континуальные,Уникальный
40,DropConnect,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
41,Нормализация входных данных,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
42,Аугментация входов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
43,Дополнение/усечение последовательностей,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
44,Teacher forcing,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
45,Механизм ворот,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
46,Вычисление головы внимания,Да,содержание,эвристика,дискретные/континуальные,Уникальный
47,Декодирование beam search,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
48,Накопление градиентов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
49,Обучение в смешанной точности,Нет,функция,эвристика,дискретные/континуальные,Уникальный
50,Обучение нулевого примера,Нет,функция,эвристика,дискретные/континуальные,Уникальный
51,Обучение нескольких примеров (few-shot),Нет,функция,эвристика,дискретные/континуальные,Уникальный
52,Мета-обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
53,Непрерывное обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
