№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сбор данных,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
2,Очистка данных,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
3,Формирование признаков,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
4,Отбор признаков,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
5,Экстракция признаков,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
6,Кодирование меток,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
7,Разделение данных (train-test split),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
8,Выбор модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
9,Настройка гиперпараметров,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
10,Обучение модели,Нет,функция,эвристика,дискретные/континуальные,Уникальный
11,Кросс-валидация,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
12,Оценка модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
13,Регуляризация,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
14,Ансамблевое обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
15,Интерпретация модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
16,Развертывание модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
17,Онлайн-обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
18,Трансферное обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
19,Активное обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
20,Обучение с подкреплением,Нет,функция,эвристика,дискретные/континуальные,Уникальный
21,Федеративное обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
22,Полу‑контролируемое обучение,Нет,функция,эвристика,дискретные/континуальные,Уникальный
23,Неконтролируемое обучение (кластеризация),Нет,функция,эвристика,дискретные/континуальные,Уникальный
24,Снижение размерности (PCA),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
25,Выявление аномалий,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
26,Оптимизация (градиентный спуск),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
27,Проектирование функции потерь,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
28,Контроль переобучения,Нет,функция,эвристика,дискретные/континуальные,Уникальный
29,Обрезка модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
30,Квантование модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
31,Компрессия модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
32,Автоматический поиск моделей (AutoML),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
33,Аудит справедливости,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
34,Переобучение модели,Нет,функция,эвристика,дискретные/континуальные,Уникальный
35,Версионирование модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
36,Мониторинг модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
37,Интеграция обратной связи,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
38,Анализ ошибок,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
39,Аугментация данных,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
40,Генерация синтетических данных,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
41,Поиск по сетке,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
42,Поиск по случайному распределению,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
43,Байесовская оптимизация,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
44,Раннее остановка,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
45,Нормализация батча,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
46,Обрезка градиента,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
47,Масштабирование признаков,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
48,One-hot кодирование,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
49,Бэггинг,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
50,Бустинг,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
51,Стекинг,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
52,Кросс‑доменные адаптации,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
