№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Проектирование рандомизированного контроля,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
2,Случайное назначение лечения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
3,Назначение лечения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
4,Измерение исходов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
5,Идентификация смешивающих факторов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
6,Корректировка смешения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
7,Оценка propensity score,Нет,содержание,закон,дискретные/континуальные,Уникальный
8,Сопоставление по propensity score,Нет,содержание,закон,дискретные/континуальные,Уникальный
9,Взвешивание обратной вероятности,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
10,Проверка баланса ковариатов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
11,Выбор инструментальной переменной,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
12,Анализ инструментальных переменных,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
13,Оценка разностей в разностях (DID),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
14,Дизайн регрессионной дискретности,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
15,Прерыванный временной ряд,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
16,Идентификация естественного эксперимента,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
17,Медиационный анализ,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
18,Модерационный анализ,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
19,Анализ чувствительности,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
20,Построение DAG,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
21,Идентификация причинного графа,Нет,структура,эвристика,дискретные/континуальные,Уникальный
22,Структурное моделирование уравнений,Нет,структура,эвристика,дискретные/континуальные,Уникальный
23,Формулировка потенциальных исходов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
24,Оценка контрфактов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
25,G-компьютинг,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
26,Взвешивание обратной вероятности лечения (IPTW),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
27,Двойная робастная оценка,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
28,Обучение causal forest,Нет,функция,эвристика,дискретные/континуальные,Уникальный
29,Регрессионная корректировка,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
30,Сопоставление ближайших соседей,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
31,Метод синтетического контроля,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
32,Фронт-дор коррекция,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
33,Бэк-дор коррекция,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
34,Оценка эффекта Розенбаума,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
35,Анализ подгрупп,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
36,Расчёт среднего эффекта лечения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
37,Условный средний эффект лечения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
38,Оценка гетерогенных эффектов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
39,Пермутационный тест,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
40,Плацебо тест,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
41,Тест фальсификации,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
42,Дизайн события,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
43,Модель фиксированных эффектов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
44,Маргинальные структурные модели,Нет,структура,эвристика,дискретные/континуальные,Уникальный
45,Рандомизационный вывод,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
46,Тест слабого инструмента,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
47,Оценка границ эффекта,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
