№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,проверка цветового контраста,Да,поведение,принцип целостности,экзогенные,Уникальный
2,написание alt-текстов,Нет,память/наследие,эффект эстетики-юзабилити,институциональные,Уникальный
3,обеспечение клавиатурной навигации,Да,институты,принцип иерархии,каскадные,Уникальный
4,реализация фокус-стилей,Условно,содержание,принцип доступности,неформальные,Уникальный
5,описание ARIA-ролей,Нет,технология/инфраструктура,Gestalt принцип группировки,коллективные,Уникальный
6,оптимизация структуры заголовков,Нет,состояние,эвристика Нильсена,латентные,Аналогичный
7,составление subtitles,Условно,состояние,принцип целостности,каскадные,Аналогичный
8,создание текстовых описаний видео,Да,функция,закон Фиттса,необходимые,Уникальный
9,проверка читаемости,Нет,нормы,эффект эстетики-юзабилити,неформальные,Уникальный
10,проверка чувствительности к вспышкам,Да,память/наследие,принцип иерархии,экзогенные,Аналогичный
11,создание масштабируемых элементов,Условно,функция,закон Фиттса,институциональные,Аналогичный
12,обеспечение адаптивности,Нет,функция,Gestalt принцип группировки,необходимые,Аналогичный
13,обеспечение достаточного размера шрифта,Нет,функция,принцип иерархии,необходимые,Уникальный
14,обучение команды доступности,Да,содержание,принцип устойчивости,экзогенные,Аналогичный
15,проверка взаимодействия скринридеров,Нет,дискурс,эффект эстетики-юзабилити,мгновенные,Аналогичный
16,наличие skip links,Нет,поведение,принцип устойчивости,неформальные,Аналогичный
17,планирование множественных языков,Нет,структура,эффект эстетики-юзабилити,необходимые,Уникальный
18,обеспечение контрастной схемы,Да,тело/материя,закон Хика,возможные,Аналогичный
19,обновление по стандартам WCAG,Да,состояние,принцип доступности,неформальные,Аналогичный
20,создание темной темы,Условно,структура,принцип иерархии,континуальные,Аналогичный
21,реализация настройки визуализации,Условно,нормы,закон Фиттса,коллективные,Уникальный
22,предоставление альтернатив ввода,Нет,нормы,принцип «прежде человека»,эндогенные,Аналогичный
23,анализ когнитивной нагрузки,Условно,функция,принцип устойчивости,институциональные,Уникальный
24,создание простого языка,Условно,тело/материя,принцип модульности,каскадные,Уникальный
25,организация контента логично,Нет,время/ритм,принцип модульности,экзогенные,Уникальный
26,использование значимых символов,Условно,экономика/обмен,Gestalt принцип группировки,индивидуальные,Уникальный
27,предоставление дополнительных подсказок,Условно,содержание,принцип модульности,дискретные,Аналогичный
28,работа с голосовым интерфейсом,Условно,структура,принцип целостности,институциональные,Аналогичный
29,оптимизация навигации для screen reader,Нет,состояние,принцип модульности,каскадные,Аналогичный
30,предоставление обратной связи,Нет,технология/инфраструктура,принцип «прежде человека»,мгновенные,Уникальный
31,управление ошибками ввода,Условно,значения,принцип доступности,континуальные,Аналогичный
32,обеспечение доступности форм,Да,символы,принцип целостности,цикличные,Уникальный
33,создание адаптивных таблиц,Да,память/наследие,Gestalt принцип группировки,континуальные,Уникальный
34,подготовка альтернатив графиков,Условно,отношения,принцип иерархии,индивидуальные,Аналогичный
35,предоставление гибких настроек,Да,идентичность/границы,принцип «прежде человека»,экзогенные,Аналогичный
36,обеспечение читабельности цвета,Условно,поведение,принцип устойчивости,континуальные,Аналогичный
37,учет временных ограничений,Да,память/наследие,закон Фиттса,дискретные,Аналогичный
38,документация критериев,Нет,пространство,принцип целостности,возможные,Уникальный
39,проведение аудитов доступности,Нет,память/наследие,Gestalt принцип группировки,латентные,Уникальный
40,обеспечение совместимости с assistive technology,Да,тело/материя,принцип обратной связи,континуальные,Уникальный
41,проверка транскрипций,Условно,состояние,эффект эстетики-юзабилити,возможные,Уникальный
42,поддержка клавишных сокращений,Да,поведение,принцип доступности,дискретные,Уникальный
43,создание обучающих материалов,Да,идентичность/границы,эвристика Нильсена,явные,Уникальный
44,адаптация для когнитивных особенностей,Нет,пространство,Gestalt принцип группировки,коллективные,Аналогичный
45,управление навигацией по вкладкам,Да,поведение,принцип обратной связи,цикличные,Уникальный
46,обеспечение доступности для слабовидящих,Условно,дискурс,принцип целостности,институциональные,Уникальный
47,обучение контент-редакторов доступности,Условно,отношения,принцип целостности,возможные,Аналогичный
