№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,изучение разнообразия пользователей,Да,значения,принцип целостности,цикличные,Уникальный
2,соучаствующий дизайн,Условно,память/наследие,Gestalt принцип группировки,коллективные,Аналогичный
3,проведение интервью с различными группами,Условно,отношения,закон Хика,экзогенные,Уникальный
4,адаптация интерфейса для разных культур,Условно,отношения,Gestalt принцип группировки,цикличные,Уникальный
5,тестирование с пользователями с инвалидностью,Да,структура,принцип устойчивости,латентные,Аналогичный
6,интернационализация контента,Нет,функция,принцип целостности,институциональные,Уникальный
7,принятие дизайна для мульти-языка,Нет,идентичность/границы,эффект эстетики-юзабилити,мгновенные,Уникальный
8,разработка гибкого UI,Да,содержание,закон Хика,каскадные,Аналогичный
9,учёт гендерных аспектов,Да,время/ритм,принцип «прежде человека»,эндогенные,Уникальный
10,учет возрастных особенностей,Условно,функция,эвристика Нильсена,индивидуальные,Аналогичный
11,создание вариантов интерфейса,Нет,символы,принцип модульности,неформальные,Аналогичный
12,обеспечение нейтрального языка,Нет,время/ритм,Gestalt принцип группировки,мгновенные,Уникальный
13,включение людей в лаборатории,Да,технология/инфраструктура,эффект эстетики-юзабилити,каскадные,Уникальный
14,адресация bias,Да,поведение,принцип целостности,институциональные,Уникальный
15,создание сценариев для разных культур,Нет,время/ритм,принцип модульности,экзогенные,Уникальный
16,учет низкой грамотности,Нет,поведение,закон Хика,континуальные,Уникальный
17,доступность на медленных сетях,Да,функция,принцип устойчивости,латентные,Аналогичный
18,предоставление пользовательских настроек,Да,значения,принцип иерархии,экзогенные,Аналогичный
19,проектирование гибких макетов,Да,поведение,закон Фиттса,индивидуальные,Аналогичный
20,разработка инклюзивных иллюстраций,Нет,состояние,принцип целостности,явные,Уникальный
21,планирование обратной связи от меньшинств,Условно,идентичность/границы,принцип «прежде человека»,эндогенные,Аналогичный
22,учет региональных условий,Условно,экономика/обмен,закон Фиттса,континуальные,Уникальный
23,создание мультимодальных интерфейсов,Условно,тело/материя,закон Хика,каскадные,Уникальный
24,предоставление альтернативных форматов,Условно,нормы,эвристика Нильсена,дискретные,Уникальный
25,анализ этических рисков,Условно,пространство,закон Хика,необходимые,Аналогичный
26,обеспечение конфиденциальности,Условно,пространство,принцип иерархии,необходимые,Аналогичный
27,корректирование культ-специфических символов,Нет,функция,эвристика Нильсена,коллективные,Аналогичный
28,создание обучающих материалов,Нет,институты,принцип целостности,мгновенные,Уникальный
29,участие в программах DEI,Условно,отношения,закон Хика,индивидуальные,Аналогичный
30,поддержка адаптивного ввода,Условно,время/ритм,принцип «прежде человека»,коллективные,Аналогичный
31,разработка персонализированных интерфейсов,Да,пространство,принцип целостности,необходимые,Аналогичный
32,подготовка к локализации,Нет,символы,Gestalt принцип группировки,эндогенные,Уникальный
33,учет языковых вариаций,Да,отношения,эвристика Нильсена,мгновенные,Аналогичный
34,анализ разных сценариев использования,Да,идентичность/границы,эвристика Нильсена,неформальные,Уникальный
35,адаптация для людей с цветовой слабостью,Да,тело/материя,принцип «прежде человека»,экзогенные,Аналогичный
36,создание альтернативных интерфейсов,Да,значения,эвристика Нильсена,индивидуальные,Аналогичный
37,доступность в условиях низкого освещения,Да,пространство,эвристика Нильсена,постепенные,Аналогичный
38,интеграция социальных норм,Да,институты,Gestalt принцип группировки,латентные,Аналогичный
39,планирование юзабилити-тестов с разно-ориентированными участниками,Да,время/ритм,принцип «прежде человека»,цикличные,Уникальный
40,формирование метрик инклюзивности,Условно,институты,Gestalt принцип группировки,неформальные,Аналогичный
41,оценка доступности платежей,Условно,функция,принцип устойчивости,постепенные,Аналогичный
42,обеспечение равноправного доступа,Условно,отношения,закон Хика,коллективные,Аналогичный
43,обучение команды инклюзивности,Да,время/ритм,принцип модульности,латентные,Уникальный
