№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,картирование содержания,Условно,поведение,принцип обратной связи,латентные,Аналогичный
2,карта сайта,Да,функция,принцип целостности,институциональные,Аналогичный
3,определение таксономии,Да,функция,закон Хика,коллективные,Аналогичный
4,навигационная схема,Нет,структура,эвристика Нильсена,латентные,Аналогичный
5,карточная сортировка,Да,поведение,закон Фиттса,возможные,Уникальный
6,аудит контента,Да,память/наследие,принцип доступности,цикличные,Уникальный
7,определение метаданных,Да,пространство,принцип иерархии,экзогенные,Аналогичный
8,иерархия страниц,Нет,технология/инфраструктура,закон Фиттса,эндогенные,Аналогичный
9,создание навигационных меню,Условно,поведение,принцип иерархии,дискретные,Аналогичный
10,организация ссылок,Условно,время/ритм,принцип «прежде человека»,латентные,Уникальный
11,планирование поиска,Да,отношения,эвристика Нильсена,коллективные,Уникальный
12,структурирование лейаутов,Условно,структура,Gestalt принцип группировки,цикличные,Аналогичный
13,определение категорий,Нет,институты,Gestalt принцип группировки,мгновенные,Аналогичный
14,группировка элементов,Нет,нормы,эффект эстетики-юзабилити,индивидуальные,Аналогичный
15,раскладка элементов,Да,экономика/обмен,принцип иерархии,индивидуальные,Уникальный
16,описание метатегов,Да,структура,закон Хика,эндогенные,Уникальный
17,создание онтологии,Нет,поведение,принцип иерархии,дискретные,Уникальный
18,создание ярлыков,Нет,состояние,эффект эстетики-юзабилити,явные,Аналогичный
19,упрощение структуры,Да,отношения,принцип иерархии,латентные,Аналогичный
20,визуализация архитектуры,Да,отношения,принцип обратной связи,эндогенные,Уникальный
21,написание спецификации,Нет,экономика/обмен,принцип «прежде человека»,мгновенные,Уникальный
22,формирование паттернов,Да,поведение,закон Фиттса,возможные,Аналогичный
23,оптимизация навигации,Нет,отношения,закон Фиттса,цикличные,Аналогичный
24,создание шаблонов страниц,Да,нормы,Gestalt принцип группировки,дискретные,Аналогичный
25,формирование словаря терминов,Нет,содержание,Gestalt принцип группировки,индивидуальные,Аналогичный
26,регулярный аудит навигации,Нет,нормы,эффект эстетики-юзабилити,цикличные,Аналогичный
27,построение mindmap,Да,время/ритм,закон Фиттса,институциональные,Аналогичный
28,определение URL-структуры,Нет,значения,принцип целостности,экзогенные,Аналогичный
29,обозначение путей пользователя,Нет,функция,эвристика Нильсена,латентные,Аналогичный
30,словарь меток,Условно,время/ритм,принцип иерархии,институциональные,Уникальный
31,создание фильтров,Нет,состояние,Gestalt принцип группировки,эндогенные,Уникальный
32,предоставление контекстных подсказок,Нет,отношения,принцип «прежде человека»,дискретные,Аналогичный
33,настройка хлебных крошек,Условно,технология/инфраструктура,закон Фиттса,латентные,Уникальный
34,анализ поисковых запросов,Нет,содержание,Gestalt принцип группировки,институциональные,Аналогичный
35,маршрутизация пользователей,Нет,дискурс,принцип иерархии,институциональные,Аналогичный
36,выстраивание кросс-ссылок,Да,институты,закон Фиттса,постепенные,Аналогичный
37,разработка навигационных паттернов,Условно,технология/инфраструктура,Gestalt принцип группировки,континуальные,Уникальный
38,установление приоритетов информации,Нет,институты,принцип целостности,эндогенные,Уникальный
39,упрощение лейблинга,Нет,содержание,принцип доступности,латентные,Уникальный
40,создание семантической сети,Условно,состояние,принцип обратной связи,неформальные,Аналогичный
41,моделирование переходов,Условно,функция,принцип обратной связи,мгновенные,Уникальный
42,инвентаризация контента,Да,идентичность/границы,закон Хика,коллективные,Аналогичный
43,регулярное обновление структуры,Да,время/ритм,принцип обратной связи,возможные,Аналогичный
44,выявление дубликатов,Условно,дискурс,закон Фиттса,постепенные,Уникальный
45,разработка сценариев навигации,Условно,значения,Gestalt принцип группировки,институциональные,Аналогичный
46,анализ структур конкурентов,Да,отношения,закон Хика,цикличные,Уникальный
47,создание навигационных гайдлайнов,Нет,институты,Gestalt принцип группировки,каскадные,Уникальный
48,проектирование меню-гамбургера,Да,время/ритм,закон Фиттса,латентные,Аналогичный
49,управление архитектурой версий,Да,отношения,принцип доступности,дискретные,Аналогичный
