№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,определение исследовательских целей,Нет,структура,эффект эстетики-юзабилити,цикличные,Аналогичный
2,рекрутирование участников,Условно,технология/инфраструктура,принцип целостности,цикличные,Уникальный
3,проведение интервью,Да,экономика/обмен,закон Фиттса,постепенные,Уникальный
4,проведение опросов,Да,технология/инфраструктура,принцип доступности,эндогенные,Аналогичный
5,разработка гайдлайнов для интервью,Условно,символы,принцип устойчивости,континуальные,Уникальный
6,полевое наблюдение,Условно,экономика/обмен,принцип доступности,постепенные,Аналогичный
7,контекстуальное исследование,Нет,память/наследие,принцип иерархии,неформальные,Уникальный
8,дневниковое исследование,Условно,поведение,эвристика Нильсена,возможные,Уникальный
9,анализ количественных данных,Нет,символы,принцип устойчивости,мгновенные,Аналогичный
10,анализ качественных данных,Нет,пространство,Gestalt принцип группировки,цикличные,Аналогичный
11,сегментирование пользователей,Условно,нормы,закон Хика,латентные,Уникальный
12,создание персоны,Нет,структура,эффект эстетики-юзабилити,континуальные,Аналогичный
13,создание карты пути пользователя,Да,нормы,принцип целостности,возможные,Уникальный
14,кластеризация инсайтов,Нет,пространство,принцип доступности,необходимые,Аналогичный
15,формирование гипотез,Нет,экономика/обмен,принцип иерархии,континуальные,Уникальный
16,валидация гипотез,Да,экономика/обмен,Gestalt принцип группировки,постепенные,Уникальный
17,выявление болевых точек,Условно,нормы,принцип модульности,мгновенные,Аналогичный
18,составление отчета,Условно,институты,принцип доступности,эндогенные,Уникальный
19,представление инсайтов команде,Условно,нормы,принцип «прежде человека»,возможные,Уникальный
20,формирование юзер стори,Да,тело/материя,закон Фиттса,возможные,Уникальный
21,анализ конкурентов,Условно,технология/инфраструктура,закон Хика,коллективные,Уникальный
22,построение CJM,Да,идентичность/границы,принцип целостности,индивидуальные,Уникальный
23,определение требований,Нет,структура,принцип модульности,институциональные,Аналогичный
24,планирование исследования,Условно,нормы,принцип доступности,неформальные,Аналогичный
25,анализ stakeholders,Нет,нормы,принцип модульности,коллективные,Аналогичный
26,проведение групповых фокус-групп,Условно,значения,принцип обратной связи,мгновенные,Уникальный
27,карта эмпатии,Условно,состояние,принцип обратной связи,постепенные,Аналогичный
28,повторный рекрутинг,Да,структура,принцип иерархии,мгновенные,Уникальный
29,управление consent,Нет,состояние,Gestalt принцип группировки,постепенные,Уникальный
30,фасилитация воркшопов,Условно,отношения,принцип обратной связи,каскадные,Аналогичный
31,создание сценариев для тестов,Условно,технология/инфраструктура,принцип устойчивости,возможные,Аналогичный
32,приоритизация потребностей,Нет,идентичность/границы,закон Фиттса,дискретные,Уникальный
33,модерация usability-сессий,Условно,время/ритм,эффект эстетики-юзабилити,цикличные,Аналогичный
34,декомпозиция задач,Да,технология/инфраструктура,принцип иерархии,необходимые,Уникальный
35,разработка анкет,Да,время/ритм,принцип иерархии,континуальные,Аналогичный
36,проведение A/B-тестов,Нет,состояние,принцип целостности,институциональные,Аналогичный
37,аналитика метрик,Нет,нормы,принцип обратной связи,континуальные,Уникальный
38,анализ журнала событий,Да,тело/материя,принцип обратной связи,возможные,Аналогичный
39,метод «пять почему»,Условно,экономика/обмен,принцип доступности,дискретные,Уникальный
40,интерпретация психофизиологических данных,Нет,технология/инфраструктура,принцип устойчивости,мгновенные,Уникальный
41,перевод выводов в требования,Да,содержание,принцип иерархии,неформальные,Аналогичный
42,создание storytelling,Нет,институты,эвристика Нильсена,цикличные,Уникальный
43,совместная интерпретация данных,Нет,время/ритм,Gestalt принцип группировки,дискретные,Аналогичный
44,визуализация данных,Да,пространство,эвристика Нильсена,мгновенные,Аналогичный
45,управление конфиденциальностью,Условно,символы,принцип обратной связи,латентные,Уникальный
46,обратная связь участникам,Условно,пространство,принцип «прежде человека»,дискретные,Аналогичный
47,фрагментация данных,Нет,нормы,закон Фиттса,возможные,Уникальный
48,ведение репозитория исследований,Нет,отношения,принцип устойчивости,мгновенные,Уникальный
49,периодическое обновление знаний,Да,память/наследие,принцип иерархии,неформальные,Аналогичный
