№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Ритуализация трапезы,Условно,"нормы; идентичность","еда становится частью ритуала","необходимые; цикличные; коллективные","религиоведение; антропология ритуала"
2,Табу на продукты,Нет,"нормы; идентичность","запрет закрепляет культурные границы","необходимые; институциональные; коллективные","социальная антропология"
3,Жертвоприношение пищи,Нет,"символы; идентичность","еда как дар сверхъестественным силам","необходимые; институциональные; коллективные","религиоведение"
4,Пост и воздержание,Условно,"нормы; состояние","контроль потребления укрепляет общность","необходимые; цикличные; коллективные","религиозные практики"
5,Праздничные пиршества,Условно,"отношения; идентичность","коллективное застолье укрепляет связи","возможные; цикличные; коллективные","социология праздника"
6,Инициации через еду,Нет,"идентичность; символы","специальные блюда при переходе статуса","необходимые; цикличные; коллективные","антропология обряда"
7,Статусное потребление,Условно,"отношения; символы","деликатесы демонстрируют статус","возможные; постепенные; коллективные","социальная стратификация"
8,Гостеприимство через еду,Да,"отношения; символы","совместное питание как акт доверия","возможные; мгновенные; коллективные","социология"
9,Символизация пищи,Условно,"символы; значения","еда как метафора (хлеб насущный)","возможные; постепенно; коллективные","семиотика"
10,Кодификация диетических законов,Нет,"нормы; институты","религиозные/правовые системы питания","необходимые; институциональные; коллективные","правоведение"
11,Колониальное заимствование рецептов,Нет,"структура; идентичность","глобальные обмены изменяют кухню","необходимые; постепенно; коллективные","история"
12,Глобализация вкусов,Нет,"структура; идентичность","распространение глобальных брендов","необходимые; постепенно; коллективные","социология"
13,Локализация глобальных рецептов,Да,"структура; идентичность","адаптация чужих блюд под местные нормы","возможные; постепенно; коллективные","кросс-культура"
14,Диаспоральные кухни,Условно,"идентичность; память","сохранение кухни в изгнании","возможные; постепенно; коллективные","антропология миграций"
15,Гендерное распределение готовки,Нет,"отношения; институты","кто готовит и кто ест закрепляет роли","необходимые; институциональные; коллективные","гендерные исследования"
16,Этническая маркировка еды,Условно,"идентичность; символы","блюдо символизирует группу","возможные; постепенно; коллективные","этнография"
17,Политизация питания,Нет,"институты; экономика","еда как инструмент политики (санкции, импорт)","необходимые; институциональные; коллективные","политология"
18,Экономика гостинца,Да,"отношения; обмен","передача еды укрепляет связи","возможные; цикличные; коллективные","антропология дара"
19,Классовое различие в рационе,Нет,"идентичность; институты","доступ к продуктам отражает статус","необходимые; институциональные; коллективные","социальная антропология"
20,Технологизация питания,Нет,"технология; институты","индустриализация меняет культуру еды","необходимые; постепенно; коллективные","социология технологий"
21,Урбанизация питания,Нет,"структура; институты","фастфуд и уличная еда в городах","необходимые; постепенно; коллективные","урбанистика"
22,Сакрализация пищи,Нет,"символы; идентичность","еда как предмет святости","необходимые; институциональные; коллективные","религиоведение"
23,Десакрализация пищи,Да,"символы; идентичность","утрата сакрального значения еды","возможные; постепенно; коллективные","современность"
24,Ритуалы совместного питья,Условно,"отношения; символы","алкогольные практики как социальный клей","возможные; цикличные; коллективные","социальная антропология"
25,Феминизация кухни,Условно,"отношения; институты","образ женщины-хранительницы очага","возможные; постепенно; коллективные","гендерные исследования"
26,Маскулинизация кухни,Условно,"отношения; институты","шеф-повар как мужской символ","возможные; постепенно; коллективные","социология профессий"
27,Память через рецепты,Условно,"память; наследие","кулинарные книги сохраняют идентичность","возможные; постепенно; коллективные","культурология"
28,Миграция продуктов,Нет,"структура; институты","распространение новых ингредиентов","необходимые; постепенно; коллективные","история"
29,Коммеморация через еду,Условно,"память; символы","еда на поминках и годовщинах","возможные; цикличные; коллективные","антропология ритуала"
30,Национализация кухни,Нет,"идентичность; институты","объявление блюд национальными","необходимые; институциональные; коллективные","политика идентичности"
31,Регионализация кухни,Да,"идентичность; институты","укрепление локальных традиций","возможные; постепенно; коллективные","кросс-культура"
32,Туристификация кухни,Нет,"идентичность; экономика","кухня как товар для туристов","необходимые; постепенно; коллективные","туризм"
33,Коммодификация рецептов,Нет,"экономика; институты","еда становится товаром","необходимые; постепенно; коллективные","социология"
34,Кулинарный национализм,Нет,"идентичность; институты","споры о происхождении блюд","необходимые; институциональные; коллективные","политология"
35,Пищевые утопии,Да,"символы; институты","идеализированные модели питания","возможные; постепенно; коллективные","утопические исследования"
36,Пищевые антиутопии,Да,"символы; институты","страхи индустриализации еды","возможные; постепенно; коллективные","культурология"
37,Кулинарные мифы,Условно,"память; символы","легенды о происхождении блюд","возможные; постепенно; коллективные","фольклор"
38,Кулинарные сказки,Условно,"память; символы","еда в нарративах для детей","возможные; постепенно; коллективные","фольклор"
39,Диетические идентичности,Условно,"идентичность; нормы","веганство, кето, палео как маркеры","возможные; постепенно; коллективные","современная культура"
40,Медикализация питания,Нет,"институты; нормы","еда как лекарство или профилактика","необходимые; постепенно; коллективные","медицина"
41,Эстетизация еды,Да,"символы; значения","фуд-арт и визуальная подача","возможные; мгновенные; коллективные","искусствоведение"
42,Медиаизация кухни,Нет,"дискурс; институты","ТВ-шоу, блоги меняют культуру еды","необходимые; постепенно; коллективные","медиастудии"
43,Интернетизация рецептов,Нет,"дискурс; память","онлайн-базы рецептов","необходимые; постепенно; коллективные","цифровая культура"
44,Геймификация еды,Да,"символы; институты","челленджи и конкурсы вокруг еды","возможные; мгновенные; коллективные","цифровая культура"
45,Милитаризация питания,Нет,"институты; технологии","армейские рационы как стандарт","необходимые; институциональные; коллективные","военные исследования"
46,Космизация питания,Нет,"институты; технологии","еда для космоса как символ прогресса","необходимые; институциональные; коллективные","астроантропология"
47,Кулинарные табели о рангах,Нет,"институты; отношения","иерархия блюд по престижу","необходимые; институциональные; коллективные","социология"
48,Институционализация ресторанов,Нет,"институты; экономика","ресторан как социальный институт","необходимые; постепенно; коллективные","урбанистика"
49,Кулинарные субкультуры,Условно,"идентичность; нормы","панк-кухня, raw-food, локаворы","возможные; постепенно; коллективные","субкультурные исследования"
50,Этнографизация еды,Да,"символы; наследие","еда как объект научного описания","возможные; постепенно; коллективные","антропология"
51,Кулинарная дипломатия,Условно,"идентичность; институты","soft power через национальные кухни","возможные; постепенно; коллективные","политология"
52,Кулинарные войны,Нет,"идентичность; институты","конфликты за культурное наследие блюд","необходимые; институциональные; коллективные","политология"
53,Сакральная география еды,Нет,"пространство; символы","святые места ↔ продукты","необходимые; институциональные; коллективные","религиоведение"
54,Экологизация питания,Нет,"нормы; институты","устойчивое потребление еды","необходимые; постепенно; коллективные","экология"
55,Веганизация культуры,Да,"нормы; идентичность","распространение веганства","возможные; постепенно; коллективные","современная культура"
