№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Спиртовое брожение,Нет,"содержание; состояние","дрожжи превращают сахара в этанол и CO₂","необходимые; постепенно; коллективные","пивоварение; виноделие"
2,Молочнокислое брожение,Нет,"содержание; состояние","лактобактерии превращают сахара в молочную кислоту","необходимые; постепенно; коллективные","йогурт; квашение"
3,Уксуснокислое брожение,Нет,"содержание; состояние","Acetobacter превращают этанол в уксус","необходимые; постепенно; коллективные","уксусоделие"
4,Пропионовокислое брожение,Нет,"содержание; состояние","образование пропионовой кислоты и CO₂","необходимые; постепенно; коллективные","сыроварение"
5,Маслянокислое брожение,Нет,"содержание; состояние","клостридии образуют масляную кислоту","необходимые; постепенно; коллективные","силосование; ферментация"
6,Щелочная ферментация,Нет,"содержание; состояние","разложение белков с повышением pH","необходимые; постепенно; коллективные","традиционные азиатские продукты"
7,Ферментация соевых бобов,Нет,"содержание; структура","Bacillus subtilis или Aspergillus ферментируют сою","необходимые; постепенно; коллективные","мисо; натто; соевый соус"
8,Ферментация рыбы,Нет,"содержание; структура","ферментативное разложение белков рыбы","необходимые; постепенно; коллективные","азиатская кухня; гарум"
9,Ферментация мяса,Нет,"содержание; структура","молочнокислое+дрожжевое преобразование","необходимые; постепенно; коллективные","колбасы; хамон"
10,Ферментация овощей,Нет,"содержание; структура","естественные закваски трансформируют клетчатку","необходимые; постепенно; коллективные","квашеная капуста; кимчи"
11,Ферментация фруктов,Нет,"содержание; структура","брожение фруктозы дрожжами","необходимые; постепенно; коллективные","сидр"
12,Ферментация зерновых,Нет,"содержание; структура","брожение крахмала после осахаривания","необходимые; постепенно; коллективные","пиво; виски"
13,Ферментация молока,Нет,"содержание; структура","лактобактерии превращают лактозу в кислоты","необходимые; постепенно; коллективные","йогурт; кефир"
14,Кефирная ферментация,Нет,"содержание; структура","кефирные грибки (бактерии+дрожжи)","необходимые; постепенно; коллективные","кефир"
15,Кумысное брожение,Нет,"содержание; структура","дрожжи+бактерии в кобыльем молоке","необходимые; постепенно; коллективные","кумыс"
16,Ферментация чая,Нет,"содержание; структура","окисление полифенолов листа","необходимые; постепенно; коллективные","чёрный/улун чай"
17,Ферментация кофе,Нет,"содержание; структура","брожение зёрен при обработке","необходимые; постепенно; коллективные","обработка кофе"
18,Какао-ферментация,Нет,"содержание; структура","микробы изменяют вкус и аромат какао-бобов","необходимые; постепенно; коллективные","шоколад"
