№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Отбор жертвы,Нет,экономика/обмен,принцип выбора,необходимые; индивидуальные; мгновенные,Определение подходящего дара
2,Очищение жертвы,Нет,тело/материя,принцип сакрализации,необходимые; индивидуальные; мгновенные,Омовение животного или предмета
3,Призыв божества,Да,дискурс,принцип обращения,возможные; коллективные; мгновенные,Начало жертвоприношения
4,Заклание/убийство,Нет,тело/материя,принцип отдачи,необходимые; индивидуальные; дискретные,Ритуальное убивание животного
5,Проливание крови,Нет,тело/материя,принцип очищения,необходимые; индивидуальные; мгновенные,Символ жертвы
6,Сжигание жертвы,Нет,тело/материя,принцип вознесения,необходимые; коллективные; мгновенные,Передача духам через огонь
7,Возлияние (ливание вина/масла),Да,экономика/обмен,принцип распределения,возможные; индивидуальные; мгновенные,Либат по земле
8,Разделение мяса,Да,экономика/обмен,принцип участия,возможные; коллективные; мгновенные,Употребление жертвенного мяса
9,Захоронение остатков,Нет,пространство,принцип завершения,необходимые; индивидуальные; мгновенные,Погребение костей
10,Молитва благодарения,Да,дискурс,принцип благодарности,возможные; коллективные; мгновенные,Благодарение за дар
11,Использование заместительной жертвы,Нет,символы,принцип замещения,необходимые; индивидуальные; дискретные,Символическое животное
12,Символическое лишение,Нет,экономика/обмен,принцип отказа,необходимые; индивидуальные; мгновенные,Отказ от материальных благ
13,Освящение алтаря,Да,пространство,принцип подготовки,возможные; коллективные; мгновенные,Перед началом жертвоприношения
14,Приношение первых плодов,Да,экономика/обмен,принцип благодарности,возможные; коллективные; мгновенные,Дар раннего урожая
15,Ритуальная песнь,Да,дискурс,принцип соприсутствия,возможные; коллективные; континуальные,Пение во время обряда
16,Завершение и очищение,Да,состояние,принцип разграничения,возможные; коллективные; мгновенные,Отделение от священного
