№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Отслеживание времени,Да,время/ритм,принцип цикличности,необходимые; коллективные; континуальные,Синхронизация с природными циклами
2,Приветствие солнцестояния,Да,время/ритм,принцип солнцепоклонения,возможные; коллективные; дискретные,Празднование зимнего или летнего солнцестояния
3,Отмечание равноденствия,Да,время/ритм,принцип баланса,возможные; коллективные; дискретные,Связанно с равенством дня и ночи
4,Проводы зимы,Да,время/ритм,принцип прощания,возможные; коллективные; дискретные,"Масленица, сжигание чучела"
5,Начало посевной,Нет,функция,принцип плодородия,необходимые; коллективные; дискретные,Обозначает старт сельскохозяйственного цикла
6,Благодарение урожая,Да,экономика/обмен,принцип благодарности,возможные; коллективные; дискретные,Празднование сбора урожая
7,Ритуальное сжигание,Нет,символы,принцип очищения,возможные; коллективные; дискретные,Сжигание фигур или даров
8,Освящение еды,Да,тело/материя,принцип сакрализации,возможные; коллективные; мгновенные,Благословение продуктов
9,Пост,Условно,тело/материя,принцип воздержания,возможные; индивидуальные; континуальные,Временна отказ от пищи
10,Лунная медитация,Да,время/ритм,принцип созерцания,возможные; индивидуальные; континуальные,Привязана к фазам луны
11,Процессия,Да,поведение,принцип совместного движения,возможные; коллективные; дискретные,Марш на определённом маршруте
12,Установка майского дерева,Нет,символы,принцип плодородия,необходимые; коллективные; дискретные,Майское дерево как символ весны
13,Приношение даров,Да,экономика/обмен,принцип дарения,возможные; коллективные; мгновенные,Раздача первых плодов или предметов
14,Ритуальные игры,Да,поведение,принцип соревнования,возможные; коллективные; дискретные,Состязания с сакральным смыслом
15,Праздничная трапеза,Да,экономика/обмен,принцип совместности,возможные; коллективные; мгновенные,Совместное застолье
16,Декорирование пространства,Да,пространство,принцип украшения,возможные; коллективные; постепенные,Украшение домов и храмов
17,Коллективное пение,Да,поведение,принцип единства,возможные; коллективные; дискретные,"Колядки, каролы"
18,Зажигание огня,Да,тело/материя,принцип света,возможные; коллективные; мгновенные,"Свечи, костры"
19,Купание в проруби,Да,тело/материя,принцип очищения,возможные; индивидуальные; дискретные,Крещенский обряд
20,Благословение животных,Да,отношения,принцип заботы,возможные; коллективные; мгновенные,Освящение домашних животных
