№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Омовение тела,Нет,тело/материя,принцип очищения,необходимые; индивидуальные; мгновенные,Подготовка умершего
2,Укладывание в одежду,Нет,тело/материя,принцип уважения,необходимые; индивидуальные; мгновенные,Одежда для похорон
3,Закрытие глаз/рта,Нет,тело/материя,принцип покоя,необходимые; индивидуальные; мгновенные,Символизирует сон
4,Пение погребальных песен,Да,дискурс,принцип прощания,возможные; коллективные; дискретные,Похоронные плачи
5,Процессия к месту захоронения,Нет,пространство,принцип проводов,необходимые; коллективные; дискретные,Перенос тела
6,Захоронение (засыпание землёй),Нет,тело/материя,принцип возвращения,необходимые; коллективные; мгновенные,Погружение в землю
7,Кремация,Нет,тело/материя,принцип освобождения,необходимые; коллективные; мгновенные,Сжигание тела
8,Размещение в гробнице,Нет,пространство,принцип обиталища,необходимые; коллективные; мгновенные,Саркофаг или мавзолей
9,Мумифицирование,Нет,тело/материя,принцип сохранения,необходимые; индивидуальные; постепенные,Бальзамирование
10,Освящение могилы,Да,пространство,принцип сакрализации,возможные; коллективные; мгновенные,Молитва на кладбище
11,Чтение речей (некролог),Да,дискурс,принцип памяти,возможные; коллективные; дискретные,Прощальные слова
12,Подача знаков уважения,Да,поведение,принцип солидарности,возможные; индивидуальные; мгновенные,"Поклон, прикосновение"
13,Размещение гроба,Нет,пространство,принцип ориентации,необходимые; коллективные; мгновенные,Установка по сторонам света
14,Поминки,Да,экономика/обмен,принцип воспоминания,возможные; коллективные; дискретные,Совместная трапеза после похорон
15,Подношение гробовых предметов,Да,символы,принцип сопровождения,возможные; индивидуальные; мгновенные,Кладутся в могилу
16,Сжигание вещей умершего,Нет,символы,принцип очищения,возможные; коллективные; дискретные,Уничтожение личных вещей
17,Обращение к предкам,Да,отношения,принцип родовой связи,возможные; коллективные; мгновенные,Молитва за души
18,Закрепление памятника,Нет,символы,принцип памяти,необходимые; коллективные; постепенные,Установка надгробия
19,Поминальные дни,Да,время/ритм,принцип цикличности,возможные; коллективные; дискретные,"Годовщина, Радоница"
20,Рассеивание праха,Нет,пространство,принцип единения,необходимые; индивидуальные; дискретные,Рассеивание в природе
