№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Коронация,Нет,тело/материя,принцип сакральной власти,необходимые; коллективные; дискретные,Возведение монарха на престол
2,Инаугурация,Нет,поведение,принцип легитимации,необходимые; коллективные; дискретные,Вступление президента в должность
3,Принесение присяги,Нет,дискурс,принцип обязательства,необходимые; индивидуальные; мгновенные,Клятва на Конституции
4,Военный парад,Да,поведение,принцип демонстрации силы,возможные; коллективные; дискретные,Шествие войск
5,Вручение регалий,Да,символы,принцип передачи власти,возможные; коллективные; мгновенные,"Скипетр, корона, мантия"
6,Послание к народу,Да,дискурс,принцип коммуникации,возможные; индивидуальные; мгновенные,Обращение лидера
7,Подписание указа,Нет,функция,принцип нормативности,необходимые; индивидуальные; мгновенные,Юридический акт
8,Отпевание государственного деятеля,Нет,память/наследие,принцип государственной памяти,необходимые; коллективные; дискретные,Государственные похороны
9,Раздача наград,Да,отношения,принцип признания,возможные; коллективные; дискретные,Орден или медаль
10,Поднятие флага,Да,символы,принцип идентичности,возможные; коллективные; мгновенные,Государственный флаг
11,Клятва верности,Нет,дискурс,принцип подчинения,необходимые; коллективные; мгновенные,В том числе военные присяги
12,Ритуальное приветствие,Да,поведение,принцип уважения,возможные; коллективные; мгновенные,"Поклон, салют"
13,Презентация ключей города,Да,символы,принцип доверия,возможные; коллективные; мгновенные,Дар ключей новому правителю
14,Освящение оружия,Да,тело/материя,принцип сакрализации,возможные; коллективные; мгновенные,"Посвящение меча, знамени"
15,Благословение правителя,Да,отношения,принцип религиозной легитимации,возможные; коллективные; мгновенные,Санкционирует власть
