№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Освящение места,Да,пространство,принцип сакрализации,возможные; коллективные; мгновенные,Превращение участка в святое
2,Определение границ,Да,пространство,принцип разграничения,возможные; коллективные; мгновенные,Разделение священного и профанного
3,Установка алтаря,Нет,пространство,принцип центра,необходимые; коллективные; мгновенные,Создание места поклонения
4,Чистка и уборка,Да,состояние,принцип чистоты,возможные; коллективные; мгновенные,Подготовка перед ритуалом
5,"Украшение (цветы, ткани)",Да,символы,принцип красоты,возможные; коллективные; постепенные,Декорирование священного места
6,Чертение мандалы/символа,Нет,символы,принцип отображения космоса,необходимые; индивидуальные; дискретные,Создание сакральной диаграммы
7,Ориентация по сторонам света,Да,пространство,принцип ориентации,возможные; коллективные; мгновенные,Размещение объектов по направлениям
8,Запрет на речь/тишина,Да,нормы,принцип сосредоточения,возможные; коллективные; континуальные,Молчание внутри храма
9,Снятие обуви,Да,поведение,принцип уважения,возможные; индивидуальные; мгновенные,Перед входом
10,Ритуальное омовение,Да,тело/материя,принцип очищения,возможные; индивидуальные; мгновенные,Перед входом в священное
11,Приношение даров,Да,экономика/обмен,принцип обмена,возможные; индивидуальные; мгновенные,Дар на алтарь
12,Разброс лепестков,Да,символы,принцип изобилия,возможные; коллективные; мгновенные,Украшение прохода
13,Хождение по кругу,Да,поведение,принцип цикличности,возможные; коллективные; континуальные,Обозначение границ
14,Постройка лабиринта,Нет,пространство,принцип пути,необходимые; коллективные; постепенные,Создание структуры для обхода
15,Разведение огня,Да,тело/материя,принцип света,возможные; коллективные; мгновенные,"Установка свечей, факелов"
16,Инсталляция священных объектов,Да,символы,принцип посредничества,возможные; коллективные; постепенные,"Иконы, статуи"
