№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Приветствие (рукопожатие),Да,поведение,принцип признания,возможные; индивидуальные; мгновенные,Обмен жестами приветствия
2,Поклон,Да,поведение,принцип уважения,возможные; индивидуальные; мгновенные,Смещение тела вперёд
3,Поцелуй в щеку,Да,поведение,принцип близости,возможные; индивидуальные; мгновенные,Французское и славянское приветствие
4,Объятие,Да,поведение,принцип дружбы,возможные; индивидуальные; мгновенные,Различается по культуре
5,Тост,Да,дискурс,принцип благопожелания,возможные; коллективные; мгновенные,Звучит перед питьём
6,Кивки головой,Да,поведение,принцип согласия,возможные; индивидуальные; мгновенные,Согласие или приветствие
7,Подача руки для поцелуя,Да,поведение,принцип галантности,возможные; индивидуальные; мгновенные,Традиция в некоторых культурах
8,Дарение подарков,Да,экономика/обмен,принцип взаимности,возможные; коллективные; мгновенные,"Дни рождения, свадьбы"
9,Подношение угощения,Да,экономика/обмен,принцип гостеприимства,возможные; индивидуальные; мгновенные,Предложение еды или напитка
10,Просьба прощения,Да,дискурс,принцип восстановление отношений,возможные; индивидуальные; мгновенные,Выражение сожаления
11,Выражение благодарности,Да,дискурс,принцип признательности,возможные; индивидуальные; мгновенные,Слова благодарности
12,Представление третьих лиц,Да,отношения,принцип посредничества,возможные; индивидуальные; мгновенные,Знакомство между людьми
13,Обмен визитками,Да,экономика/обмен,принцип формальности,возможные; индивидуальные; мгновенные,Деловая практика
14,Сделка рукопожатием,Да,отношения,принцип подтверждения,возможные; индивидуальные; мгновенные,Закрепление договорённости
15,Общий смех,Да,поведение,принцип сплочения,возможные; коллективные; мгновенные,Создание дружеской атмосферы
