№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Диагностика,Да,состояние,принцип обнаружения,необходимые; индивидуальные; мгновенные,Определение причины недуга
2,Призыв духов,Условно,дискурс,принцип посредничества,возможные; коллективные; мгновенные,Обращение к сверхъестественным силам
3,Чтение заклинаний,Да,дискурс,принцип вербальной магии,возможные; индивидуальные; континуальные,Использование формул и мантр
4,Втирание трав,Да,тело/материя,принцип натуропатии,возможные; индивидуальные; мгновенные,"Мазь, бальзам"
5,Окуривание дымом,Да,тело/материя,принцип очищения,возможные; коллективные; континуальные,Использование растений для окуривания
6,Обмахивание,Да,поведение,принцип охлаждения,возможные; индивидуальные; континуальные,"Махание веером, крылом"
7,Лечение руками,Да,тело/материя,принцип передачи энергии,возможные; индивидуальные; континуальные,"Рейки, возложение рук"
8,Ритуальный массаж,Да,тело/материя,принцип стимуляции,возможные; индивидуальные; континуальные,Манипуляции с телом
9,Приготовление отвара,Да,тело/материя,принцип трансформации,возможные; индивидуальные; постепенные,Заваривание снадобья
10,Камлание (бубен),Условно,поведение,принцип транса,возможные; индивидуальные; континуальные,Шаманская практика
11,Очищение водой,Да,тело/материя,принцип омовения,возможные; индивидуальные; мгновенные,"Купание, обливание"
12,Обращение к предкам,Да,отношения,принцип родовой связи,возможные; коллективные; мгновенные,Молитва или обращение
13,Жертвоприношение для исцеления,Нет,экономика/обмен,принцип компенсации,возможные; коллективные; дискретные,Дар богам или духам
14,Паломничество к святыне,Да,пространство,принцип поиска помощи,возможные; индивидуальные; дискретные,Поездка в священное место
15,Медитация,Да,поведение,принцип сосредоточения,возможные; индивидуальные; континуальные,Умственная практика
16,Энергетическое выравнивание,Да,тело/материя,принцип гармонии,возможные; индивидуальные; континуальные,Работа с чакрами
17,Исповедь,Да,дискурс,принцип высвобождения,возможные; индивидуальные; мгновенные,Открытие скрытых переживаний
18,Танец исцеления,Да,поведение,принцип катарсиса,возможные; коллективные; континуальные,Ритуальное движение для исцеления
19,Ритуальное кровопускание,Нет,тело/материя,принцип выведения,возможные; индивидуальные; дискретные,Кровопускание или ланцет
20,Использование амулетов,Да,символы,принцип защиты,возможные; индивидуальные; континуальные,Ношение оберегов
