№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Фокус на проблеме,Да,содержание,принцип намерения,возможные; индивидуальные; дискретные,Обдумывание задачи перед сном
2,Формулирование вербальной установки,Да,дискурс,принцип самопрограммирования,возможные; индивидуальные; дискретные,Повторение желания во сне
3,Визуализация желаемого образа,Да,содержание,принцип визуализации,возможные; индивидуальные; дискретные,Создание конкретного образа
4,Размещение объекта-индикатора,Да,пространство,принцип якорения,возможные; индивидуальные; дискретные,Символическое напоминание
5,Использование аудиокью,Да,технология/инфраструктура,принцип подсказки,возможные; индивидуальные; дискретные,Запуск аудиоповтора в нужный момент
6,Изменение окружающей среды,Да,пространство,принцип ассоциации,возможные; индивидуальные; постепенные,Создание настроя
7,Дневник инкубации,Да,память/наследие,принцип фиксации,возможные; индивидуальные; континуальные,Запись результата
8,Повторение процедуры,Да,время/ритм,принцип цикличности,возможные; индивидуальные; континуальные,Ежедневная практика
9,Сон в храме,Нет,пространство,принцип иерокампуса,необходимые; коллективные; дискретные,Древняя практика поиска пророчества
10,Технология целевого вмешательства (TDI),Да,технология/инфраструктура,принцип стимуляции,возможные; экзогенные; дискретные,Современная методика MIT
11,Сохранение спокойствия,Да,состояние,принцип релаксации,возможные; индивидуальные; континуальные,Снижает тревожность
