№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Коллективное обсуждение,Да,отношения,принцип обмена,возможные; коллективные; дискретные,Обсуждение снов с членами общины
2,Сон в святилище,Нет,пространство,принцип инкубации,необходимые; коллективные; дискретные,Храмовый сон для получения откровения
3,Видение во время похода,Нет,состояние,принцип поиска,необходимые; индивидуальные; дискретные,Паломничество или видение на природе
4,Предсказание по сну,Да,значения,принцип пророчества,возможные; индивидуальные; дискретные,Использование сна для прогнозов
5,Рассказ шаману,Да,дискурс,принцип посредничества,возможные; индивидуальные; дискретные,Передача сна для толкования
6,Запоминание коллективных символов,Да,память/наследие,принцип традиции,возможные; коллективные; континуальные,Сохранение культурных образов
7,Установление табу,Нет,нормы,принцип запрета,необходимые; коллективные; дискретные,Определение «плохих» снов
8,Возложение обязанностей,Нет,функция,принцип назначения,необходимые; коллективные; дискретные,Распределение ролей через сон
9,Передача легенд,Да,память/наследие,принцип нарратива,возможные; коллективные; континуальные,Использование сновидений для создания мифов
10,Ритуал очищения сна,Да,поведение,принцип очищения,возможные; коллективные; дискретные,Удаление плохих образов
11,Хоровое пение перед сном,Да,поведение,принцип синхронизации,возможные; коллективные; дискретные,Наведение общего настроя
12,Нарисование сна,Да,символы,принцип визуализации,возможные; индивидуальные; дискретные,Создание петроглифов или картин
13,Молитва о сне,Да,дискурс,принцип просьбы,возможные; коллективные; дискретные,Обращение к духам или богам
14,Ведение дневника снов,Да,память/наследие,принцип фиксации,возможные; индивидуальные; континуальные,Регулярный сбор сна
15,Создание талисманов,Да,символы,принцип защиты,возможные; индивидуальные; континуальные,"Мешочек с травами, ловец снов"
