№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,агрегировать данные условная,Да,время/ритм,парадокс Симпсона,необходимые,Уникальный
2,агрегировать данные групповая,Нет,символы,парадокс Монти Холла,возможные,Аналоги в других парадоксах
3,агрегировать данные агрегированная,Условно,функция,байесовская инверсия,мгновенные,Типичный пример
4,агрегировать данные раздельная,Да,структура,оптическое смещение,постепенные,Уникальный
5,агрегировать данные смещённая,Нет,отношения,принцип достаточности,дискретные,Аналоги в других парадоксах
6,агрегировать данные неоднозначная,Условно,значения,центральная предельная теорема,континуальные,Типичный пример
7,агрегировать группа условная,Да,время/ритм,парадокс Симпсона,индивидуальные,Уникальный
8,агрегировать группа групповая,Нет,идентичность/границы,парадокс Монти Холла,коллективные,Аналоги в других парадоксах
9,агрегировать группа агрегированная,Условно,идентичность/границы,байесовская инверсия,эндогенные,Типичный пример
10,агрегировать группа раздельная,Да,состояние,оптическое смещение,экзогенные,Уникальный
11,агрегировать группа смещённая,Нет,функция,принцип достаточности,институциональные,Аналоги в других парадоксах
12,агрегировать группа неоднозначная,Условно,технология/инфраструктура,центральная предельная теорема,неформальные,Типичный пример
13,агрегировать выборка условная,Да,отношения,парадокс Симпсона,цикличные,Уникальный
14,агрегировать выборка групповая,Нет,экономика/обмен,парадокс Монти Холла,каскадные,Аналоги в других парадоксах
15,агрегировать выборка агрегированная,Условно,время/ритм,байесовская инверсия,явные,Типичный пример
16,агрегировать выборка раздельная,Да,функция,оптическое смещение,латентные,Уникальный
17,агрегировать выборка смещённая,Нет,структура,принцип достаточности,необходимые,Аналоги в других парадоксах
18,агрегировать выборка неоднозначная,Условно,структура,центральная предельная теорема,возможные,Типичный пример
19,агрегировать результат условная,Да,значения,парадокс Симпсона,мгновенные,Уникальный
20,агрегировать результат групповая,Нет,институты,парадокс Монти Холла,постепенные,Аналоги в других парадоксах
21,агрегировать результат агрегированная,Условно,содержание,байесовская инверсия,дискретные,Типичный пример
22,агрегировать результат раздельная,Да,нормы,оптическое смещение,континуальные,Уникальный
23,агрегировать результат смещённая,Нет,дискурс,принцип достаточности,индивидуальные,Аналоги в других парадоксах
24,агрегировать результат неоднозначная,Условно,содержание,центральная предельная теорема,коллективные,Типичный пример
25,агрегировать корреляция условная,Да,нормы,парадокс Симпсона,эндогенные,Уникальный
26,агрегировать корреляция групповая,Нет,идентичность/границы,парадокс Монти Холла,экзогенные,Аналоги в других парадоксах
27,агрегировать корреляция агрегированная,Условно,тело/материя,байесовская инверсия,институциональные,Типичный пример
28,агрегировать корреляция раздельная,Да,значения,оптическое смещение,неформальные,Уникальный
29,агрегировать корреляция смещённая,Нет,тело/материя,принцип достаточности,цикличные,Аналоги в других парадоксах
30,агрегировать корреляция неоднозначная,Условно,нормы,центральная предельная теорема,каскадные,Типичный пример
31,разделять данные условная,Да,значения,парадокс Симпсона,явные,Уникальный
32,разделять данные групповая,Нет,значения,парадокс Монти Холла,латентные,Аналоги в других парадоксах
33,разделять данные агрегированная,Условно,поведение,байесовская инверсия,необходимые,Типичный пример
34,разделять данные раздельная,Да,поведение,оптическое смещение,возможные,Уникальный
35,разделять данные смещённая,Нет,нормы,принцип достаточности,мгновенные,Аналоги в других парадоксах
36,разделять данные неоднозначная,Условно,пространство,центральная предельная теорема,постепенные,Типичный пример
37,разделять группа условная,Да,функция,парадокс Симпсона,дискретные,Уникальный
38,разделять группа групповая,Нет,нормы,парадокс Монти Холла,континуальные,Аналоги в других парадоксах
39,разделять группа агрегированная,Условно,структура,байесовская инверсия,индивидуальные,Типичный пример
40,разделять группа раздельная,Да,пространство,оптическое смещение,коллективные,Уникальный
41,разделять группа смещённая,Нет,содержание,принцип достаточности,эндогенные,Аналоги в других парадоксах
42,разделять группа неоднозначная,Условно,символы,центральная предельная теорема,экзогенные,Типичный пример
43,разделять выборка условная,Да,память/наследие,парадокс Симпсона,институциональные,Уникальный
44,разделять выборка групповая,Нет,дискурс,парадокс Монти Холла,неформальные,Аналоги в других парадоксах
45,разделять выборка агрегированная,Условно,институты,байесовская инверсия,цикличные,Типичный пример
46,разделять выборка раздельная,Да,символы,оптическое смещение,каскадные,Уникальный
47,разделять выборка смещённая,Нет,структура,принцип достаточности,явные,Аналоги в других парадоксах
48,разделять выборка неоднозначная,Условно,время/ритм,центральная предельная теорема,латентные,Типичный пример
49,разделять результат условная,Да,технология/инфраструктура,парадокс Симпсона,необходимые,Уникальный
50,разделять результат групповая,Нет,экономика/обмен,парадокс Монти Холла,возможные,Аналоги в других парадоксах
51,разделять результат агрегированная,Условно,значения,байесовская инверсия,мгновенные,Типичный пример
52,разделять результат раздельная,Да,структура,оптическое смещение,постепенные,Уникальный
53,разделять результат смещённая,Нет,время/ритм,принцип достаточности,дискретные,Аналоги в других парадоксах
54,разделять результат неоднозначная,Условно,время/ритм,центральная предельная теорема,континуальные,Типичный пример
55,разделять корреляция условная,Да,институты,парадокс Симпсона,индивидуальные,Уникальный
56,разделять корреляция групповая,Нет,технология/инфраструктура,парадокс Монти Холла,коллективные,Аналоги в других парадоксах
57,разделять корреляция агрегированная,Условно,пространство,байесовская инверсия,эндогенные,Типичный пример
58,разделять корреляция раздельная,Да,поведение,оптическое смещение,экзогенные,Уникальный
59,разделять корреляция смещённая,Нет,структура,принцип достаточности,институциональные,Аналоги в других парадоксах
60,разделять корреляция неоднозначная,Условно,институты,центральная предельная теорема,неформальные,Типичный пример
61,путать данные условная,Да,память/наследие,парадокс Симпсона,цикличные,Уникальный
62,путать данные групповая,Нет,пространство,парадокс Монти Холла,каскадные,Аналоги в других парадоксах
63,путать данные агрегированная,Условно,значения,байесовская инверсия,явные,Типичный пример
64,путать данные раздельная,Да,экономика/обмен,оптическое смещение,латентные,Уникальный
65,путать данные смещённая,Нет,экономика/обмен,принцип достаточности,необходимые,Аналоги в других парадоксах
66,путать данные неоднозначная,Условно,нормы,центральная предельная теорема,возможные,Типичный пример
67,путать группа условная,Да,функция,парадокс Симпсона,мгновенные,Уникальный
68,путать группа групповая,Нет,институты,парадокс Монти Холла,постепенные,Аналоги в других парадоксах
69,путать группа агрегированная,Условно,время/ритм,байесовская инверсия,дискретные,Типичный пример
70,путать группа раздельная,Да,время/ритм,оптическое смещение,континуальные,Уникальный
71,путать группа смещённая,Нет,идентичность/границы,принцип достаточности,индивидуальные,Аналоги в других парадоксах
72,путать группа неоднозначная,Условно,пространство,центральная предельная теорема,коллективные,Типичный пример
73,путать выборка условная,Да,пространство,парадокс Симпсона,эндогенные,Уникальный
74,путать выборка групповая,Нет,содержание,парадокс Монти Холла,экзогенные,Аналоги в других парадоксах
75,путать выборка агрегированная,Условно,символы,байесовская инверсия,институциональные,Типичный пример
76,путать выборка раздельная,Да,отношения,оптическое смещение,неформальные,Уникальный
77,путать выборка смещённая,Нет,символы,принцип достаточности,цикличные,Аналоги в других парадоксах
78,путать выборка неоднозначная,Условно,идентичность/границы,центральная предельная теорема,каскадные,Типичный пример
79,путать результат условная,Да,состояние,парадокс Симпсона,явные,Уникальный
80,путать результат групповая,Нет,технология/инфраструктура,парадокс Монти Холла,латентные,Аналоги в других парадоксах
81,путать результат агрегированная,Условно,экономика/обмен,байесовская инверсия,необходимые,Типичный пример
82,путать результат раздельная,Да,символы,оптическое смещение,возможные,Уникальный
83,путать результат смещённая,Нет,технология/инфраструктура,принцип достаточности,мгновенные,Аналоги в других парадоксах
84,путать результат неоднозначная,Условно,институты,центральная предельная теорема,постепенные,Типичный пример
85,путать корреляция условная,Да,символы,парадокс Симпсона,дискретные,Уникальный
86,путать корреляция групповая,Нет,функция,парадокс Монти Холла,континуальные,Аналоги в других парадоксах
87,путать корреляция агрегированная,Условно,экономика/обмен,байесовская инверсия,индивидуальные,Типичный пример
88,путать корреляция раздельная,Да,тело/материя,оптическое смещение,коллективные,Уникальный
89,путать корреляция смещённая,Нет,состояние,принцип достаточности,эндогенные,Аналоги в других парадоксах
90,путать корреляция неоднозначная,Условно,функция,центральная предельная теорема,экзогенные,Типичный пример
91,интерпретировать данные условная,Да,структура,парадокс Симпсона,институциональные,Уникальный
92,интерпретировать данные групповая,Нет,технология/инфраструктура,парадокс Монти Холла,неформальные,Аналоги в других парадоксах
93,интерпретировать данные агрегированная,Условно,память/наследие,байесовская инверсия,цикличные,Типичный пример
94,интерпретировать данные раздельная,Да,пространство,оптическое смещение,каскадные,Уникальный
95,интерпретировать данные смещённая,Нет,экономика/обмен,принцип достаточности,явные,Аналоги в других парадоксах
96,интерпретировать данные неоднозначная,Условно,содержание,центральная предельная теорема,латентные,Типичный пример
97,интерпретировать группа условная,Да,пространство,парадокс Симпсона,необходимые,Уникальный
