№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,суперпонировать система в суперпозиции,Да,значения,принцип неопределённости,необходимые,Уникальный
2,суперпонировать система кубитовый,Нет,институты,квантовая суперпозиция,возможные,Аналоги в других парадоксах
3,суперпонировать система энтанглированный,Условно,поведение,принцип дополнения,мгновенные,Типичный пример
4,суперпонировать система неопределённый,Да,идентичность/границы,квантовая интерференция,постепенные,Уникальный
5,суперпонировать система классически-локальный,Нет,время/ритм,измерительный постулат,дискретные,Аналоги в других парадоксах
6,суперпонировать система квантово-несовместимый,Условно,функция,квантовая декогеренция,континуальные,Типичный пример
7,суперпонировать частица в суперпозиции,Да,тело/материя,принцип неопределённости,индивидуальные,Уникальный
8,суперпонировать частица кубитовый,Нет,структура,квантовая суперпозиция,коллективные,Аналоги в других парадоксах
9,суперпонировать частица энтанглированный,Условно,память/наследие,принцип дополнения,эндогенные,Типичный пример
10,суперпонировать частица неопределённый,Да,экономика/обмен,квантовая интерференция,экзогенные,Уникальный
11,суперпонировать частица классически-локальный,Нет,символы,измерительный постулат,институциональные,Аналоги в других парадоксах
12,суперпонировать частица квантово-несовместимый,Условно,экономика/обмен,квантовая декогеренция,неформальные,Типичный пример
13,суперпонировать квантовый бит в суперпозиции,Да,символы,принцип неопределённости,цикличные,Уникальный
14,суперпонировать квантовый бит кубитовый,Нет,дискурс,квантовая суперпозиция,каскадные,Аналоги в других парадоксах
15,суперпонировать квантовый бит энтанглированный,Условно,идентичность/границы,принцип дополнения,явные,Типичный пример
16,суперпонировать квантовый бит неопределённый,Да,значения,квантовая интерференция,латентные,Уникальный
17,суперпонировать квантовый бит классически-локальный,Нет,пространство,измерительный постулат,необходимые,Аналоги в других парадоксах
18,суперпонировать квантовый бит квантово-несовместимый,Условно,содержание,квантовая декогеренция,возможные,Типичный пример
19,суперпонировать квантовый объект в суперпозиции,Да,состояние,принцип неопределённости,мгновенные,Уникальный
20,суперпонировать квантовый объект кубитовый,Нет,структура,квантовая суперпозиция,постепенные,Аналоги в других парадоксах
21,суперпонировать квантовый объект энтанглированный,Условно,состояние,принцип дополнения,дискретные,Типичный пример
22,суперпонировать квантовый объект неопределённый,Да,дискурс,квантовая интерференция,континуальные,Уникальный
23,суперпонировать квантовый объект классически-локальный,Нет,дискурс,измерительный постулат,индивидуальные,Аналоги в других парадоксах
24,суперпонировать квантовый объект квантово-несовместимый,Условно,структура,квантовая декогеренция,коллективные,Типичный пример
25,суперпонировать функция в суперпозиции,Да,пространство,принцип неопределённости,эндогенные,Уникальный
26,суперпонировать функция кубитовый,Нет,значения,квантовая суперпозиция,экзогенные,Аналоги в других парадоксах
27,суперпонировать функция энтанглированный,Условно,нормы,принцип дополнения,институциональные,Типичный пример
28,суперпонировать функция неопределённый,Да,состояние,квантовая интерференция,неформальные,Уникальный
29,суперпонировать функция классически-локальный,Нет,тело/материя,измерительный постулат,цикличные,Аналоги в других парадоксах
30,суперпонировать функция квантово-несовместимый,Условно,поведение,квантовая декогеренция,каскадные,Типичный пример
31,измерять система в суперпозиции,Да,состояние,принцип неопределённости,явные,Уникальный
32,измерять система кубитовый,Нет,дискурс,квантовая суперпозиция,латентные,Аналоги в других парадоксах
33,измерять система энтанглированный,Условно,технология/инфраструктура,принцип дополнения,необходимые,Типичный пример
34,измерять система неопределённый,Да,пространство,квантовая интерференция,возможные,Уникальный
35,измерять система классически-локальный,Нет,дискурс,измерительный постулат,мгновенные,Аналоги в других парадоксах
36,измерять система квантово-несовместимый,Условно,отношения,квантовая декогеренция,постепенные,Типичный пример
37,измерять частица в суперпозиции,Да,нормы,принцип неопределённости,дискретные,Уникальный
38,измерять частица кубитовый,Нет,отношения,квантовая суперпозиция,континуальные,Аналоги в других парадоксах
39,измерять частица энтанглированный,Условно,дискурс,принцип дополнения,индивидуальные,Типичный пример
40,измерять частица неопределённый,Да,нормы,квантовая интерференция,коллективные,Уникальный
