№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,исчерпывать множество бесконечное,Да,состояние,аксиома выбора,необходимые,Уникальный
2,исчерпывать множество счетное,Нет,состояние,теорема Кантора,возможные,Аналоги в других парадоксах
3,исчерпывать множество несчётное,Условно,отношения,трансфинитное индуктивное,мгновенные,Типичный пример
4,исчерпывать множество континуальное,Да,время/ритм,кардинальное сравнение,постепенные,Уникальный
5,исчерпывать множество фрактальное,Нет,значения,парадокс Гильберта,дискретные,Аналоги в других парадоксах
6,исчерпывать последовательность бесконечное,Условно,время/ритм,парадокс Рассела,континуальные,Типичный пример
7,исчерпывать последовательность счетное,Да,тело/материя,аксиома выбора,индивидуальные,Уникальный
8,исчерпывать последовательность несчётное,Нет,содержание,теорема Кантора,коллективные,Аналоги в других парадоксах
9,исчерпывать последовательность континуальное,Условно,технология/инфраструктура,трансфинитное индуктивное,эндогенные,Типичный пример
10,исчерпывать последовательность фрактальное,Да,пространство,кардинальное сравнение,экзогенные,Уникальный
11,исчерпывать ряд бесконечное,Нет,символы,парадокс Гильберта,институциональные,Аналоги в других парадоксах
12,исчерпывать ряд счетное,Условно,содержание,парадокс Рассела,неформальные,Типичный пример
13,исчерпывать ряд несчётное,Да,нормы,аксиома выбора,цикличные,Уникальный
14,исчерпывать ряд континуальное,Нет,поведение,теорема Кантора,каскадные,Аналоги в других парадоксах
15,исчерпывать ряд фрактальное,Условно,институты,трансфинитное индуктивное,явные,Типичный пример
16,исчерпывать коллекция бесконечное,Да,пространство,кардинальное сравнение,латентные,Уникальный
17,исчерпывать коллекция счетное,Нет,функция,парадокс Гильберта,необходимые,Аналоги в других парадоксах
18,исчерпывать коллекция несчётное,Условно,структура,парадокс Рассела,возможные,Типичный пример
19,исчерпывать коллекция континуальное,Да,состояние,аксиома выбора,мгновенные,Уникальный
20,исчерпывать коллекция фрактальное,Нет,технология/инфраструктура,теорема Кантора,постепенные,Аналоги в других парадоксах
21,исчерпывать гостиница бесконечное,Условно,время/ритм,трансфинитное индуктивное,дискретные,Типичный пример
22,исчерпывать гостиница счетное,Да,нормы,кардинальное сравнение,континуальные,Уникальный
23,исчерпывать гостиница несчётное,Нет,символы,парадокс Гильберта,индивидуальные,Аналоги в других парадоксах
24,исчерпывать гостиница континуальное,Условно,нормы,парадокс Рассела,коллективные,Типичный пример
25,исчерпывать гостиница фрактальное,Да,время/ритм,аксиома выбора,эндогенные,Уникальный
26,исчерпывать континуум бесконечное,Нет,экономика/обмен,теорема Кантора,экзогенные,Аналоги в других парадоксах
27,исчерпывать континуум счетное,Условно,технология/инфраструктура,трансфинитное индуктивное,институциональные,Типичный пример
28,исчерпывать континуум несчётное,Да,отношения,кардинальное сравнение,неформальные,Уникальный
29,исчерпывать континуум континуальное,Нет,содержание,парадокс Гильберта,цикличные,Аналоги в других парадоксах
30,исчерпывать континуум фрактальное,Условно,институты,парадокс Рассела,каскадные,Типичный пример
31,пересчитывать множество бесконечное,Да,поведение,аксиома выбора,явные,Уникальный
32,пересчитывать множество счетное,Нет,пространство,теорема Кантора,латентные,Аналоги в других парадоксах
33,пересчитывать множество несчётное,Условно,время/ритм,трансфинитное индуктивное,необходимые,Типичный пример
34,пересчитывать множество континуальное,Да,дискурс,кардинальное сравнение,возможные,Уникальный
35,пересчитывать множество фрактальное,Нет,символы,парадокс Гильберта,мгновенные,Аналоги в других парадоксах
36,пересчитывать последовательность бесконечное,Условно,экономика/обмен,парадокс Рассела,постепенные,Типичный пример
37,пересчитывать последовательность счетное,Да,отношения,аксиома выбора,дискретные,Уникальный
38,пересчитывать последовательность несчётное,Нет,время/ритм,теорема Кантора,континуальные,Аналоги в других парадоксах
39,пересчитывать последовательность континуальное,Условно,поведение,трансфинитное индуктивное,индивидуальные,Типичный пример
40,пересчитывать последовательность фрактальное,Да,технология/инфраструктура,кардинальное сравнение,коллективные,Уникальный
