№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,воспринимать образ амбивалентная,Да,идентичность/границы,гештальт-принцип,необходимые,Уникальный
2,воспринимать образ иллюзорная,Нет,дискурс,принцип многозначности,возможные,Аналоги в других парадоксах
3,воспринимать образ двусмысленная,Условно,институты,когнитивная двустабильность,мгновенные,Типичный пример
4,воспринимать образ динамичная,Да,содержание,нейронная адаптация,постепенные,Уникальный
5,воспринимать образ многостабильная,Нет,тело/материя,эффект первенства,дискретные,Аналоги в других парадоксах
6,воспринимать сигнал амбивалентная,Условно,тело/материя,закон восприятия формы,континуальные,Типичный пример
7,воспринимать сигнал иллюзорная,Да,технология/инфраструктура,гештальт-принцип,индивидуальные,Уникальный
8,воспринимать сигнал двусмысленная,Нет,символы,принцип многозначности,коллективные,Аналоги в других парадоксах
9,воспринимать сигнал динамичная,Условно,время/ритм,когнитивная двустабильность,эндогенные,Типичный пример
10,воспринимать сигнал многостабильная,Да,экономика/обмен,нейронная адаптация,экзогенные,Уникальный
11,воспринимать форма амбивалентная,Нет,отношения,эффект первенства,институциональные,Аналоги в других парадоксах
12,воспринимать форма иллюзорная,Условно,экономика/обмен,закон восприятия формы,неформальные,Типичный пример
13,воспринимать форма двусмысленная,Да,отношения,гештальт-принцип,цикличные,Уникальный
14,воспринимать форма динамичная,Нет,поведение,принцип многозначности,каскадные,Аналоги в других парадоксах
15,воспринимать форма многостабильная,Условно,нормы,когнитивная двустабильность,явные,Типичный пример
16,воспринимать модель амбивалентная,Да,содержание,нейронная адаптация,латентные,Уникальный
17,воспринимать модель иллюзорная,Нет,функция,эффект первенства,необходимые,Аналоги в других парадоксах
18,воспринимать модель двусмысленная,Условно,состояние,закон восприятия формы,возможные,Типичный пример
19,воспринимать модель динамичная,Да,пространство,гештальт-принцип,мгновенные,Уникальный
20,воспринимать модель многостабильная,Нет,значения,принцип многозначности,постепенные,Аналоги в других парадоксах
21,воспринимать иллюзия амбивалентная,Условно,поведение,когнитивная двустабильность,дискретные,Типичный пример
22,воспринимать иллюзия иллюзорная,Да,тело/материя,нейронная адаптация,континуальные,Уникальный
23,воспринимать иллюзия двусмысленная,Нет,экономика/обмен,эффект первенства,индивидуальные,Аналоги в других парадоксах
24,воспринимать иллюзия динамичная,Условно,институты,закон восприятия формы,коллективные,Типичный пример
25,воспринимать иллюзия многостабильная,Да,поведение,гештальт-принцип,эндогенные,Уникальный
26,переосмысливать образ амбивалентная,Нет,структура,принцип многозначности,экзогенные,Аналоги в других парадоксах
27,переосмысливать образ иллюзорная,Условно,структура,когнитивная двустабильность,институциональные,Типичный пример
28,переосмысливать образ двусмысленная,Да,состояние,нейронная адаптация,неформальные,Уникальный
29,переосмысливать образ динамичная,Нет,структура,эффект первенства,цикличные,Аналоги в других парадоксах
30,переосмысливать образ многостабильная,Условно,функция,закон восприятия формы,каскадные,Типичный пример
31,переосмысливать сигнал амбивалентная,Да,отношения,гештальт-принцип,явные,Уникальный
32,переосмысливать сигнал иллюзорная,Нет,символы,принцип многозначности,латентные,Аналоги в других парадоксах
33,переосмысливать сигнал двусмысленная,Условно,значения,когнитивная двустабильность,необходимые,Типичный пример
34,переосмысливать сигнал динамичная,Да,память/наследие,нейронная адаптация,возможные,Уникальный
35,переосмысливать сигнал многостабильная,Нет,память/наследие,эффект первенства,мгновенные,Аналоги в других парадоксах
36,переосмысливать форма амбивалентная,Условно,поведение,закон восприятия формы,постепенные,Типичный пример
37,переосмысливать форма иллюзорная,Да,время/ритм,гештальт-принцип,дискретные,Уникальный
