№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,путешествовать линия обратное,Да,институты,причинно-следственный принцип,необходимые,Уникальный
2,путешествовать линия будущее,Нет,институты,двойственность времени,возможные,Аналоги в других парадоксах
3,путешествовать линия прошлое,Условно,функция,парадокс дедушки,мгновенные,Типичный пример
4,путешествовать линия циклическое,Да,состояние,специальная теория относительности,постепенные,Уникальный
5,путешествовать линия замкнутое,Нет,значения,многомировая интерпретация,дискретные,Аналоги в других парадоксах
6,путешествовать событие обратное,Условно,память/наследие,стрела времени,континуальные,Типичный пример
7,путешествовать событие будущее,Да,экономика/обмен,причинно-следственный принцип,индивидуальные,Уникальный
8,путешествовать событие прошлое,Нет,структура,двойственность времени,коллективные,Аналоги в других парадоксах
9,путешествовать событие циклическое,Условно,отношения,парадокс дедушки,эндогенные,Типичный пример
10,путешествовать событие замкнутое,Да,отношения,специальная теория относительности,экзогенные,Уникальный
11,путешествовать история обратное,Нет,экономика/обмен,многомировая интерпретация,институциональные,Аналоги в других парадоксах
12,путешествовать история будущее,Условно,пространство,стрела времени,неформальные,Типичный пример
13,путешествовать история прошлое,Да,память/наследие,причинно-следственный принцип,цикличные,Уникальный
14,путешествовать история циклическое,Нет,отношения,двойственность времени,каскадные,Аналоги в других парадоксах
15,путешествовать история замкнутое,Условно,содержание,парадокс дедушки,явные,Типичный пример
16,путешествовать петля обратное,Да,значения,специальная теория относительности,латентные,Уникальный
17,путешествовать петля будущее,Нет,время/ритм,многомировая интерпретация,необходимые,Аналоги в других парадоксах
18,путешествовать петля прошлое,Условно,поведение,стрела времени,возможные,Типичный пример
19,путешествовать петля циклическое,Да,идентичность/границы,причинно-следственный принцип,мгновенные,Уникальный
20,путешествовать петля замкнутое,Нет,память/наследие,двойственность времени,постепенные,Аналоги в других парадоксах
21,путешествовать вселенная обратное,Условно,символы,парадокс дедушки,дискретные,Типичный пример
22,путешествовать вселенная будущее,Да,идентичность/границы,специальная теория относительности,континуальные,Уникальный
23,путешествовать вселенная прошлое,Нет,пространство,многомировая интерпретация,индивидуальные,Аналоги в других парадоксах
24,путешествовать вселенная циклическое,Условно,нормы,стрела времени,коллективные,Типичный пример
25,путешествовать вселенная замкнутое,Да,время/ритм,причинно-следственный принцип,эндогенные,Уникальный
26,изменять линия обратное,Нет,тело/материя,двойственность времени,экзогенные,Аналоги в других парадоксах
27,изменять линия будущее,Условно,тело/материя,парадокс дедушки,институциональные,Типичный пример
28,изменять линия прошлое,Да,тело/материя,специальная теория относительности,неформальные,Уникальный
29,изменять линия циклическое,Нет,идентичность/границы,многомировая интерпретация,цикличные,Аналоги в других парадоксах
30,изменять линия замкнутое,Условно,тело/материя,стрела времени,каскадные,Типичный пример
31,изменять событие обратное,Да,состояние,причинно-следственный принцип,явные,Уникальный
32,изменять событие будущее,Нет,содержание,двойственность времени,латентные,Аналоги в других парадоксах
33,изменять событие прошлое,Условно,нормы,парадокс дедушки,необходимые,Типичный пример
34,изменять событие циклическое,Да,отношения,специальная теория относительности,возможные,Уникальный
35,изменять событие замкнутое,Нет,значения,многомировая интерпретация,мгновенные,Аналоги в других парадоксах
36,изменять история обратное,Условно,дискурс,стрела времени,постепенные,Типичный пример
37,изменять история будущее,Да,время/ритм,причинно-следственный принцип,дискретные,Уникальный
38,изменять история прошлое,Нет,пространство,двойственность времени,континуальные,Аналоги в других парадоксах
39,изменять история циклическое,Условно,время/ритм,парадокс дедушки,индивидуальные,Типичный пример
40,изменять история замкнутое,Да,нормы,специальная теория относительности,коллективные,Уникальный
41,изменять петля обратное,Нет,функция,многомировая интерпретация,эндогенные,Аналоги в других парадоксах
42,изменять петля будущее,Условно,структура,стрела времени,экзогенные,Типичный пример
43,изменять петля прошлое,Да,экономика/обмен,причинно-следственный принцип,институциональные,Уникальный
