№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,выбирать опция неотличимая,Да,время/ритм,парадокс ослика Буридана,необходимые,Уникальный
2,выбирать опция равноценная,Нет,пространство,принцип изобилия,возможные,Аналоги в других парадоксах
3,выбирать опция многочисленная,Условно,символы,вероятностный расчёт,мгновенные,Типичный пример
4,выбирать опция случайная,Да,функция,эффект перегрузки выбором,постепенные,Уникальный
5,выбирать опция избыточная,Нет,время/ритм,игровая теория,дискретные,Аналоги в других парадоксах
6,выбирать опция оптимальная,Условно,пространство,баесовский подход,континуальные,Типичный пример
7,выбирать решение неотличимая,Да,время/ритм,парадокс ослика Буридана,индивидуальные,Уникальный
8,выбирать решение равноценная,Нет,идентичность/границы,принцип изобилия,коллективные,Аналоги в других парадоксах
9,выбирать решение многочисленная,Условно,структура,вероятностный расчёт,эндогенные,Типичный пример
10,выбирать решение случайная,Да,функция,эффект перегрузки выбором,экзогенные,Уникальный
11,выбирать решение избыточная,Нет,структура,игровая теория,институциональные,Аналоги в других парадоксах
12,выбирать решение оптимальная,Условно,дискурс,баесовский подход,неформальные,Типичный пример
13,выбирать вариант неотличимая,Да,пространство,парадокс ослика Буридана,цикличные,Уникальный
14,выбирать вариант равноценная,Нет,структура,принцип изобилия,каскадные,Аналоги в других парадоксах
15,выбирать вариант многочисленная,Условно,структура,вероятностный расчёт,явные,Типичный пример
16,выбирать вариант случайная,Да,технология/инфраструктура,эффект перегрузки выбором,латентные,Уникальный
17,выбирать вариант избыточная,Нет,структура,игровая теория,необходимые,Аналоги в других парадоксах
18,выбирать вариант оптимальная,Условно,время/ритм,баесовский подход,возможные,Типичный пример
19,выбирать альтернатива неотличимая,Да,отношения,парадокс ослика Буридана,мгновенные,Уникальный
20,выбирать альтернатива равноценная,Нет,содержание,принцип изобилия,постепенные,Аналоги в других парадоксах
21,выбирать альтернатива многочисленная,Условно,содержание,вероятностный расчёт,дискретные,Типичный пример
22,выбирать альтернатива случайная,Да,идентичность/границы,эффект перегрузки выбором,континуальные,Уникальный
23,выбирать альтернатива избыточная,Нет,дискурс,игровая теория,индивидуальные,Аналоги в других парадоксах
24,выбирать альтернатива оптимальная,Условно,дискурс,баесовский подход,коллективные,Типичный пример
25,выбирать позиция неотличимая,Да,институты,парадокс ослика Буридана,эндогенные,Уникальный
26,выбирать позиция равноценная,Нет,тело/материя,принцип изобилия,экзогенные,Аналоги в других парадоксах
27,выбирать позиция многочисленная,Условно,функция,вероятностный расчёт,институциональные,Типичный пример
28,выбирать позиция случайная,Да,значения,эффект перегрузки выбором,неформальные,Уникальный
29,выбирать позиция избыточная,Нет,символы,игровая теория,цикличные,Аналоги в других парадоксах
30,выбирать позиция оптимальная,Условно,время/ритм,баесовский подход,каскадные,Типичный пример
31,сомневаться опция неотличимая,Да,экономика/обмен,парадокс ослика Буридана,явные,Уникальный
32,сомневаться опция равноценная,Нет,технология/инфраструктура,принцип изобилия,латентные,Аналоги в других парадоксах
33,сомневаться опция многочисленная,Условно,время/ритм,вероятностный расчёт,необходимые,Типичный пример
34,сомневаться опция случайная,Да,экономика/обмен,эффект перегрузки выбором,возможные,Уникальный
35,сомневаться опция избыточная,Нет,дискурс,игровая теория,мгновенные,Аналоги в других парадоксах
36,сомневаться опция оптимальная,Условно,идентичность/границы,баесовский подход,постепенные,Типичный пример
37,сомневаться решение неотличимая,Да,значения,парадокс ослика Буридана,дискретные,Уникальный
38,сомневаться решение равноценная,Нет,значения,принцип изобилия,континуальные,Аналоги в других парадоксах
39,сомневаться решение многочисленная,Условно,технология/инфраструктура,вероятностный расчёт,индивидуальные,Типичный пример
40,сомневаться решение случайная,Да,отношения,эффект перегрузки выбором,коллективные,Уникальный
41,сомневаться решение избыточная,Нет,технология/инфраструктура,игровая теория,эндогенные,Аналоги в других парадоксах
42,сомневаться решение оптимальная,Условно,отношения,баесовский подход,экзогенные,Типичный пример
43,сомневаться вариант неотличимая,Да,институты,парадокс ослика Буридана,институциональные,Уникальный
44,сомневаться вариант равноценная,Нет,институты,принцип изобилия,неформальные,Аналоги в других парадоксах
45,сомневаться вариант многочисленная,Условно,пространство,вероятностный расчёт,цикличные,Типичный пример
46,сомневаться вариант случайная,Да,символы,эффект перегрузки выбором,каскадные,Уникальный
47,сомневаться вариант избыточная,Нет,идентичность/границы,игровая теория,явные,Аналоги в других парадоксах
48,сомневаться вариант оптимальная,Условно,тело/материя,баесовский подход,латентные,Типичный пример
49,сомневаться альтернатива неотличимая,Да,технология/инфраструктура,парадокс ослика Буридана,необходимые,Уникальный
50,сомневаться альтернатива равноценная,Нет,состояние,принцип изобилия,возможные,Аналоги в других парадоксах
51,сомневаться альтернатива многочисленная,Условно,тело/материя,вероятностный расчёт,мгновенные,Типичный пример
52,сомневаться альтернатива случайная,Да,технология/инфраструктура,эффект перегрузки выбором,постепенные,Уникальный
53,сомневаться альтернатива избыточная,Нет,поведение,игровая теория,дискретные,Аналоги в других парадоксах
54,сомневаться альтернатива оптимальная,Условно,институты,баесовский подход,континуальные,Типичный пример
55,сомневаться позиция неотличимая,Да,отношения,парадокс ослика Буридана,индивидуальные,Уникальный
56,сомневаться позиция равноценная,Нет,символы,принцип изобилия,коллективные,Аналоги в других парадоксах
57,сомневаться позиция многочисленная,Условно,состояние,вероятностный расчёт,эндогенные,Типичный пример
58,сомневаться позиция случайная,Да,время/ритм,эффект перегрузки выбором,экзогенные,Уникальный
59,сомневаться позиция избыточная,Нет,тело/материя,игровая теория,институциональные,Аналоги в других парадоксах
60,сомневаться позиция оптимальная,Условно,время/ритм,баесовский подход,неформальные,Типичный пример
61,анализировать опция неотличимая,Да,значения,парадокс ослика Буридана,цикличные,Уникальный
62,анализировать опция равноценная,Нет,функция,принцип изобилия,каскадные,Аналоги в других парадоксах
63,анализировать опция многочисленная,Условно,нормы,вероятностный расчёт,явные,Типичный пример
64,анализировать опция случайная,Да,тело/материя,эффект перегрузки выбором,латентные,Уникальный
65,анализировать опция избыточная,Нет,память/наследие,игровая теория,необходимые,Аналоги в других парадоксах
66,анализировать опция оптимальная,Условно,тело/материя,баесовский подход,возможные,Типичный пример
67,анализировать решение неотличимая,Да,состояние,парадокс ослика Буридана,мгновенные,Уникальный
68,анализировать решение равноценная,Нет,идентичность/границы,принцип изобилия,постепенные,Аналоги в других парадоксах
69,анализировать решение многочисленная,Условно,символы,вероятностный расчёт,дискретные,Типичный пример
70,анализировать решение случайная,Да,структура,эффект перегрузки выбором,континуальные,Уникальный
71,анализировать решение избыточная,Нет,пространство,игровая теория,индивидуальные,Аналоги в других парадоксах
72,анализировать решение оптимальная,Условно,дискурс,баесовский подход,коллективные,Типичный пример
73,анализировать вариант неотличимая,Да,функция,парадокс ослика Буридана,эндогенные,Уникальный
74,анализировать вариант равноценная,Нет,тело/материя,принцип изобилия,экзогенные,Аналоги в других парадоксах
75,анализировать вариант многочисленная,Условно,экономика/обмен,вероятностный расчёт,институциональные,Типичный пример
76,анализировать вариант случайная,Да,технология/инфраструктура,эффект перегрузки выбором,неформальные,Уникальный
77,анализировать вариант избыточная,Нет,пространство,игровая теория,цикличные,Аналоги в других парадоксах
78,анализировать вариант оптимальная,Условно,состояние,баесовский подход,каскадные,Типичный пример
79,анализировать альтернатива неотличимая,Да,значения,парадокс ослика Буридана,явные,Уникальный
80,анализировать альтернатива равноценная,Нет,время/ритм,принцип изобилия,латентные,Аналоги в других парадоксах
81,анализировать альтернатива многочисленная,Условно,отношения,вероятностный расчёт,необходимые,Типичный пример
82,анализировать альтернатива случайная,Да,нормы,эффект перегрузки выбором,возможные,Уникальный
83,анализировать альтернатива избыточная,Нет,символы,игровая теория,мгновенные,Аналоги в других парадоксах
84,анализировать альтернатива оптимальная,Условно,пространство,баесовский подход,постепенные,Типичный пример
85,анализировать позиция неотличимая,Да,отношения,парадокс ослика Буридана,дискретные,Уникальный
86,анализировать позиция равноценная,Нет,нормы,принцип изобилия,континуальные,Аналоги в других парадоксах
87,анализировать позиция многочисленная,Условно,институты,вероятностный расчёт,индивидуальные,Типичный пример
88,анализировать позиция случайная,Да,содержание,эффект перегрузки выбором,коллективные,Уникальный
89,анализировать позиция избыточная,Нет,тело/материя,игровая теория,эндогенные,Аналоги в других парадоксах
90,анализировать позиция оптимальная,Условно,значения,баесовский подход,экзогенные,Типичный пример
91,приоритизировать опция неотличимая,Да,содержание,парадокс ослика Буридана,институциональные,Уникальный
92,приоритизировать опция равноценная,Нет,институты,принцип изобилия,неформальные,Аналоги в других парадоксах
93,приоритизировать опция многочисленная,Условно,тело/материя,вероятностный расчёт,цикличные,Типичный пример
94,приоритизировать опция случайная,Да,институты,эффект перегрузки выбором,каскадные,Уникальный
95,приоритизировать опция избыточная,Нет,символы,игровая теория,явные,Аналоги в других парадоксах
96,приоритизировать опция оптимальная,Условно,нормы,баесовский подход,латентные,Типичный пример
97,приоритизировать решение неотличимая,Да,нормы,парадокс ослика Буридана,необходимые,Уникальный
98,приоритизировать решение равноценная,Нет,состояние,принцип изобилия,возможные,Аналоги в других парадоксах
99,приоритизировать решение многочисленная,Условно,нормы,вероятностный расчёт,мгновенные,Типичный пример
100,приоритизировать решение случайная,Да,функция,эффект перегрузки выбором,постепенные,Уникальный
101,приоритизировать решение избыточная,Нет,идентичность/границы,игровая теория,дискретные,Аналоги в других парадоксах
102,приоритизировать решение оптимальная,Условно,состояние,баесовский подход,континуальные,Типичный пример
103,приоритизировать вариант неотличимая,Да,идентичность/границы,парадокс ослика Буридана,индивидуальные,Уникальный
104,приоритизировать вариант равноценная,Нет,значения,принцип изобилия,коллективные,Аналоги в других парадоксах
105,приоритизировать вариант многочисленная,Условно,нормы,вероятностный расчёт,эндогенные,Типичный пример
106,приоритизировать вариант случайная,Да,дискурс,эффект перегрузки выбором,экзогенные,Уникальный
107,приоритизировать вариант избыточная,Нет,значения,игровая теория,институциональные,Аналоги в других парадоксах
108,приоритизировать вариант оптимальная,Условно,тело/материя,баесовский подход,неформальные,Типичный пример
109,приоритизировать альтернатива неотличимая,Да,память/наследие,парадокс ослика Буридана,цикличные,Уникальный
110,приоритизировать альтернатива равноценная,Нет,тело/материя,принцип изобилия,каскадные,Аналоги в других парадоксах
111,приоритизировать альтернатива многочисленная,Условно,структура,вероятностный расчёт,явные,Типичный пример
112,приоритизировать альтернатива случайная,Да,дискурс,эффект перегрузки выбором,латентные,Уникальный
113,приоритизировать альтернатива избыточная,Нет,содержание,игровая теория,необходимые,Аналоги в других парадоксах
114,приоритизировать альтернатива оптимальная,Условно,дискурс,баесовский подход,возможные,Типичный пример
115,приоритизировать позиция неотличимая,Да,функция,парадокс ослика Буридана,мгновенные,Уникальный
116,приоритизировать позиция равноценная,Нет,нормы,принцип изобилия,постепенные,Аналоги в других парадоксах
117,приоритизировать позиция многочисленная,Условно,содержание,вероятностный расчёт,дискретные,Типичный пример
118,приоритизировать позиция случайная,Да,технология/инфраструктура,эффект перегрузки выбором,континуальные,Уникальный
119,приоритизировать позиция избыточная,Нет,дискурс,игровая теория,индивидуальные,Аналоги в других парадоксах
120,приоритизировать позиция оптимальная,Условно,идентичность/границы,баесовский подход,коллективные,Типичный пример
121,ограничивать опция неотличимая,Да,поведение,парадокс ослика Буридана,эндогенные,Уникальный
122,ограничивать опция равноценная,Нет,поведение,принцип изобилия,экзогенные,Аналоги в других парадоксах
123,ограничивать опция многочисленная,Условно,память/наследие,вероятностный расчёт,институциональные,Типичный пример
124,ограничивать опция случайная,Да,экономика/обмен,эффект перегрузки выбором,неформальные,Уникальный
125,ограничивать опция избыточная,Нет,состояние,игровая теория,цикличные,Аналоги в других парадоксах
126,ограничивать опция оптимальная,Условно,структура,баесовский подход,каскадные,Типичный пример
127,ограничивать решение неотличимая,Да,дискурс,парадокс ослика Буридана,явные,Уникальный
128,ограничивать решение равноценная,Нет,символы,принцип изобилия,латентные,Аналоги в других парадоксах
