№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,кооперировать игра взаимное,Да,институты,парадокс терпимости,необходимые,Уникальный
2,кооперировать игра эгоистическое,Нет,идентичность/границы,дилемма заключённого,возможные,Аналоги в других парадоксах
3,кооперировать игра альтруистическое,Условно,институты,социальный контракт,мгновенные,Типичный пример
4,кооперировать игра толерантное,Да,структура,игровое равновесие,постепенные,Уникальный
5,кооперировать игра интуитивное,Нет,содержание,правило взаимности,дискретные,Аналоги в других парадоксах
6,кооперировать игра политическое,Условно,технология/инфраструктура,коллективное благо,континуальные,Типичный пример
7,кооперировать норма взаимное,Да,экономика/обмен,парадокс терпимости,индивидуальные,Уникальный
8,кооперировать норма эгоистическое,Нет,значения,дилемма заключённого,коллективные,Аналоги в других парадоксах
9,кооперировать норма альтруистическое,Условно,функция,социальный контракт,эндогенные,Типичный пример
10,кооперировать норма толерантное,Да,состояние,игровое равновесие,экзогенные,Уникальный
11,кооперировать норма интуитивное,Нет,содержание,правило взаимности,институциональные,Аналоги в других парадоксах
12,кооперировать норма политическое,Условно,значения,коллективное благо,неформальные,Типичный пример
13,кооперировать стратегия взаимное,Да,память/наследие,парадокс терпимости,цикличные,Уникальный
14,кооперировать стратегия эгоистическое,Нет,содержание,дилемма заключённого,каскадные,Аналоги в других парадоксах
15,кооперировать стратегия альтруистическое,Условно,институты,социальный контракт,явные,Типичный пример
16,кооперировать стратегия толерантное,Да,нормы,игровое равновесие,латентные,Уникальный
17,кооперировать стратегия интуитивное,Нет,состояние,правило взаимности,необходимые,Аналоги в других парадоксах
18,кооперировать стратегия политическое,Условно,структура,коллективное благо,возможные,Типичный пример
19,кооперировать прагматика взаимное,Да,символы,парадокс терпимости,мгновенные,Уникальный
20,кооперировать прагматика эгоистическое,Нет,пространство,дилемма заключённого,постепенные,Аналоги в других парадоксах
21,кооперировать прагматика альтруистическое,Условно,значения,социальный контракт,дискретные,Типичный пример
22,кооперировать прагматика толерантное,Да,экономика/обмен,игровое равновесие,континуальные,Уникальный
23,кооперировать прагматика интуитивное,Нет,время/ритм,правило взаимности,индивидуальные,Аналоги в других парадоксах
24,кооперировать прагматика политическое,Условно,память/наследие,коллективное благо,коллективные,Типичный пример
25,кооперировать поведение взаимное,Да,содержание,парадокс терпимости,эндогенные,Уникальный
26,кооперировать поведение эгоистическое,Нет,значения,дилемма заключённого,экзогенные,Аналоги в других парадоксах
27,кооперировать поведение альтруистическое,Условно,поведение,социальный контракт,институциональные,Типичный пример
28,кооперировать поведение толерантное,Да,экономика/обмен,игровое равновесие,неформальные,Уникальный
29,кооперировать поведение интуитивное,Нет,содержание,правило взаимности,цикличные,Аналоги в других парадоксах
30,кооперировать поведение политическое,Условно,технология/инфраструктура,коллективное благо,каскадные,Типичный пример
31,дефектировать игра взаимное,Да,символы,парадокс терпимости,явные,Уникальный
32,дефектировать игра эгоистическое,Нет,функция,дилемма заключённого,латентные,Аналоги в других парадоксах
33,дефектировать игра альтруистическое,Условно,нормы,социальный контракт,необходимые,Типичный пример
34,дефектировать игра толерантное,Да,время/ритм,игровое равновесие,возможные,Уникальный
35,дефектировать игра интуитивное,Нет,тело/материя,правило взаимности,мгновенные,Аналоги в других парадоксах
36,дефектировать игра политическое,Условно,нормы,коллективное благо,постепенные,Типичный пример
37,дефектировать норма взаимное,Да,экономика/обмен,парадокс терпимости,дискретные,Уникальный
38,дефектировать норма эгоистическое,Нет,дискурс,дилемма заключённого,континуальные,Аналоги в других парадоксах
39,дефектировать норма альтруистическое,Условно,поведение,социальный контракт,индивидуальные,Типичный пример
40,дефектировать норма толерантное,Да,значения,игровое равновесие,коллективные,Уникальный
41,дефектировать норма интуитивное,Нет,функция,правило взаимности,эндогенные,Аналоги в других парадоксах
42,дефектировать норма политическое,Условно,тело/материя,коллективное благо,экзогенные,Типичный пример
43,дефектировать стратегия взаимное,Да,структура,парадокс терпимости,институциональные,Уникальный
44,дефектировать стратегия эгоистическое,Нет,содержание,дилемма заключённого,неформальные,Аналоги в других парадоксах
45,дефектировать стратегия альтруистическое,Условно,время/ритм,социальный контракт,цикличные,Типичный пример
46,дефектировать стратегия толерантное,Да,содержание,игровое равновесие,каскадные,Уникальный
47,дефектировать стратегия интуитивное,Нет,тело/материя,правило взаимности,явные,Аналоги в других парадоксах
48,дефектировать стратегия политическое,Условно,поведение,коллективное благо,латентные,Типичный пример
49,дефектировать прагматика взаимное,Да,память/наследие,парадокс терпимости,необходимые,Уникальный
50,дефектировать прагматика эгоистическое,Нет,экономика/обмен,дилемма заключённого,возможные,Аналоги в других парадоксах
51,дефектировать прагматика альтруистическое,Условно,время/ритм,социальный контракт,мгновенные,Типичный пример
52,дефектировать прагматика толерантное,Да,отношения,игровое равновесие,постепенные,Уникальный
53,дефектировать прагматика интуитивное,Нет,функция,правило взаимности,дискретные,Аналоги в других парадоксах
54,дефектировать прагматика политическое,Условно,состояние,коллективное благо,континуальные,Типичный пример
