№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация агентов,Нет,поведение,закон сохранения энергии,циклические/каскадные,Уникально
2,Определение правил поведения,Условно,поведение,принцип избыточности,явные/латентные,Уникально
3,Установление сети взаимодействий,Да,поведение,принцип информационной энтропии,необходимые/возможные,Уникально
4,Определение среды,Нет,поведение,принцип минимальной сложности,мгновенные/постепенные,Уникально
5,Определение энергии/ресурсов,Условно,поведение,принцип оптимизации,дискретные/континуальные,Уникально
6,Моделирование адаптации,Да,поведение,принцип цикличности,индивидуальные/коллективные,Уникально
7,Моделирование отбора,Нет,поведение,принцип управляемости,эндогенные/экзогенные,Уникально
8,Моделирование мутации,Условно,поведение,эвристика экспертного суждения,институциональные/неформальные,Уникально
9,Моделирование воспроизводства,Да,поведение,эвристика как сверху так и снизу,циклические/каскадные,Уникально
10,Инициализация популяции,Нет,поведение,принцип разнообразия,явные/латентные,Уникально
11,Агенто‑ориентированное моделирование,Условно,поведение,принцип связи всего со всем,необходимые/возможные,Уникально
12,Итерация временных шагов,Да,поведение,принцип устойчивости,мгновенные/постепенные,Уникально
13,Введение случайности,Нет,поведение,принцип соответствия,дискретные/континуальные,Уникально
14,Измерение приспособленности,Условно,поведение,принцип междисциплинарности,индивидуальные/коллективные,Уникально
15,Отбор лучших агентов,Да,поведение,принцип обратного влияния,эндогенные/экзогенные,Уникально
16,Соединение агентов,Нет,поведение,принцип адаптивных циклов,институциональные/неформальные,Уникально
17,Распад соединений,Условно,поведение,принцип резонанса,циклические/каскадные,Уникально
18,Переключение стратегий,Да,поведение,принцип целостности,явные/латентные,Уникально
19,Обмен информацией,Нет,поведение,принцип обратной связи,необходимые/возможные,Уникально
20,Обмен ресурсами,Условно,поведение,принцип самоорганизации,мгновенные/постепенные,Уникально
21,Измерение диверсификации,Да,поведение,принцип гомеостаза,дискретные/континуальные,Уникально
22,Измерение кооперации,Нет,поведение,принцип эквифинальности,индивидуальные/коллективные,Уникально
23,Измерение конкуренции,Условно,поведение,принцип адаптации,эндогенные/экзогенные,Уникально
24,Измерение устойчивости,Да,поведение,закон сохранения энергии,институциональные/неформальные,Уникально
25,Выявление аттракторов,Нет,поведение,принцип избыточности,циклические/каскадные,Уникально
26,Выявление фазовых переходов,Условно,поведение,принцип информационной энтропии,явные/латентные,Уникально
27,Измерение фрактальности,Да,поведение,принцип минимальной сложности,необходимые/возможные,Уникально
28,Анализ кластеризации,Нет,поведение,принцип оптимизации,мгновенные/постепенные,Уникально
29,Определение распределения степеней,Условно,поведение,принцип цикличности,дискретные/континуальные,Уникально
30,Установка топологии сети,Да,поведение,принцип управляемости,индивидуальные/коллективные,Уникально
31,Динамическая перенастройка сети,Нет,поведение,эвристика экспертного суждения,эндогенные/экзогенные,Уникально
32,Измерение масштабирования,Условно,поведение,эвристика как сверху так и снизу,институциональные/неформальные,Уникально
33,Управление границами системы,Да,поведение,принцип разнообразия,циклические/каскадные,Уникально
34,Введение внешних шоков,Нет,поведение,принцип связи всего со всем,явные/латентные,Уникально
35,Измерение эмерджентности,Условно,поведение,принцип устойчивости,необходимые/возможные,Уникально
36,Выявление самоорганизации,Да,поведение,принцип соответствия,мгновенные/постепенные,Уникально
37,Выявление локальных правил,Нет,поведение,принцип междисциплинарности,дискретные/континуальные,Уникально
38,Адаптация к изменениям среды,Условно,поведение,принцип обратного влияния,индивидуальные/коллективные,Уникально
39,Измерение гетерогенности,Да,поведение,принцип адаптивных циклов,эндогенные/экзогенные,Уникально
40,Измерение плотности связей,Нет,поведение,принцип резонанса,институциональные/неформальные,Уникально
41,Измерение результатов эволюции,Условно,поведение,принцип целостности,циклические/каскадные,Уникально
42,Визуализация сети агентов,Да,поведение,принцип обратной связи,явные/латентные,Уникально
43,Настройка параметров симуляции,Нет,поведение,принцип самоорганизации,необходимые/возможные,Уникально
44,Анализ чувствительности,Условно,поведение,принцип гомеостаза,мгновенные/постепенные,Уникально
45,Изучение критических порогов,Да,поведение,принцип эквифинальности,дискретные/континуальные,Уникально
46,Предсказание поведения макросистемы,Нет,поведение,принцип адаптации,индивидуальные/коллективные,Уникально
47,Синхронизация моделей,Условно,поведение,закон сохранения энергии,эндогенные/экзогенные,Уникально
48,Интеграция нескольких слоёв,Да,поведение,принцип избыточности,институциональные/неформальные,Уникально
49,Документация правил,Нет,поведение,принцип информационной энтропии,циклические/каскадные,Уникально
50,Обучение пользователей модели,Условно,поведение,принцип минимальной сложности,явные/латентные,Уникально
