№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение системы управления,Нет,поведение,принцип избыточности,мгновенные/постепенные,Уникально
2,Определение контроллера,Условно,поведение,принцип информационной энтропии,дискретные/континуальные,Уникально
3,Определение объекта управления,Да,поведение,принцип минимальной сложности,индивидуальные/коллективные,Уникально
4,Определение сенсора,Нет,поведение,принцип оптимизации,эндогенные/экзогенные,Уникально
5,Определение актуатора,Условно,поведение,принцип цикличности,институциональные/неформальные,Уникально
6,Проектирование канала связи,Да,поведение,принцип управляемости,циклические/каскадные,Уникально
7,Кодирование сигналов,Нет,поведение,эвристика экспертного суждения,явные/латентные,Уникально
8,Декодирование сигналов,Условно,поведение,эвристика как сверху так и снизу,необходимые/возможные,Уникально
9,Обнаружение ошибок,Да,поведение,принцип разнообразия,мгновенные/постепенные,Уникально
10,Коррекция ошибок,Нет,поведение,принцип связи всего со всем,дискретные/континуальные,Уникально
11,Анализ шума,Условно,поведение,принцип устойчивости,индивидуальные/коллективные,Уникально
12,Разработка обратной связи,Да,поведение,принцип соответствия,эндогенные/экзогенные,Уникально
13,Настройка коэффициента усиления,Нет,поведение,принцип междисциплинарности,институциональные/неформальные,Уникально
14,Формирование сигнала ошибки,Условно,поведение,принцип обратного влияния,циклические/каскадные,Уникально
15,Поддержание целевой величины,Да,поведение,принцип адаптивных циклов,явные/латентные,Уникально
16,Настройка PID‑контроллера,Нет,поведение,принцип резонанса,необходимые/возможные,Уникально
17,Разработка оптимального регулятора,Условно,поведение,принцип целостности,мгновенные/постепенные,Уникально
18,Разработка адаптивного регулятора,Да,поведение,принцип обратной связи,дискретные/континуальные,Уникально
19,Проектирование фильтра,Нет,поведение,принцип самоорганизации,индивидуальные/коллективные,Уникально
20,Реализация положительной обратной связи,Условно,поведение,принцип гомеостаза,эндогенные/экзогенные,Уникально
21,Реализация отрицательной обратной связи,Да,поведение,принцип эквифинальности,институциональные/неформальные,Уникально
22,Анализ устойчивости,Нет,поведение,принцип адаптации,циклические/каскадные,Уникально
23,Определение запаса устойчивости,Условно,поведение,закон сохранения энергии,явные/латентные,Уникально
24,Анализ запаздывания,Да,поведение,принцип избыточности,необходимые/возможные,Уникально
25,Импульсная коррекция,Нет,поведение,принцип информационной энтропии,мгновенные/постепенные,Уникально
26,Синтез цифрового контроллера,Условно,поведение,принцип минимальной сложности,дискретные/континуальные,Уникально
27,Анализ передаточной функции,Да,поведение,принцип оптимизации,индивидуальные/коллективные,Уникально
28,Диапазон частот,Нет,поведение,принцип цикличности,эндогенные/экзогенные,Уникально
29,Устранение колебаний,Условно,поведение,принцип управляемости,институциональные/неформальные,Уникально
30,Настройка саморегуляции,Да,поведение,эвристика экспертного суждения,циклические/каскадные,Уникально
31,Анализ рекурсивных процессов,Нет,поведение,эвристика как сверху так и снизу,явные/латентные,Уникально
32,Моделирование коммуникационных протоколов,Условно,поведение,принцип разнообразия,необходимые/возможные,Уникально
33,Анализ самоорганизации,Да,поведение,принцип связи всего со всем,мгновенные/постепенные,Уникально
34,Анализ способности к адаптации,Нет,поведение,принцип устойчивости,дискретные/континуальные,Уникально
35,Построение диаграмм состояния,Условно,поведение,принцип соответствия,индивидуальные/коллективные,Уникально
36,Обеспечение устойчивости при насыщении,Да,поведение,принцип междисциплинарности,эндогенные/экзогенные,Уникально
37,Настройка наблюдателя,Нет,поведение,принцип обратного влияния,институциональные/неформальные,Уникально
38,Интеграция человек-машина,Условно,поведение,принцип адаптивных циклов,циклические/каскадные,Уникально
39,Анализ информационной энтропии,Да,поведение,принцип резонанса,явные/латентные,Уникально
40,Разработка биологического регулятора,Нет,поведение,принцип целостности,необходимые/возможные,Уникально
41,Настройка роботов на обратную связь,Условно,поведение,принцип обратной связи,мгновенные/постепенные,Уникально
42,Настройка регулятора скорости,Да,поведение,принцип самоорганизации,дискретные/континуальные,Уникально
43,Настройка всплывающего управления,Нет,поведение,принцип гомеостаза,индивидуальные/коллективные,Уникально
44,Анализ синергии между подсистемами,Условно,поведение,принцип эквифинальности,эндогенные/экзогенные,Уникально
45,Разработка метаданных управления,Да,поведение,принцип адаптации,институциональные/неформальные,Уникально
