№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение системы,Да,структура,принцип целостности,необходимые/возможные,Уникально
2,Определение границы системы,Нет,структура,принцип обратной связи,мгновенные/постепенные,Уникально
3,Определение окружения системы,Условно,структура,принцип самоорганизации,дискретные/континуальные,Уникально
4,Классификация систем,Да,структура,принцип гомеостаза,индивидуальные/коллективные,Уникально
5,Определение компонентов,Нет,структура,принцип эквифинальности,эндогенные/экзогенные,Уникально
6,Определение взаимосвязей,Условно,структура,принцип адаптации,институциональные/неформальные,Уникально
7,Выявление обратных связей,Да,структура,закон сохранения энергии,циклические/каскадные,Уникально
8,Определение входов и выходов,Нет,структура,принцип избыточности,явные/латентные,Уникально
9,Определение цели системы,Условно,структура,принцип информационной энтропии,необходимые/возможные,Уникально
10,Выявление эмерджентных свойств,Да,структура,принцип минимальной сложности,мгновенные/постепенные,Уникально
11,Анализ синергии,Нет,структура,принцип оптимизации,дискретные/континуальные,Уникально
12,Анализ гомеостаза,Условно,структура,принцип цикличности,индивидуальные/коллективные,Уникально
13,Выявление адаптации,Да,структура,принцип управляемости,эндогенные/экзогенные,Уникально
14,Анализ эквифинальности,Нет,структура,эвристика экспертного суждения,институциональные/неформальные,Уникально
15,Анализ иерархии уровней,Условно,структура,эвристика как сверху так и снизу,циклические/каскадные,Уникально
16,Определение под-систем,Да,структура,принцип разнообразия,явные/латентные,Уникально
17,Определение влияния среды,Нет,структура,принцип связи всего со всем,необходимые/возможные,Уникально
18,Дифференциация динамических и статических систем,Условно,структура,принцип устойчивости,мгновенные/постепенные,Уникально
19,Распознавание активных и пассивных компонентов,Да,структура,принцип соответствия,дискретные/континуальные,Уникально
20,Выявление циклов,Нет,структура,принцип междисциплинарности,индивидуальные/коллективные,Уникально
21,Анализ потоков энергии,Условно,структура,принцип обратного влияния,эндогенные/экзогенные,Уникально
22,Анализ потоков вещества,Да,структура,принцип адаптивных циклов,институциональные/неформальные,Уникально
23,Анализ потоков информации,Нет,структура,принцип резонанса,циклические/каскадные,Уникально
24,Определение открытых и закрытых границ,Условно,структура,принцип целостности,явные/латентные,Уникально
25,Анализ временных масштабов,Да,структура,принцип обратной связи,необходимые/возможные,Уникально
26,Анализ масштабной инвариантности,Нет,структура,принцип самоорганизации,мгновенные/постепенные,Уникально
27,Распознавание самоорганизации,Условно,структура,принцип гомеостаза,дискретные/континуальные,Уникально
28,Выявление устойчивости,Да,структура,принцип эквифинальности,индивидуальные/коллективные,Уникально
29,Анализ саморегуляции,Нет,структура,принцип адаптации,эндогенные/экзогенные,Уникально
30,Анализ конфликтов/антогонизмов,Условно,структура,закон сохранения энергии,институциональные/неформальные,Уникально
31,Анализ структурного сопряжения,Да,структура,принцип избыточности,циклические/каскадные,Уникально
32,Анализ аналогий между системами,Нет,структура,принцип информационной энтропии,явные/латентные,Уникально
33,Выявление закономерностей,Условно,структура,принцип минимальной сложности,необходимые/возможные,Уникально
34,Моделирование в пространстве состояний,Да,структура,принцип оптимизации,мгновенные/постепенные,Уникально
35,Анализ избыточности и резервирования,Нет,структура,принцип цикличности,дискретные/континуальные,Уникально
36,Определение нелинейностей,Условно,структура,принцип управляемости,индивидуальные/коллективные,Уникально
37,Анализ причинно-следственных цепочек,Да,структура,эвристика экспертного суждения,эндогенные/экзогенные,Уникально
38,Определение сложности,Нет,структура,эвристика как сверху так и снизу,институциональные/неформальные,Уникально
39,Анализ стабильности/устойчивости,Условно,структура,принцип разнообразия,циклические/каскадные,Уникально
40,Определение ограничений,Да,структура,принцип связи всего со всем,явные/латентные,Уникально
41,Выявление «черных ящиков»,Нет,структура,принцип устойчивости,необходимые/возможные,Уникально
42,Декомпозиция систем,Условно,структура,принцип соответствия,мгновенные/постепенные,Уникально
43,Рекомпозиция систем,Да,структура,принцип междисциплинарности,дискретные/континуальные,Уникально
44,Визуализация системной структуры,Нет,структура,принцип обратного влияния,индивидуальные/коллективные,Уникально
45,Разработка универсальных принципов,Условно,структура,принцип адаптивных циклов,эндогенные/экзогенные,Уникально
