№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение контекста,Да,память/наследие,принцип информационной энтропии,явные/латентные,Уникально
2,Сбор рассказов участников,Нет,память/наследие,принцип минимальной сложности,необходимые/возможные,Уникально
3,Интервьюирование,Условно,память/наследие,принцип оптимизации,мгновенные/постепенные,Уникально
4,Проведение анкетирования,Да,память/наследие,принцип цикличности,дискретные/континуальные,Уникально
5,Визуальное картирование,Нет,память/наследие,принцип управляемости,индивидуальные/коллективные,Уникально
6,Выявление ключевых концепций,Условно,память/наследие,эвристика экспертного суждения,эндогенные/экзогенные,Уникально
7,Анализ причинно-следственных связей,Да,память/наследие,эвристика как сверху так и снизу,институциональные/неформальные,Уникально
8,Идентификация скрытых предпосылок,Нет,память/наследие,принцип разнообразия,циклические/каскадные,Уникально
9,Идентификация стереотипов,Условно,память/наследие,принцип связи всего со всем,явные/латентные,Уникально
10,Проверка соответствия реальности,Да,память/наследие,принцип устойчивости,необходимые/возможные,Уникально
11,Обсуждение выявленных моделей,Нет,память/наследие,принцип соответствия,мгновенные/постепенные,Уникально
12,Сравнение моделей разных участников,Условно,память/наследие,принцип междисциплинарности,дискретные/континуальные,Уникально
13,Обучение метапознанию,Да,память/наследие,принцип обратного влияния,индивидуальные/коллективные,Уникально
14,Переформулирование модели,Нет,память/наследие,принцип адаптивных циклов,эндогенные/экзогенные,Уникально
15,Тестирование новой модели,Условно,память/наследие,принцип резонанса,институциональные/неформальные,Уникально
16,Введение обратной связи,Да,память/наследие,принцип целостности,циклические/каскадные,Уникально
17,Документирование моделей,Нет,память/наследие,принцип обратной связи,явные/латентные,Уникально
18,Обновление моделей,Условно,память/наследие,принцип самоорганизации,необходимые/возможные,Уникально
19,Мониторинг изменения модели,Да,память/наследие,принцип гомеостаза,мгновенные/постепенные,Уникально
20,Поощрение двойного цикла обучения,Нет,память/наследие,принцип эквифинальности,дискретные/континуальные,Уникально
21,Создание коллективной модели,Условно,память/наследие,принцип адаптации,индивидуальные/коллективные,Уникально
22,Удаление устаревших моделей,Да,память/наследие,закон сохранения энергии,эндогенные/экзогенные,Уникально
23,Обучение концептуальному мышлению,Нет,память/наследие,принцип избыточности,институциональные/неформальные,Уникально
24,Выявление неопределенности,Условно,память/наследие,принцип информационной энтропии,циклические/каскадные,Уникально
25,Связывание моделей с действиями,Да,память/наследие,принцип минимальной сложности,явные/латентные,Уникально
