№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация социальных подсистем,Да,отношения,принцип оптимизации,необходимые/возможные,Уникально
2,Идентификация технических подсистем,Нет,отношения,принцип цикличности,мгновенные/постепенные,Уникально
3,Определение целей системы,Условно,отношения,принцип управляемости,дискретные/континуальные,Уникально
4,Определение процессов,Да,отношения,эвристика экспертного суждения,индивидуальные/коллективные,Уникально
5,Определение культуры,Нет,отношения,эвристика как сверху так и снизу,эндогенные/экзогенные,Уникально
6,Определение людей,Условно,отношения,принцип разнообразия,институциональные/неформальные,Уникально
7,Определение инфраструктуры,Да,отношения,принцип связи всего со всем,циклические/каскадные,Уникально
8,Анализ взаимодействий подсистем,Нет,отношения,принцип устойчивости,явные/латентные,Уникально
9,Выявление зависимостей,Условно,отношения,принцип соответствия,необходимые/возможные,Уникально
10,Выявление конфликтов,Да,отношения,принцип междисциплинарности,мгновенные/постепенные,Уникально
11,Вовлечение пользователей,Нет,отношения,принцип обратного влияния,дискретные/континуальные,Уникально
12,Анализ заинтересованных сторон,Условно,отношения,принцип адаптивных циклов,индивидуальные/коллективные,Уникально
13,Анализ трудовых ролей,Да,отношения,принцип резонанса,эндогенные/экзогенные,Уникально
14,Проектирование рабочих мест,Нет,отношения,принцип целостности,институциональные/неформальные,Уникально
15,Проектирование интерфейсов,Условно,отношения,принцип обратной связи,циклические/каскадные,Уникально
16,Адаптация технологии под людей,Да,отношения,принцип самоорганизации,явные/латентные,Уникально
17,Обучение пользователей,Нет,отношения,принцип гомеостаза,необходимые/возможные,Уникально
18,Оценка влияния изменений,Условно,отношения,принцип эквифинальности,мгновенные/постепенные,Уникально
19,Управление изменениями,Да,отношения,принцип адаптации,дискретные/континуальные,Уникально
20,Планирование участия,Нет,отношения,закон сохранения энергии,индивидуальные/коллективные,Уникально
21,Управление коммуникацией,Условно,отношения,принцип избыточности,эндогенные/экзогенные,Уникально
22,Анализ нормативов и норм,Да,отношения,принцип информационной энтропии,институциональные/неформальные,Уникально
23,Разработка политики безопасности,Нет,отношения,принцип минимальной сложности,циклические/каскадные,Уникально
24,Разработка процедур поддержки,Условно,отношения,принцип оптимизации,явные/латентные,Уникально
25,Оценка нагрузки,Да,отношения,принцип цикличности,необходимые/возможные,Уникально
26,Оценка рисков,Нет,отношения,принцип управляемости,мгновенные/постепенные,Уникально
27,Анализ производительности,Условно,отношения,эвристика экспертного суждения,дискретные/континуальные,Уникально
28,Оптимизация рабочей среды,Да,отношения,эвристика как сверху так и снизу,индивидуальные/коллективные,Уникально
29,Интеграция новых технологий,Нет,отношения,принцип разнообразия,эндогенные/экзогенные,Уникально
30,Анализ организационной культуры,Условно,отношения,принцип связи всего со всем,институциональные/неформальные,Уникально
31,Переопределение процессов,Да,отношения,принцип устойчивости,циклические/каскадные,Уникально
32,Перепроектирование организационной структуры,Нет,отношения,принцип соответствия,явные/латентные,Уникально
33,Системный анализ ошибок,Условно,отношения,принцип междисциплинарности,необходимые/возможные,Уникально
34,Балансировка социального и технического,Да,отношения,принцип обратного влияния,мгновенные/постепенные,Уникально
35,Мониторинг удовлетворенности,Нет,отношения,принцип адаптивных циклов,дискретные/континуальные,Уникально
36,Интеграция обратной связи сотрудников,Условно,отношения,принцип резонанса,индивидуальные/коллективные,Уникально
37,Создание мультидисциплинарных команд,Да,отношения,принцип целостности,эндогенные/экзогенные,Уникально
38,Поддержание устойчивости работы,Нет,отношения,принцип обратной связи,институциональные/неформальные,Уникально
39,Оценка стоимости изменений,Условно,отношения,принцип самоорганизации,циклические/каскадные,Уникально
40,Управление социальной динамикой,Да,отношения,принцип гомеостаза,явные/латентные,Уникально
41,Управление нормативно-правовой средой,Нет,отношения,принцип эквифинальности,необходимые/возможные,Уникально
42,Реализация пользовательских интерфейсов,Условно,отношения,принцип адаптации,мгновенные/постепенные,Уникально
43,Стандартизация процедур,Да,отношения,закон сохранения энергии,дискретные/континуальные,Уникально
44,Учет этических аспектов,Нет,отношения,принцип избыточности,индивидуальные/коллективные,Уникально
45,Улучшение качества труда,Условно,отношения,принцип информационной энтропии,эндогенные/экзогенные,Уникально
