№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение проблемной ситуации,Да,дискурс,принцип минимальной сложности,институциональные/неформальные,Уникально
2,Сбор точек зрения,Нет,дискурс,принцип оптимизации,циклические/каскадные,Уникально
3,"Построение ""rich picture""",Условно,дискурс,принцип цикличности,явные/латентные,Уникально
4,Выявление ключевых заинтересованных,Да,дискурс,принцип управляемости,необходимые/возможные,Уникально
5,Формулировка мировоззрений,Нет,дискурс,эвристика экспертного суждения,мгновенные/постепенные,Уникально
6,Анализ CATWOE элементов,Условно,дискурс,эвристика как сверху так и снизу,дискретные/континуальные,Уникально
7,Формулировка корневых определений,Да,дискурс,принцип разнообразия,индивидуальные/коллективные,Уникально
8,Построение концептуальных моделей,Нет,дискурс,принцип связи всего со всем,эндогенные/экзогенные,Уникально
9,Сравнение моделей с реальностью,Условно,дискурс,принцип устойчивости,институциональные/неформальные,Уникально
10,Определение достижимых и желательных изменений,Да,дискурс,принцип соответствия,циклические/каскадные,Уникально
11,Проведение обсуждений,Нет,дискурс,принцип междисциплинарности,явные/латентные,Уникально
12,Поиск консенсуса,Условно,дискурс,принцип обратного влияния,необходимые/возможные,Уникально
13,Построение альтернативных моделей,Да,дискурс,принцип адаптивных циклов,мгновенные/постепенные,Уникально
14,Анализ конфликтов между заинтересованными,Нет,дискурс,принцип резонанса,дискретные/континуальные,Уникально
15,Разработка плана изменений,Условно,дискурс,принцип целостности,индивидуальные/коллективные,Уникально
16,Реализация изменений,Да,дискурс,принцип обратной связи,эндогенные/экзогенные,Уникально
17,Оценка результатов,Нет,дискурс,принцип самоорганизации,институциональные/неформальные,Уникально
18,Рефлексия и обучение,Условно,дискурс,принцип гомеостаза,циклические/каскадные,Уникально
19,Выявление новых проблем,Да,дискурс,принцип эквифинальности,явные/латентные,Уникально
20,Повторный цикл SSM,Нет,дискурс,принцип адаптации,необходимые/возможные,Уникально
21,Идентификация активности преобразования,Условно,дискурс,закон сохранения энергии,мгновенные/постепенные,Уникально
22,Определение ресурсов для преобразования,Да,дискурс,принцип избыточности,дискретные/континуальные,Уникально
23,Анализ ограничений,Нет,дискурс,принцип информационной энтропии,индивидуальные/коллективные,Уникально
24,Оценка последствий изменений,Условно,дискурс,принцип минимальной сложности,эндогенные/экзогенные,Уникально
25,Построение диаграмм деятельности человека,Да,дискурс,принцип оптимизации,институциональные/неформальные,Уникально
26,Выявление дисфункциональных процессов,Нет,дискурс,принцип цикличности,циклические/каскадные,Уникально
27,Сценарное моделирование,Условно,дискурс,принцип управляемости,явные/латентные,Уникально
28,Построение цепочек причин,Да,дискурс,эвристика экспертного суждения,необходимые/возможные,Уникально
29,Использование корневых определений для вопросов,Нет,дискурс,эвристика как сверху так и снизу,мгновенные/постепенные,Уникально
30,Разработка мультиагентных перспектив,Условно,дискурс,принцип разнообразия,дискретные/континуальные,Уникально
31,Определение границ обсуждения,Да,дискурс,принцип связи всего со всем,индивидуальные/коллективные,Уникально
32,Создание документации,Нет,дискурс,принцип устойчивости,эндогенные/экзогенные,Уникально
33,Создание обучающих материалов,Условно,дискурс,принцип соответствия,институциональные/неформальные,Уникально
34,Вовлечение участников в моделирование,Да,дискурс,принцип междисциплинарности,циклические/каскадные,Уникально
35,Перевод мыслительных моделей в действия,Нет,дискурс,принцип обратного влияния,явные/латентные,Уникально
36,Поддержание коммуникации,Условно,дискурс,принцип адаптивных циклов,необходимые/возможные,Уникально
37,Анализ барьеров изменений,Да,дискурс,принцип резонанса,мгновенные/постепенные,Уникально
38,Настройка инструментов визуализации,Нет,дискурс,принцип целостности,дискретные/континуальные,Уникально
39,Мониторинг прогресса,Условно,дискурс,принцип обратной связи,индивидуальные/коллективные,Уникально
40,Усиление системного мышления,Да,дискурс,принцип самоорганизации,эндогенные/экзогенные,Уникально
