№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выявление архетипа «Ограниченный рост»,Да,поведение,принцип обратной связи,мгновенные/постепенные,Уникально
2,Выявление архетипа «Сдвиг бремени»,Нет,поведение,принцип самоорганизации,дискретные/континуальные,Уникально
3,Выявление архетипа «Эрозия целей»,Условно,поведение,принцип гомеостаза,индивидуальные/коллективные,Уникально
4,Выявление архетипа «Эскалация»,Да,поведение,принцип эквифинальности,эндогенные/экзогенные,Уникально
5,Выявление архетипа «Успех успешному»,Нет,поведение,принцип адаптации,институциональные/неформальные,Уникально
6,Выявление архетипа «Трагедия общин»,Условно,поведение,закон сохранения энергии,циклические/каскадные,Уникально
7,"Выявление архетипа «Исправления, которые терпят неудачу»",Да,поведение,принцип избыточности,явные/латентные,Уникально
8,Выявление архетипа «Рост и недостаток инвестиций»,Нет,поведение,принцип информационной энтропии,необходимые/возможные,Уникально
9,Построение каузальных петлевых диаграмм архетипа,Условно,поведение,принцип минимальной сложности,мгновенные/постепенные,Уникально
10,"Определение сил, усиливающих рост",Да,поведение,принцип оптимизации,дискретные/континуальные,Уникально
11,Определение ограничений,Нет,поведение,принцип цикличности,индивидуальные/коллективные,Уникально
12,Определение побочных эффектов,Условно,поведение,принцип управляемости,эндогенные/экзогенные,Уникально
13,Определение точек рычага,Да,поведение,эвристика экспертного суждения,институциональные/неформальные,Уникально
14,Разработка стратегий вмешательства,Нет,поведение,эвристика как сверху так и снизу,циклические/каскадные,Уникально
15,Тестирование стратегии в модели,Условно,поведение,принцип разнообразия,явные/латентные,Уникально
16,Моделирование петли задержки,Да,поведение,принцип связи всего со всем,необходимые/возможные,Уникально
17,Анализ переходов между архетипами,Нет,поведение,принцип устойчивости,мгновенные/постепенные,Уникально
18,Распознавание архетипов в наблюдаемых данных,Условно,поведение,принцип соответствия,дискретные/континуальные,Уникально
19,Обучение персонала архетипам,Да,поведение,принцип междисциплинарности,индивидуальные/коллективные,Уникально
20,Коммуникация архетипов через истории,Нет,поведение,принцип обратного влияния,эндогенные/экзогенные,Уникально
21,Анализ поведения системы в архетипе,Условно,поведение,принцип адаптивных циклов,институциональные/неформальные,Уникально
22,Идентификация сигналов предельного роста,Да,поведение,принцип резонанса,циклические/каскадные,Уникально
23,Выявление замещения фундаментальных решений,Нет,поведение,принцип целостности,явные/латентные,Уникально
24,Построение интегрированных архетипов,Условно,поведение,принцип обратной связи,необходимые/возможные,Уникально
25,Документация примеров,Да,поведение,принцип самоорганизации,мгновенные/постепенные,Уникально
26,Обновление архетипов при новых знаниях,Нет,поведение,принцип гомеостаза,дискретные/континуальные,Уникально
27,Анализ корреляции с политическими решениями,Условно,поведение,принцип эквифинальности,индивидуальные/коллективные,Уникально
28,Создание визуализации,Да,поведение,принцип адаптации,эндогенные/экзогенные,Уникально
29,Обучение нахождению точек рычага,Нет,поведение,закон сохранения энергии,институциональные/неформальные,Уникально
30,Мониторинг изменений архетипа,Условно,поведение,принцип избыточности,циклические/каскадные,Уникально
