№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение границ экосистемы,Нет,состояние,принцип гомеостаза,институциональные/неформальные,Уникально
2,Идентификация видов,Условно,состояние,принцип эквифинальности,циклические/каскадные,Уникально
3,Составление списка популяций,Да,состояние,принцип адаптации,явные/латентные,Уникально
4,Оценка биомассы,Нет,состояние,закон сохранения энергии,необходимые/возможные,Уникально
5,Построение трофической сети,Условно,состояние,принцип избыточности,мгновенные/постепенные,Уникально
6,Измерение потоков энергии,Да,состояние,принцип информационной энтропии,дискретные/континуальные,Уникально
7,Измерение потоков материи,Нет,состояние,принцип минимальной сложности,индивидуальные/коллективные,Уникально
8,Моделирование круговорота воды,Условно,состояние,принцип оптимизации,эндогенные/экзогенные,Уникально
9,Моделирование круговорота азота,Да,состояние,принцип цикличности,институциональные/неформальные,Уникально
10,Моделирование круговорота фосфора,Нет,состояние,принцип управляемости,циклические/каскадные,Уникально
11,Оценка первичной продукции,Условно,состояние,эвристика экспертного суждения,явные/латентные,Уникально
12,Оценка вторичной продукции,Да,состояние,эвристика как сверху так и снизу,необходимые/возможные,Уникально
13,Определение экологических ниш,Нет,состояние,принцип разнообразия,мгновенные/постепенные,Уникально
14,Анализ сукцессии,Условно,состояние,принцип связи всего со всем,дискретные/континуальные,Уникально
15,Анализ устойчивости экосистемы,Да,состояние,принцип устойчивости,индивидуальные/коллективные,Уникально
16,Моделирование обратных связей,Нет,состояние,принцип соответствия,эндогенные/экзогенные,Уникально
17,Моделирование взаимодействий видов,Условно,состояние,принцип междисциплинарности,институциональные/неформальные,Уникально
18,Оценка антропогенного воздействия,Да,состояние,принцип обратного влияния,циклические/каскадные,Уникально
19,Оценка биоразнообразия,Нет,состояние,принцип адаптивных циклов,явные/латентные,Уникально
20,Визуализация энергетических сетей,Условно,состояние,принцип резонанса,необходимые/возможные,Уникально
21,Построение моделей дифференциальных уравнений,Да,состояние,принцип целостности,мгновенные/постепенные,Уникально
22,Калибровка модели,Нет,состояние,принцип обратной связи,дискретные/континуальные,Уникально
23,Мониторинг изменений,Условно,состояние,принцип самоорганизации,индивидуальные/коллективные,Уникально
24,Сценарный анализ климата,Да,состояние,принцип гомеостаза,эндогенные/экзогенные,Уникально
25,Оценка экосистемных услуг,Нет,состояние,принцип эквифинальности,институциональные/неформальные,Уникально
26,Определение порогов переключения состояний,Условно,состояние,принцип адаптации,циклические/каскадные,Уникально
27,Моделирование хищник–жертва,Да,состояние,закон сохранения энергии,явные/латентные,Уникально
28,Моделирование метапопуляций,Нет,состояние,принцип избыточности,необходимые/возможные,Уникально
29,Моделирование потоков загрязняющих веществ,Условно,состояние,принцип информационной энтропии,мгновенные/постепенные,Уникально
30,Оценка влияния инвазивных видов,Да,состояние,принцип минимальной сложности,дискретные/континуальные,Уникально
31,Разработка стратегий сохранения,Нет,состояние,принцип оптимизации,индивидуальные/коллективные,Уникально
32,Планирование восстановления,Условно,состояние,принцип цикличности,эндогенные/экзогенные,Уникально
33,Анализ циклов биогеохимических,Да,состояние,принцип управляемости,институциональные/неформальные,Уникально
34,Моделирование торфяников,Нет,состояние,эвристика экспертного суждения,циклические/каскадные,Уникально
35,Моделирование огневых режимов,Условно,состояние,эвристика как сверху так и снизу,явные/латентные,Уникально
36,Анализ градиентов среды,Да,состояние,принцип разнообразия,необходимые/возможные,Уникально
37,Определение ландшафтных связностей,Нет,состояние,принцип связи всего со всем,мгновенные/постепенные,Уникально
38,Моделирование нейтральных теорий,Условно,состояние,принцип устойчивости,дискретные/континуальные,Уникально
39,Измерение эмерджентных свойств,Да,состояние,принцип соответствия,индивидуальные/коллективные,Уникально
40,Интеграция экономических факторов,Нет,состояние,принцип междисциплинарности,эндогенные/экзогенные,Уникально
41,Разработка устойчивых практик,Условно,состояние,принцип обратного влияния,институциональные/неформальные,Уникально
42,Выявление точек рычага,Да,состояние,принцип адаптивных циклов,циклические/каскадные,Уникально
43,Документация данных,Нет,состояние,принцип резонанса,явные/латентные,Уникально
44,Обучение исследователей,Условно,состояние,принцип целостности,необходимые/возможные,Уникально
