№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сбор требований,Да,технология/инфраструктура,принцип резонанса,институциональные/неформальные,Уникально
2,Анализ требований,Нет,технология/инфраструктура,принцип целостности,циклические/каскадные,Уникально
3,Управление требованиями,Условно,технология/инфраструктура,принцип обратной связи,явные/латентные,Уникально
4,Функциональная декомпозиция,Да,технология/инфраструктура,принцип самоорганизации,необходимые/возможные,Уникально
5,Разработка архитектуры,Нет,технология/инфраструктура,принцип гомеостаза,мгновенные/постепенные,Уникально
6,Проектирование интерфейсов,Условно,технология/инфраструктура,принцип эквифинальности,дискретные/континуальные,Уникально
7,Создание модели системы,Да,технология/инфраструктура,принцип адаптации,индивидуальные/коллективные,Уникально
8,Моделирование поведения,Нет,технология/инфраструктура,закон сохранения энергии,эндогенные/экзогенные,Уникально
9,Анализ альтернатив,Условно,технология/инфраструктура,принцип избыточности,институциональные/неформальные,Уникально
10,Трейд-офф анализ,Да,технология/инфраструктура,принцип информационной энтропии,циклические/каскадные,Уникально
11,Разработка спецификаций,Нет,технология/инфраструктура,принцип минимальной сложности,явные/латентные,Уникально
12,Разработка прототипов,Условно,технология/инфраструктура,принцип оптимизации,необходимые/возможные,Уникально
13,Интеграция компонентов,Да,технология/инфраструктура,принцип цикличности,мгновенные/постепенные,Уникально
14,Планирование тестирования,Нет,технология/инфраструктура,принцип управляемости,дискретные/континуальные,Уникально
15,Разработка тестовых сценариев,Условно,технология/инфраструктура,эвристика экспертного суждения,индивидуальные/коллективные,Уникально
16,Проведение верификации,Да,технология/инфраструктура,эвристика как сверху так и снизу,эндогенные/экзогенные,Уникально
17,Проведение валидации,Нет,технология/инфраструктура,принцип разнообразия,институциональные/неформальные,Уникально
18,Анализ надежности,Условно,технология/инфраструктура,принцип связи всего со всем,циклические/каскадные,Уникально
19,Анализ безопасности,Да,технология/инфраструктура,принцип устойчивости,явные/латентные,Уникально
20,Анализ риска,Нет,технология/инфраструктура,принцип соответствия,необходимые/возможные,Уникально
21,Планирование жизненного цикла,Условно,технология/инфраструктура,принцип междисциплинарности,мгновенные/постепенные,Уникально
22,Управление конфигурацией,Да,технология/инфраструктура,принцип обратного влияния,дискретные/континуальные,Уникально
23,Управление изменениями,Нет,технология/инфраструктура,принцип адаптивных циклов,индивидуальные/коллективные,Уникально
24,Управление проектом,Условно,технология/инфраструктура,принцип резонанса,эндогенные/экзогенные,Уникально
25,Управление заинтересованными сторонами,Да,технология/инфраструктура,принцип целостности,институциональные/неформальные,Уникально
26,Управление интерфейсами,Нет,технология/инфраструктура,принцип обратной связи,циклические/каскадные,Уникально
27,Управление логистикой,Условно,технология/инфраструктура,принцип самоорганизации,явные/латентные,Уникально
28,Управление эксплуатацией,Да,технология/инфраструктура,принцип гомеостаза,необходимые/возможные,Уникально
29,Мониторинг производительности,Нет,технология/инфраструктура,принцип эквифинальности,мгновенные/постепенные,Уникально
30,Обеспечение качества,Условно,технология/инфраструктура,принцип адаптации,дискретные/континуальные,Уникально
31,Подготовка документации,Да,технология/инфраструктура,закон сохранения энергии,индивидуальные/коллективные,Уникально
32,Проведение обзоров,Нет,технология/инфраструктура,принцип избыточности,эндогенные/экзогенные,Уникально
33,Оптимизация процессов,Условно,технология/инфраструктура,принцип информационной энтропии,институциональные/неформальные,Уникально
34,Моделирование стоимости,Да,технология/инфраструктура,принцип минимальной сложности,циклические/каскадные,Уникально
35,Оценка стоимости владения,Нет,технология/инфраструктура,принцип оптимизации,явные/латентные,Уникально
36,Планирование утилизации,Условно,технология/инфраструктура,принцип цикличности,необходимые/возможные,Уникально
37,Управление ресурсами,Да,технология/инфраструктура,принцип управляемости,мгновенные/постепенные,Уникально
38,Обучение персонала,Нет,технология/инфраструктура,эвристика экспертного суждения,дискретные/континуальные,Уникально
39,Разработка процедур эксплуатации,Условно,технология/инфраструктура,эвристика как сверху так и снизу,индивидуальные/коллективные,Уникально
40,Учет человеческого фактора,Да,технология/инфраструктура,принцип разнообразия,эндогенные/экзогенные,Уникально
41,Прототипирование быстрыми циклами,Нет,технология/инфраструктура,принцип связи всего со всем,институциональные/неформальные,Уникально
42,Имитационное моделирование,Условно,технология/инфраструктура,принцип устойчивости,циклические/каскадные,Уникально
43,Программирование логики управления,Да,технология/инфраструктура,принцип соответствия,явные/латентные,Уникально
44,Настройка параметров,Нет,технология/инфраструктура,принцип междисциплинарности,необходимые/возможные,Уникально
45,Настройка обратной связи,Условно,технология/инфраструктура,принцип обратного влияния,мгновенные/постепенные,Уникально
46,Анализ устойчивости системы,Да,технология/инфраструктура,принцип адаптивных циклов,дискретные/континуальные,Уникально
47,Адаптация архитектуры,Нет,технология/инфраструктура,принцип резонанса,индивидуальные/коллективные,Уникально
48,Масштабирование системы,Условно,технология/инфраструктура,принцип целостности,эндогенные/экзогенные,Уникально
49,Инжиниринг требований к безопасности,Да,технология/инфраструктура,принцип обратной связи,институциональные/неформальные,Уникально
50,Управление знаниями,Нет,технология/инфраструктура,принцип самоорганизации,циклические/каскадные,Уникально
