№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание устава проекта,Да,институты,PMBOK,дискретные,Уникальный процесс
2,Идентификация заинтересованных сторон,Да,отношения,Stakeholder Register,дискретные,Связано с change management
3,Определение объема,Условно,содержание,Scope Management,дискретные,Аналогично планированию
4,Разработка структуры работ (WBS),Да,структура,Work Breakdown Structure,индивидуальные/коллективные,Связано с операциями
5,Разработка расписания,Да,время/ритм,Critical Path Method,дискретные,Перекликается с операционным менеджментом
6,Оценка бюджета и затрат,Да,экономика/обмен,Cost Estimation Techniques,дискретные/континуальные,Связано с финансовым управлением
7,Планирование управления рисками,Да,состояние,Risk Management Plan,дискретные,Связано с рисковым менеджментом
8,Назначение ресурсов,Условно,экономика/обмен,Resource Allocation,индивидуальные/коллективные,Связано со стратегическим управлением
9,Исполнение проекта,Нет,функция,Executing Process Group,постепенные,Уникальный процесс
10,Мониторинг и контроль,Да,состояние,Earned Value Management,цикличные,Аналогично стратегическому контролю
11,Управление изменениями в проекте,Да,структура,Change Control,индивидуальные/коллективные,Перекликается с управлением изменениями
12,Обеспечение качества,Да,состояние,Quality Assurance,цикличные,Аналогично контролю качества
13,Управление коммуникациями,Да,дискурс,Communication Plan,дискретные/континуальные,Связано с change management
14,Закрытие проекта,Нет,институты,Closing Process Group,дискретные,Уникальный процесс
15,Пост-проектный анализ (Lessons Learned),Да,память/наследие,Retrospective,цикличные,Связано с организационным обучением
