№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Акт внимания,Да,состояние,фокусировка когнитивного потока,индивидуальные/мгновенные/неформальные,аналог в феноменологии восприятия
2,Переключение между модальностями,Да,структура,смена сенсорного канала,индивидуальные/дискретные/неформальные,аналог в когнитивной науке
3,Интенциональный сдвиг,Да,функция,перенос направленности сознания,индивидуальные/неформальные/дискретные,аналог у Гуссерля
4,Соматизация переживания,Да,тело/материя,отражение опыта в теле,индивидуальные/неформальные/континуальные,аналог в психосоматике
5,Деконцентрация,Да,состояние,расширение поля сознания,индивидуальные/неформальные/дискретные,аналог в медитации
6,Рефлексия,Да,структура,сознание о самом себе,индивидуальные/неформальные/дискретные,аналог в философии самосознания
7,Метапозиция,Да,идентичность/границы,выход на уровень наблюдателя,индивидуальные/неформальные/дискретные,аналог в психотерапии
8,Сновидческая трансформация,Нет,состояние,переход к изменённым формам опыта,индивидуальные/латентные/континуальные,аналог в онейрологии
9,Осознанное сновидение,Да,состояние,интеграция в сон,индивидуальные/неформальные/дискретные,аналог в исследованиях сна
10,Идентификация,Да,идентичность/границы,отождествление с объектом,индивидуальные/неформальные/дискретные,аналог в психоанализе
11,Деиндентификация,Да,идентичность/границы,отстранение от объекта,индивидуальные/неформальные/дискретные,аналог в буддизме
12,Активация архетипа,Да,символы,проявление коллективного образа,индивидуальные/неформальные/дискретные,аналог в юнгианской психологии
13,Дефрагментация сознания,Да,структура,сборка рассеянных элементов,индивидуальные/постепенные/неформальные,аналог в интегративных практиках
14,Поток сознания,Да,состояние,непрерывное течение опыта,индивидуальные/континуальные/неформальные,аналог у Джеймса
15,Прерывание сознания,Нет,состояние,остановка когнитивного процесса,индивидуальные/мгновенные/неформальные,аналог в гипнозе
16,Внутренний диалог,Да,дискурс,разговор с самим собой,индивидуальные/неформальные/континуальные,аналог в когнитивной психологии
17,Остановка внутреннего диалога,Да,дискурс,прекращение потока мыслей,индивидуальные/неформальные/мгновенные,аналог в медитативных практиках
18,Расширение сознания,Да,структура,включение новых объектов опыта,индивидуальные/неформальные/постепенные,аналог в трансперсональной психологии
19,Сужение сознания,Да,структура,редукция поля восприятия,индивидуальные/неформальные/дискретные,аналог в клинической психологии
20,Когнитивная диссонансность,Да,структура,сопротивление несоответствиям,индивидуальные/неформальные/дискретные,аналог в психологии Фестингера
21,Примирение диссонанса,Да,структура,снятие напряжения,индивидуальные/неформальные/дискретные,аналог в психотерапии
22,Метасознание,Да,структура,сознание о процессах сознания,индивидуальные/неформальные/дискретные,аналог в метакогнитивной теории
23,Автоматизация,Да,функция,передача действия в подсознание,индивидуальные/постепенные/неформальные,аналог в когнитивных науках
