№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сомнение (эпистемологическое),Да,содержание,методологический скепсис,индивидуальные/постепенные/дискретные,уникален
2,Уточнение определений,Да,структура,принцип точности,необходимые/дискретные/индивидуальные,аналоги в логике
3,Принятие аксиом,Нет,структура,постулат аксиоматичности,необходимые/индивидуальные/мгновенные,уникален
4,Переоценка достоверности,Да,содержание,эвристика критической оценки,индивидуальные/постепенные/дискретные,уникален
5,Интернализация знания,Условно,идентичность/границы,принцип усвоения,индивидуальные/латентные/постепенные,аналоги в педагогике
6,Смена источника знания,Да,институты,гносеологический плюрализм,индивидуальные/экзогенные/явные,уникален
7,Деконструкция нарратива знания,Да,дискурс,принцип деконструкции,индивидуальные/латентные/каскадные,уникален
8,Релятивизация истины,Да,значения,принцип контекста,индивидуальные/дискретные/латентные,уникален
9,Абсолютизация знания,Условно,содержание,принцип догматизации,институциональные/явные/постепенные,аналоги в религии
10,Смена парадигмы,Нет,структура,принцип Куна,коллективные/каскадные/институциональные,уникален
11,Верификация,Да,содержание,принцип соответствия,индивидуальные/необходимые/дискретные,уникален
12,Фальсификация,Да,содержание,попперианская эвристика,индивидуальные/необходимые/дискретные,уникален
13,Методологический скепсис,Да,поведение,декартовский метод,индивидуальные/дискретные/цикличные,уникален
14,Рационализация убеждений,Да,содержание,когнитивная когеренция,индивидуальные/латентные/постепенные,аналоги в психологии
15,Оспаривание авторитетов,Да,институты,принцип автономии мышления,индивидуальные/экзогенные/явные,уникален
16,Дефиниционная подстановка,Да,структура,принцип эквивалентной репрезентации,индивидуальные/дискретные/неформальные,аналоги в логике
17,Мета-позиционирование,Да,идентичность/границы,эпистемическая рефлексия,индивидуальные/латентные/дискретные,уникален
18,Сдвиг в типе знания (знание → понимание),Да,содержание,онтологическое углубление,индивидуальные/континуальные/латентные,уникален
19,Интеграция чужого опыта,Да,память/наследие,принцип диалога,индивидуальные/постепенные/экзогенные,аналоги в герменевтике
20,Гиперрефлексия,Да,структура,принцип самоанализа,индивидуальные/цикличные/латентные,уникален
21,Декогерентность убеждений,Да,структура,логико-семантический анализ,индивидуальные/дискретные/явные,аналоги в психотерапии
22,Эвристическое открытие,Нет,содержание,принцип внезапного инсайта,индивидуальные/мгновенные/неформальные,аналоги в креативности
23,Индуктивное обобщение,Да,структура,принцип индукции,индивидуальные/дискретные/неформальные,аналог в науке
24,Дедуктивное выведение,Да,структура,принцип дедукции,индивидуальные/необходимые/дискретные,аналог в логике
25,Смена критерия истины,Да,значения,принцип пересмотра,индивидуальные/дискретные/латентные,уникален
26,Признание незнания,Да,идентичность/границы,эпистемическая скромность,индивидуальные/неформальные/латентные,уникален
27,Конструктивная неуверенность,Да,поведение,принцип осторожности,индивидуальные/неформальные/дискретные,уникален
28,Формализация,Да,структура,принцип точности,индивидуальные/институциональные/дискретные,аналог в математике
29,Смена эпистемического фрейма,Нет,структура,принцип смены оптики,индивидуальные/дискретные/латентные,уникален
30,Приведение к аксиомам,Да,структура,принцип минимизации,индивидуальные/необходимые/дискретные,аналоги в логике
31,Переход к мета-уровню,Да,структура,рефлексивный подъём,индивидуальные/континуальные/латентные,уникален
32,Когнитивный коллапс (разрушение системы),Нет,структура,энтропия знания,индивидуальные/дискретные/латентные,уникален
33,Проверка на когерентность,Да,структура,эвристика согласования,индивидуальные/дискретные/неформальные,аналог в логике
34,Перепросмотр убеждений,Да,содержание,принцип адаптивности,индивидуальные/цикличные/постепенные,аналоги в психотерапии
35,Ограничение области применения,Да,значения,эвристика применимости,индивидуальные/неформальные/дискретные,уникален
36,Введение априорных условий,Да,структура,кантианская схема,индивидуальные/дискретные/необходимые,уникален
37,Смена уровня обоснования,Да,структура,логическая рекурсия,индивидуальные/дискретные/неформальные,уникален
38,Перевод на другой язык,Да,дискурс,лингвистическая трансформация,индивидуальные/экзогенные/континуальные,уникален
39,Выявление логических пробелов,Да,структура,анализ непрерывности,индивидуальные/неформальные/необходимые,аналог в логике
40,Различение типов знания,Да,структура,таксономический анализ,индивидуальные/дискретные/континуальные,уникален
41,Метафоризация знания,Да,дискурс,семантический перенос,индивидуальные/неформальные/постепенные,аналоги в герменевтике
42,Фрейминг эпистемических границ,Да,идентичность/границы,принцип ограничения,индивидуальные/неформальные/дискретные,уникален
43,Конфликт эпистемических режимов,Нет,институты,антагонизм парадигм,коллективные/каскадные/институциональные,уникален
44,Переход к опыту,Да,тело/материя,эмпирический сдвиг,индивидуальные/экзогенные/континуальные,аналог в науке
45,Уход в трансценденцию,Нет,значения,гносеологический предел,индивидуальные/латентные/неформальные,уникален
46,Переосмысление доказательства,Да,структура,принцип переформулировки,индивидуальные/дискретные/неформальные,уникален
47,Снятие когнитивного конфликта,Да,поведение,принцип когнитивного баланса,индивидуальные/постепенные/латентные,уникален
48,Смена модальности знания,Да,содержание,переход к образному/телесному,индивидуальные/континуальные/латентные,уникален
49,Агностическая приостановка,Да,поведение,принцип отказа от суждения,индивидуальные/неформальные/мгновенные,уникален
50,Извлечение допущений,Да,структура,аналитика посылок,индивидуальные/неформальные/дискретные,аналог в логике
51,Переход от факта к значению,Да,значения,семантический сдвиг,индивидуальные/постепенные/латентные,аналог в герменевтике
52,Накопление эпистемического ресурса,Да,память/наследие,гносеологическая инерция,индивидуальные/постепенные/институциональные,уникален
53,Сопряжение знаний,Да,структура,интердисциплинарный синтез,индивидуальные/континуальные/неформальные,аналоги в науке
54,Формирование веры,Условно,значения,эпистемическая вера,индивидуальные/латентные/неформальные,аналог в религии
55,Разведение уровней эпистемики,Да,структура,стратификация знания,индивидуальные/дискретные/неформальные,уникален
56,Игра с истиной,Да,дискурс,постмодернистская ирония,индивидуальные/неформальные/латентные,уникален
57,Картографирование знания,Да,структура,структурный анализ,индивидуальные/неформальные/дискретные,аналог в информатике
58,Генерация новых категорий,Нет,структура,онтологическая инновация,индивидуальные/неформальные/дискретные,уникален
59,Редукция сложности,Да,структура,принцип упрощения,индивидуальные/необходимые/дискретные,уникален
60,Смена эпистемической идентичности,Нет,идентичность/границы,трансформация субъекта,индивидуальные/латентные/постепенные,уникален
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Мета-обоснование,Да,структура,рефлексивное основание,индивидуальные/дискретные/неформальные,уникален
62,Реконструкция эпистемологии,Нет,структура,переосмысление основания,индивидуальные/дискретные/институциональные,уникален
63,Циклическая проверка знания,Да,содержание,принцип повторной верификации,индивидуальные/цикличные/необходимые,аналоги в науке
64,Отслеживание источников,Да,память/наследие,принцип транспарентности,индивидуальные/экзогенные/необходимые,аналог в истории
65,Рассогласование уровней знания,Да,структура,диссонанс уровней,индивидуальные/дискретные/латентные,уникален
66,Разграничение субъективного и объективного,Да,значения,эпистемологический дуализм,индивидуальные/дискретные/неформальные,уникален
67,Репозиционирование субъекта,Да,идентичность/границы,смена точки отсчёта,индивидуальные/латентные/континуальные,уникален
68,Обнажение когнитивных искажений,Да,содержание,принцип критической психологии,индивидуальные/неформальные/дискретные,аналог в когнитивной науке
69,Отделение мнения от знания,Да,значения,эпистемическое очищение,индивидуальные/дискретные/неформальные,аналог у Платона
70,Переход к процессуальному знанию,Да,содержание,динамизация эпистемики,индивидуальные/континуальные/латентные,уникален
71,Эпистемическая игра,Да,поведение,принцип исследовательского действия,индивидуальные/неформальные/латентные,аналог в педагогике
72,Эвристическая декомпозиция,Да,структура,принцип разложения,индивидуальные/дискретные/неформальные,аналог в логике
73,Нарушение привычного паттерна,Нет,поведение,принцип эпистемического шока,индивидуальные/мгновенные/экзогенные,уникален
74,Установление границ применимости знания,Да,структура,принцип локализации,индивидуальные/дискретные/неформальные,уникален
75,Инверсивная трансформация (от знания к незнанию),Нет,структура,эпистемологический крах,индивидуальные/латентные/дискретные,уникален
76,Создание когнитивных модуляций,Нет,структура,формирование эпистемического ландшафта,индивидуальные/латентные/постепенные,уникален
77,Перенос эпистемических норм,Да,нормы,диалектический обмен,индивидуальные/экзогенные/дискретные,уникален
78,Критика средств познания,Да,технология/инфраструктура,анализ инструментов,индивидуальные/дискретные/неформальные,аналог в философии науки
79,Инкапсуляция знания,Да,структура,ограничение доступа,институциональные/дискретные/латентные,аналог в социальной теории
80,Мета-когнитивное переключение,Да,поведение,перенос режима мышления,индивидуальные/континуальные/неформальные,аналог в нейропсихологии
81,Множественное позиционирование,Да,идентичность/границы,полифония субъектов,индивидуальные/дискретные/неформальные,аналог в нарративной философии
82,Смена эпистемологического измерения,Нет,структура,фрактальный переход,индивидуальные/латентные/континуальные,уникален
83,Ограничение доступа к знанию,Нет,институты,власть-знание,институциональные/явные/постепенные,аналоги в постструктурализме
84,Сведение различий,Да,значения,эпистемическая интеграция,индивидуальные/постепенные/неформальные,аналог в синтезе
85,Уход в неопределённость,Нет,значения,анти-догматичность,индивидуальные/латентные/континуальные,уникален
86,Фрагментация знания,Да,структура,анализ через части,индивидуальные/дискретные/неформальные,аналог в постмодернизме
87,Мета-сомнение,Да,структура,сомнение в критериях сомнения,индивидуальные/дискретные/латентные,уникален
88,Протоколизация знания,Да,технология/инфраструктура,формализация практики,институциональные/необходимые/дискретные,аналог в инженерии знания
89,Опредмечивание знания,Да,технология/инфраструктура,реализация в артефактах,институциональные/постепенные/явные,аналог в STS
90,Осмысление незавершенности знания,Да,состояние,принцип открытой системы,индивидуальные/континуальные/латентные,уникален
91,Гуманизация эпистемологии,Да,нормы,приоритет субъекта,институциональные/неформальные/постепенные,уникален
92,Разрыв с традицией,Нет,память/наследие,эпистемический бунт,индивидуальные/экзогенные/мгновенные,аналоги в авангарде
93,Эпистемическая эмпатия,Да,отношения,интерсубъективное знание,индивидуальные/постепенные/неформальные,аналог в диалогике
94,Цикл декогеренции–рекогеренции,Да,структура,ритмический цикл,индивидуальные/цикличные/неформальные,уникален
95,Диалектический сдвиг,Да,значения,антитезисное развитие,индивидуальные/континуальные/неформальные,аналог в Гегеле
96,Насыщение знанием,Нет,состояние,предел восприятия,индивидуальные/латентные/неформальные,уникален
97,Растворение границ эпистемологии,Нет,идентичность/границы,трансдисциплинарность,индивидуальные/континуальные/латентные,аналог в комплексных науках
98,Устранение эпистемических слепых зон,Да,структура,расширение охвата,индивидуальные/неформальные/дискретные,уникален
99,Реформулировка проблематики,Да,структура,пересборка рамки,индивидуальные/дискретные/неформальные,уникален
100,Раздвоение референции,Да,значения,полифония интерпретаций,индивидуальные/неформальные/дискретные,аналог в герменевтике
101,Перепрошивка когнитивной схемы,Нет,структура,перезапуск модели,индивидуальные/латентные/неформальные,уникален
102,Эпистемическая дивергенция,Нет,структура,ветвление,индивидуальные/каскадные/латентные,уникален
103,Мета-сравнение,Да,структура,эпистемологическая метрика,индивидуальные/дискретные/неформальные,уникален
104,Конфигурация фокуса знания,Да,структура,приоритетизация,индивидуальные/дискретные/неформальные,аналог в исследовании
105,Разработка метаязыка,Да,дискурс,рефлексивная лингвистика,индивидуальные/дискретные/необходимые,аналог в логике
106,Редактирование оснований,Да,структура,перепись фундаментальных допущений,индивидуальные/дискретные/неформальные,уникален
107,Разрывание эпистемического цикла,Нет,структура,остановка логики,индивидуальные/мгновенные/латентные,уникален
108,Внедрение эпистемического механизма,Да,технология/инфраструктура,алгоритмизация,институциональные/необходимые/постепенные,аналог в ИИ
109,Критическое картирование,Да,пространство,эпистемическая география,индивидуальные/дискретные/неформальные,уникален
110,Переход к альтернативным критериям,Да,нормы,плюрализм оценивания,индивидуальные/неформальные/дискретные,уникален
111,Переход к телесной эпистемике,Нет,тело/материя,соматизация знания,индивидуальные/континуальные/латентные,аналог в феноменологии
112,Переосмысление роли наблюдателя,Да,отношения,субъект–объектное сдвижение,индивидуальные/дискретные/неформальные,уникален
113,Интернализация внешнего знания,Да,идентичность/границы,интеграция чужого опыта,индивидуальные/постепенные/неформальные,аналог в обучении
114,Вытеснение альтернативных знаний,Нет,институты,гегемония знания,институциональные/латентные/каскадные,аналог в постколониальной теории
115,Утилитаризация знания,Да,функция,применимость к действию,институциональные/неформальные/постепенные,аналог в прикладной науке
116,Системная компиляция,Да,структура,структурное объединение,индивидуальные/постепенные/неформальные,аналог в систематике
117,Зашумление знания,Нет,дискурс,контаминантное наполнение,индивидуальные/латентные/каскадные,уникален
118,Развёртывание гипотезы,Да,структура,семантический рост,индивидуальные/дискретные/постепенные,аналог в науке
119,Контекстуализация вывода,Да,значения,привязка к ситуации,индивидуальные/неформальные/континуальные,уникален
120,Метастратегия эпистемического поведения,Да,поведение,моделирование мышления,индивидуальные/постепенные/неформальные,уникален
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Переход к эпистемической тишине,Да,дискурс,приостановка мышления,индивидуальные/латентные/континуальные,аналог в медитативных практиках
122,Упрощение онтологии знания,Да,структура,редукция сущностей,индивидуальные/дискретные/неформальные,аналог в философии науки
123,Сброс теоретических допущений,Нет,структура,эпистемический reset,индивидуальные/мгновенные/неформальные,уникален
124,Отделение знания от языка,Нет,дискурс,апофатическая эпистемика,индивидуальные/латентные/континуальные,уникален
125,Гипотезогенез,Да,структура,эвристическая генерация,индивидуальные/дискретные/неформальные,аналог в науке
126,Переход к феномену,Да,тело/материя,внимание к непосредственному,индивидуальные/континуальные/экзогенные,аналог в феноменологии
127,Реинтерпретация истории знания,Да,память/наследие,историографическая реконструкция,институциональные/постепенные/неформальные,аналог в STS
128,Развоплощение знаний,Нет,технология/инфраструктура,дематериализация артефакта,институциональные/континуальные/латентные,уникален
129,Мета-герменевтика,Да,значения,анализ процесса осмысления,индивидуальные/неформальные/дискретные,аналог в теории интерпретации
130,Фрактализация знания,Да,структура,самоподобная организация,индивидуальные/неформальные/дискретные,уникален
131,Смена эпистемической темпоральности,Да,время/ритм,сдвиг в ритме познания,индивидуальные/континуальные/латентные,уникален
132,Признание многомерности истины,Да,значения,эпистемическая поливалентность,индивидуальные/неформальные/дискретные,уникален
133,Фокус на когнитивную автономию,Да,поведение,принцип саморефлексии,индивидуальные/постепенные/неформальные,аналог в коучинге
134,Рекогносцировка понятийных рамок,Да,структура,прояснение гносеологических границ,индивидуальные/неформальные/дискретные,уникален
135,Дисторсия знания,Нет,содержание,искажение в процессе передачи,индивидуальные/латентные/каскадные,аналог в инфопотоках
136,Эпистемический минимализм,Да,структура,достаточность допущений,индивидуальные/неформальные/дискретные,аналог в логике
137,Обострение наблюдательности,Да,поведение,увеличение эпистемической чувствительности,индивидуальные/континуальные/неформальные,аналог в эмпирике
