№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Принятие морального принципа,Да,нормы,этическая интернализация,индивидуальные/постепенные/неформальные,аналог в педагогике
2,Отказ от моральной нормы,Да,нормы,деконструкция этического основания,индивидуальные/дискретные/неформальные,аналог в нигилизме
3,Переоценка поступка,Да,поведение,пересмотр намерения и последствий,индивидуальные/дискретные/неформальные,уникален
4,Моральная рационализация,Да,поведение,объяснение действия в рамках нормы,индивидуальные/латентные/неформальные,аналог в психологии
5,Присвоение ответственности,Да,идентичность/границы,этическая субъектность,индивидуальные/дискретные/неформальные,аналог в праве
6,Делегирование ответственности,Да,отношения,перенос морального центра,индивидуальные/неформальные/институциональные,уникален
7,Формирование совести,Условно,состояние,внутренняя моральная инстанция,индивидуальные/постепенные/неформальные,аналог в психоанализе
8,Моральная диссоциация,Да,поведение,разрыв между знанием и действием,индивидуальные/латентные/неформальные,уникален
9,Сдвиг векторa ценностей,Да,значения,ценностная переориентация,индивидуальные/постепенные/неформальные,аналог в аксиологии
10,Введение новой нормы,Нет,нормы,этическая иновация,институциональные/дискретные/неформальные,уникален
11,Моральное осуждение,Да,дискурс,выражение этической позиции,индивидуальные/неформальные/дискретные,аналог в публичной этике
12,Моральное прощение,Да,отношения,снятие обвинения,индивидуальные/дискретные/неформальные,аналог в этике прощения
13,Расширение круга эмпатии,Да,идентичность/границы,включение Другого,индивидуальные/постепенные/неформальные,аналог в биоэтике
14,Смена точки моральной референции,Да,нормы,этический релятивизм,индивидуальные/дискретные/неформальные,аналог в культурной антропологии
15,Признание моральной ошибки,Да,поведение,этическая саморефлексия,индивидуальные/дискретные/неформальные,аналог в экзистенциальной этике
16,Обоснование поступка,Да,поведение,нормативное объяснение,индивидуальные/неформальные/дискретные,аналог в деонтологии
17,Переход к заботе,Да,поведение,этическая ориентация на заботу,индивидуальные/постепенные/неформальные,аналог в этике заботы
18,Отказ от насилия,Да,поведение,ненасильственная установка,индивидуальные/неформальные/постепенные,аналог в пацифизме
19,Осознание моральной дилеммы,Да,состояние,конфликт норм,индивидуальные/неформальные/дискретные,уникален
20,Переход от намерения к последствию,Да,функция,утилитарный сдвиг,индивидуальные/дискретные/неформальные,аналог в утилитаризме
21,Персонализация нормы,Да,нормы,этическая автономия,индивидуальные/дискретные/неформальные,аналог в кантовской этике
22,Унификация норм,Да,нормы,создание универсального принципа,индивидуальные/неформальные/институциональные,аналог в этике Золотого правила
23,Моральная имитация,Да,поведение,копирование модели поведения,индивидуальные/постепенные/неформальные,аналог в моральной психологии
24,Переход от долга к любви,Да,поведение,этическая трансценденция,индивидуальные/неформальные/постепенные,аналог в религиозной этике
25,Ритуализация морали,Да,поведение,повторение в нормативной форме,институциональные/постепенные/неформальные,аналог в традиционных обществах
26,Циническое размывание нормы,Нет,нормы,этический разлом,индивидуальные/латентные/дискретные,аналог в нигилизме
27,Моральная мобилизация,Да,поведение,активация ценностей,коллективные/мгновенные/неформальные,аналог в протестной этике
28,Выстраивание внутреннего наблюдателя,Да,состояние,интернализация внешней оценки,индивидуальные/постепенные/неформальные,аналог в суперэго
29,Моральная эскалация,Нет,поведение,нарастание жёсткости,индивидуальные/каскадные/латентные,аналог в войне и насилии
30,Моральное подавление,Да,поведение,вытеснение желания,индивидуальные/неформальные/постепенные,аналог в нормативной морали
31,Этика отказа,Да,поведение,отказ от участия в зле,индивидуальные/неформальные/дискретные,аналог в протестной философии
32,Сакрализация нормы,Да,нормы,превращение в абсолют,институциональные/неформальные/постепенные,аналог в религиозной этике
33,Десакрализация нормы,Да,нормы,переход к светской рефлексии,индивидуальные/неформальные/дискретные,аналог в секуляризме
34,Реконфигурация этического поля,Нет,структура,пересборка ценностной сетки,коллективные/институциональные/каскадные,аналог в моральной революции
35,Обращение к намерению,Да,поведение,деонтологический сдвиг,индивидуальные/дискретные/неформальные,аналог в кантовской этике
36,Моральный компромисс,Да,отношения,снижение конфликта норм,индивидуальные/неформальные/дискретные,аналог в переговорной практике
37,Этика заботы о себе,Да,поведение,внутренняя направленность,индивидуальные/постепенные/неформальные,аналог у Фуко
38,Формирование моральной идентичности,Да,идентичность/границы,ценностное самоосознание,индивидуальные/неформальные/постепенные,аналог в возрастной этике
39,Моральный эксперимент,Нет,поведение,проверка предела,индивидуальные/экзогенные/дискретные,аналог в антиэтике
40,Конфликт лояльностей,Да,отношения,перекрёстные этические связи,индивидуальные/неформальные/дискретные,уникален
41,Сопротивление несправедливости,Да,поведение,этический протест,индивидуальные/неформальные/постепенные,аналог в политической этике
42,Моральная инаковость,Да,идентичность/границы,этическая альтерность,индивидуальные/неформальные/дискретные,аналог в этике Другого
43,Выход за моральные границы,Нет,поведение,трансэтический акт,индивидуальные/неформальные/мгновенные,аналог в радикальной этике
44,Отказ от абсолютов,Да,нормы,этический плюрализм,индивидуальные/неформальные/дискретные,аналог в постмодерне
45,Моральное свидетельство,Да,дискурс,выражение правды,индивидуальные/неформальные/дискретные,аналог в этике памяти
46,Этика молчания,Да,поведение,сдерживание реакции,индивидуальные/латентные/постепенные,аналог в дзэн
47,Интернализация культурной морали,Да,нормы,усвоение традиций,индивидуальные/постепенные/неформальные,аналог в социокультурной этике
48,Деструкция авторитета,Нет,институты,антииерархический акт,индивидуальные/неформальные/дискретные,аналог в анархической этике
49,Нормативное табуирование,Нет,поведение,введение запрета,институциональные/дискретные/неформальные,аналог в культурной этике
